Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003kyx,diary,3,6,1917-07-13 00:00:00 UTC,13 Jul 1917,"","[0.0, 0.0]","",diaryDate,13 Jul 1917,"{""day""=>[""13""], ""month""=>[""Jul""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0003kyx,diary,3,6,1917-07-13 00:00:00 UTC,13 Jul 1917,Grantham,"[-0.64184, 52.91149]","",place,Grantham,"{""place""=>[""Grantham""], ""location""=>[""true""], ""name""=>[""Grantham""], ""lat""=>[""52.91149""], ""long""=>[""-0.64184""], ""id""=>[""2648208""]}",2648208,Grantham,"[-0.64184, 52.91149]"
3,AWD0003kyx,diary,3,3,1917-07-13 00:00:00 UTC,13 Jul 1917,Grantham,"[-0.64184, 52.91149]","",activity,other,{},2648208,Grantham,"[-0.64184, 52.91149]"
4,AWD0003kyx,diary,3,2,1917-07-13 00:00:00 UTC,13 Jul 1917,Grantham,"[-0.64184, 52.91149]","",domestic,other,{},2648208,Grantham,"[-0.64184, 52.91149]"
6,AWD0003kyx,diary,3,6,1917-07-14 00:00:00 UTC,14 Jul 1917,Grantham,"[-0.64184, 52.91149]","",diaryDate,14 Jul 1917,"{""day""=>[""14""], ""month""=>[""Jul""], ""year""=>[""1917""]}",2648208,Grantham,"[-0.64184, 52.91149]"
7,AWD0003kyx,diary,3,3,1917-07-14 00:20:00 UTC,14 Jul 1917,Grantham,"[-0.64184, 52.91149]",1220AM,time,1220AM,{},2648208,Grantham,"[-0.64184, 52.91149]"
9,AWD0003kyx,diary,3,3,1917-07-14 00:20:00 UTC,14 Jul 1917,Grantham,"[-0.64184, 52.91149]",1220AM,domestic,parades,{},2648208,Grantham,"[-0.64184, 52.91149]"
10,AWD0003kyx,diary,3,3,1917-07-14 00:20:00 UTC,14 Jul 1917,Grantham,"[-0.64184, 52.91149]",1220AM,activity,movement,{},2648208,Grantham,"[-0.64184, 52.91149]"
15,AWD0003kyx,diary,3,2,1917-07-14 00:20:00 UTC,14 Jul 1917,Grantham,"[-0.64184, 52.91149]",1220AM,activity,other,{},2648208,Grantham,"[-0.64184, 52.91149]"
16,AWD0003kyx,diary,3,3,1917-07-14 10:30:00 UTC,14 Jul 1917,Grantham,"[-0.64184, 52.91149]",1030AM,time,1030AM,{},2648208,Grantham,"[-0.64184, 52.91149]"
18,AWD0003kyx,diary,3,3,1917-07-14 10:30:00 UTC,14 Jul 1917,Southampton,"[-1.40428, 50.90395]",1030AM,place,Southampton,"{""place""=>[""Southampton""], ""location""=>[""true""], ""name""=>[""Southampton""], ""lat""=>[""50.90395""], ""long""=>[""-1.40428""], ""id""=>[""2637487""]}",2637487,Southampton,"[-1.40428, 50.90395]"
21,AWD0003kyx,diary,3,3,1917-07-14 19:00:00 UTC,14 Jul 1917,Southampton,"[-1.40428, 50.90395]",0700PM,time,0700PM,{},2637487,Southampton,"[-1.40428, 50.90395]"
22,AWD0003kyx,diary,3,3,1917-07-14 13:00:00 UTC,14 Jul 1917,Southampton,"[-1.40428, 50.90395]",0100PM,time,0100PM,{},2637487,Southampton,"[-1.40428, 50.90395]"
23,AWD0003kyx,diary,3,3,1917-07-14 16:00:00 UTC,14 Jul 1917,Southampton,"[-1.40428, 50.90395]",0400PM,time,0400PM,{},2637487,Southampton,"[-1.40428, 50.90395]"
24,AWD0003kyx,diary,3,2,1917-07-14 16:00:00 UTC,14 Jul 1917,Cowes,"[-1.29772, 50.76306]",0400PM,place,Cowes,"{""place""=>[""Cowes""], ""location""=>[""true""], ""name""=>[""Cowes""], ""lat""=>[""50.76306""], ""long""=>[""-1.29772""], ""id""=>[""2652204""]}",,,
25,AWD0003kyx,diary,3,6,1917-07-15 00:00:00 UTC,15 Jul 1917,Cowes,"[-1.29772, 50.76306]","",diaryDate,15 Jul 1917,"{""day""=>[""15""], ""month""=>[""Jul""], ""year""=>[""1917""]}",,,
26,AWD0003kyx,diary,3,6,1917-07-15 00:00:00 UTC,15 Jul 1917,Havre,"[0.10767, 49.4938]","",place,Havre,"{""place""=>[""Havre""], ""location""=>[""true""], ""name""=>[""Le Havre""], ""lat""=>[""49.4938""], ""long""=>[""0.10767""], ""id""=>[""3003796""]}",3003796,Le Havre,"[0.10767, 49.4938]"
