Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0002k3g,diary,122,3,1917-02-01 00:00:00 UTC,1 Feb 1917,"","[0.0, 0.0]","",diaryDate,1 Feb 1917,"{""day""=>[""1""], ""month""=>[""Feb""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0002k3g,diary,122,4,1917-02-01 00:00:00 UTC,1 Feb 1917,Bethune,"[2.63333, 50.53333]","",place,Bethune,"{""place""=>[""Bethune""], ""location""=>[""true""], ""name""=>[""Béthune"", """"], ""lat""=>[""50.53333"", """"], ""long""=>[""2.63333"", """"], ""id""=>[""3033002"", """"]}",3033002,Béthune,"[2.63333, 50.53333]"
2,AWD0002k3l,diary,123,3,1917-02-01 00:00:00 UTC,1 Feb 1917,Bethune,"[2.63333, 50.53333]","",diaryDate,1 Feb 1917,"{""day""=>[""1""], ""month""=>[""Feb""], ""year""=>[""1917""]}",3033002,Béthune,"[2.63333, 50.53333]"
4,AWD0002k3l,diary,123,2,,"18 Oct,Feb 1917",Bethune,"[2.63333, 50.53333]","",diaryDate,"18 Oct,Feb 1917","{""day""=>[""18""], ""month""=>[""Oct"", ""Feb""], ""year""=>[""1917""]}",3033002,Béthune,"[2.63333, 50.53333]"
5,AWD0002k3l,diary,123,2,,"18 Oct,Feb 1917",Bethune,"[2.63333, 50.53333]","",place,Bethune,"{""place""=>[""Bethune""], ""location""=>[""true""], ""name""=>[""Béthune""], ""lat""=>[""50.53333""], ""long""=>[""2.63333""], ""id""=>[""3033002""]}",3033002,Béthune,"[2.63333, 50.53333]"
2,AWD0002k3r,diary,124,4,1917-02-01 00:00:00 UTC,1 Feb 1917,Bethune,"[2.63333, 50.53333]","",diaryDate,1 Feb 1917,"{""day""=>[""1""], ""month""=>[""Feb""], ""year""=>[""1917""]}",3033002,Béthune,"[2.63333, 50.53333]"
6,AWD0002k3r,diary,124,4,1917-02-01 00:00:00 UTC,1 Feb 1917,Bethune,"[2.63333, 50.53333]","",place,Bethune,"{""place""=>[""Bethune""], ""location""=>[""true""], ""name""=>[""Béthune""], ""lat""=>[""50.53333""], ""long""=>[""2.63333""], ""id""=>[""3033002""]}",3033002,Béthune,"[2.63333, 50.53333]"
7,AWD0002k3r,diary,124,2,1917-02-01 00:00:00 UTC,1 Feb 1917,Bethune,"[2.63333, 50.53333]","",activity,resupplying,{},3033002,Béthune,"[2.63333, 50.53333]"
14,AWD0002k3r,diary,124,2,1917-02-01 00:00:00 UTC,1 Feb 1917,Bethune,"[2.63333, 50.53333]","",unit,63rd Infantry Battalion,"{""name""=>[""63rd Infantry Battalion""], ""context""=>[""relieved_by""]}",3033002,Béthune,"[2.63333, 50.53333]"
1,AWD0002k5z,diary,125,3,1917-02-01 00:00:00 UTC,1 Feb 1917,Bethune,"[2.63333, 50.53333]","",diaryDate,1 Feb 1917,"{""day""=>[""1""], ""month""=>[""Feb""], ""year""=>[""1917""]}",3033002,Béthune,"[2.63333, 50.53333]"
3,AWD0002k5z,diary,125,2,1917-02-01 00:00:00 UTC,1 Feb 1917,Bethune,"[2.63333, 50.53333]","",unit,"15th Inf Bde, 15th Inf. Bdg.","{""name""=>[""15th Inf Bde"", ""15th Inf. Bdg.""], ""context""=>[""relieved_by"", ""other""]}",3033002,Béthune,"[2.63333, 50.53333]"
5,AWD0002k5z,diary,125,2,1917-02-01 19:17:00 UTC,1 Feb 1917,Bethune,"[2.63333, 50.53333]",0717PM,time,0717PM,{},3033002,Béthune,"[2.63333, 50.53333]"
