Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD000341r,diary,6,3,1914-08-02 00:00:00 UTC,2 Aug 1914,"","[0.0, 0.0]","",diaryDate,2 Aug 1914,"{""day""=>[""2""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD000341r,diary,6,5,1914-08-02 00:00:00 UTC,2 Aug 1914,Woking,"[-0.55893, 51.31903]","",place,Woking,"{""place""=>[""Woking""], ""location""=>[""true""], ""name""=>[""Woking""], ""lat""=>[""51.31903""], ""long""=>[""-0.55893""], ""id""=>[""2633709""]}",2633709,Woking,"[-0.55893, 51.31903]"
7,AWD000341r,diary,6,6,1914-08-02 00:00:00 UTC,2 Aug 1914,Woking,"[-0.55893, 51.31903]","",domestic,medical,{},2633709,Woking,"[-0.55893, 51.31903]"
8,AWD000341r,diary,6,4,1914-08-02 00:00:00 UTC,2 Aug 1914,Woking,"[-0.55893, 51.31903]","",domestic,inspections,{},2633709,Woking,"[-0.55893, 51.31903]"
9,AWD000341r,diary,6,3,1914-08-03 00:00:00 UTC,3 Aug 1914,Woking,"[-0.55893, 51.31903]","",diaryDate,3 Aug 1914,"{""day""=>[""3""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2633709,Woking,"[-0.55893, 51.31903]"
11,AWD000341r,diary,6,4,1914-08-03 00:00:00 UTC,3 Aug 1914,Woking,"[-0.55893, 51.31903]","",place,Woking,"{""place""=>[""Woking""], ""location""=>[""true""], ""name""=>[""Woking""], ""lat""=>[""51.31903""], ""long""=>[""-0.55893""], ""id""=>[""2633709""]}",2633709,Woking,"[-0.55893, 51.31903]"
14,AWD000341r,diary,6,2,1914-08-03 00:00:00 UTC,3 Aug 1914,Woking,"[-0.55893, 51.31903]","",domestic,inspections,{},2633709,Woking,"[-0.55893, 51.31903]"
15,AWD000341r,diary,6,4,1914-08-04 00:00:00 UTC,4 Aug 1914,Woking,"[-0.55893, 51.31903]","",diaryDate,4 Aug 1914,"{""day""=>[""4""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2633709,Woking,"[-0.55893, 51.31903]"
20,AWD000341r,diary,6,3,1914-08-04 00:00:00 UTC,4 Aug 1914,Woking,"[-0.55893, 51.31903]","",place,Woking,"{""place""=>[""Woking""], ""location""=>[""true""], ""name""=>[""Woking""], ""lat""=>[""51.31903""], ""long""=>[""-0.55893""], ""id""=>[""2633709""]}",2633709,Woking,"[-0.55893, 51.31903]"
21,AWD000341r,diary,6,3,1914-08-04 18:30:00 UTC,4 Aug 1914,Woking,"[-0.55893, 51.31903]",0630PM,time,0630PM,{},2633709,Woking,"[-0.55893, 51.31903]"
23,AWD000341r,diary,6,2,1914-08-04 18:30:00 UTC,4 Aug 1914,Woking,"[-0.55893, 51.31903]",0630PM,activity,working,{},2633709,Woking,"[-0.55893, 51.31903]"
