Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD00043js,diary,99,2,,"",In the field,"[0.0, 0.0]","",place,In the field,"{""place""=>[""In the field""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
3,AWD00043js,diary,99,2,1918-05-01 00:00:00 UTC,1 May 1918,In the field,"[0.0, 0.0]","",diaryDate,1 May 1918,"{""day""=>[""1""], ""month""=>[""May""], ""year""=>[""1918""]}",,,
4,AWD00043js,diary,99,3,1918-05-01 15:00:00 UTC,1 May 1918,In the field,"[0.0, 0.0]",0300PM,time,0300PM,{},,,
5,AWD00043js,diary,99,2,1918-05-02 00:00:00 UTC,2 May 1918,In the field,"[0.0, 0.0]","",diaryDate,2 May 1918,"{""day""=>[""2""], ""month""=>[""May""], ""year""=>[""1918""]}",,,
6,AWD00043js,diary,99,4,1918-05-02 00:00:00 UTC,2 May 1918,In the field,"[0.0, 0.0]","",activity,movement,{},,,
8,AWD00043js,diary,99,2,1918-05-02 00:00:00 UTC,2 May 1918,In the field,"[0.0, 0.0]","",place,Alexandria,"{""place""=>[""Alexandria""], ""location""=>[""false""], ""name""=>[""Alexandria""], ""lat""=>[""55.99379""], ""long""=>[""-4.5864""], ""id""=>[""2657513""]}",,,
10,AWD00043js,diary,99,3,1918-05-02 00:00:00 UTC,2 May 1918,In the field,"[0.0, 0.0]","",domestic,parades,{},,,
12,AWD00043js,diary,99,3,1918-05-02 00:00:00 UTC,2 May 1918,In the field,"[0.0, 0.0]","",activity,training,{},,,
17,AWD00043js,diary,99,4,1918-05-07 00:00:00 UTC,7 May 1918,In the field,"[0.0, 0.0]","",diaryDate,7 May 1918,"{""day""=>[""7""], ""month""=>[""May""], ""year""=>[""1918""]}",,,
18,AWD00043js,diary,99,3,1918-05-07 00:00:00 UTC,7 May 1918,In the field,"[0.0, 0.0]",1200AM,time,1200AM,{},,,
19,AWD00043js,diary,99,2,1918-05-07 00:00:00 UTC,7 May 1918,In the field,"[0.0, 0.0]",1200AM,place,"Marseilles, Marseille","{""place""=>[""Marseilles"", ""Marseille""], ""location""=>[""true"", ""false""], ""name""=>["""", ""Marseille""], ""lat""=>["""", ""43.29695""], ""long""=>["""", ""5.38107""], ""id""=>["""", ""2995469""]}",,,
20,AWD00043js,diary,99,2,1918-05-07 14:00:00 UTC,7 May 1918,In the field,"[0.0, 0.0]",0200PM,time,0200PM,{},,,
21,AWD00043js,diary,99,5,1918-05-07 14:00:00 UTC,7 May 1918,In the field,"[0.0, 0.0]",0200PM,activity,movement,{},,,
23,AWD00043js,diary,99,4,1918-05-07 14:00:00 UTC,7 May 1918,Mont Furon,"[0.0, 0.0]",0200PM,place,Mont Furon,"{""place""=>[""Mont Furon""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
24,AWD00043js,diary,99,2,1918-05-07 17:00:00 UTC,7 May 1918,Mont Furon,"[0.0, 0.0]",0500PM,time,0500PM,{},,,
25,AWD00043js,diary,99,4,1918-05-08 00:00:00 UTC,8 May 1918,Mont Furon,"[0.0, 0.0]","",diaryDate,8 May 1918,"{""day""=>[""8""], ""month""=>[""May""], ""year""=>[""1918""]}",,,
30,AWD00043js,diary,99,4,1918-05-09 00:00:00 UTC,9 May 1918,Mont Furon,"[0.0, 0.0]","",diaryDate,9 May 1918,"{""day""=>[""9""], ""month""=>[""May""], ""year""=>[""1918""]}",,,
32,AWD00043js,diary,99,2,1918-05-09 05:00:00 UTC,9 May 1918,Mont Furon,"[0.0, 0.0]",0500AM,time,0500AM,{},,,
33,AWD00043js,diary,99,2,1918-05-09 05:00:00 UTC,9 May 1918,Mont Furon,"[0.0, 0.0]",0500AM,activity,movement,{},,,
34,AWD00043js,diary,99,3,1918-05-09 07:30:00 UTC,9 May 1918,Mont Furon,"[0.0, 0.0]",0730AM,time,0730AM,{},,,
35,AWD00043js,diary,99,2,1918-05-09 09:00:00 UTC,9 May 1918,Mont Furon,"[0.0, 0.0]",0900AM,time,0900AM,{},,,
