Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD00022ro,diary,182,6,1915-01-01 00:00:00 UTC,1 Jan 1915,"","[0.0, 0.0]","",diaryDate,1 Jan 1915,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD00022ro,diary,182,5,1915-01-01 00:00:00 UTC,1 Jan 1915,La Couture,"[0.0, 0.0]","",place,La Couture,"{""place""=>[""La Couture""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3009805,La Couture,"[2.7071, 50.58212]"
3,AWD00022ro,diary,182,3,1915-01-01 00:00:00 UTC,1 Jan 1915,La Couture,"[0.0, 0.0]","",activity,attack,{},3009805,La Couture,"[2.7071, 50.58212]"
6,AWD00022ro,diary,182,2,1915-01-01 00:00:00 UTC,1 Jan 1915,La Couture,"[0.0, 0.0]","",activity,attack,{},3009805,La Couture,"[2.7071, 50.58212]"
7,AWD00022ro,diary,182,3,1915-01-01 00:00:00 UTC,1 Jan 1915,La Couture,"[0.0, 0.0]","",unit,Worcesters,"{""name""=>[""Worcesters""], ""context""=>[""other""]}",3009805,La Couture,"[2.7071, 50.58212]"
8,AWD00022ro,diary,182,2,1915-01-06 00:00:00 UTC,6 Jan 1915,La Couture,"[0.0, 0.0]","",diaryDate,6 Jan 1915,"{""day""=>[""6""], ""month""=>[""Jan""], ""year""=>[""1915""]}",3009805,La Couture,"[2.7071, 50.58212]"
10,AWD00022ro,diary,182,4,1915-01-06 00:00:00 UTC,6 Jan 1915,La Couture,"[0.0, 0.0]","",place,Bois du Biez,"{""place""=>[""Bois du Biez""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3009805,La Couture,"[2.7071, 50.58212]"
12,AWD00022ro,diary,182,6,1915-01-02 00:00:00 UTC,2 Jan 1915,La Couture,"[0.0, 0.0]","",diaryDate,2 Jan 1915,"{""day""=>[""2""], ""month""=>[""Jan""], ""year""=>[""1915""]}",3009805,La Couture,"[2.7071, 50.58212]"
13,AWD00022ro,diary,182,5,1915-01-02 00:00:00 UTC,2 Jan 1915,La Couture,"[2.7071, 50.58212]","",place,La Couture,"{""place""=>[""La Couture""], ""location""=>[""true""], ""name""=>[""La Couture""], ""lat""=>[""50.58212""], ""long""=>[""2.7071""], ""id""=>[""3009805""]}",3009805,La Couture,"[2.7071, 50.58212]"
14,AWD00022ro,diary,182,5,1915-01-02 00:00:00 UTC,2 Jan 1915,La Couture,"[2.7071, 50.58212]","",person,Lieutenant  Walrond,"{""first""=>[""""], ""surname""=>[""Walrond""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""departed_posted""], ""unit""=>["""", ""RHA 2nd Cavalry Division""]}",3009805,La Couture,"[2.7071, 50.58212]"
15,AWD00022ro,diary,182,2,1915-01-02 00:00:00 UTC,2 Jan 1915,La Couture,"[2.7071, 50.58212]","",gridRef,J 23 a,{},3009805,La Couture,"[2.7071, 50.58212]"
16,AWD00022ro,diary,182,5,1915-01-02 00:00:00 UTC,2 Jan 1915,La Couture,"[2.7071, 50.58212]","",activity,attack,{},3009805,La Couture,"[2.7071, 50.58212]"
17,AWD00022ro,diary,182,2,1915-01-02 00:00:00 UTC,2 Jan 1915,La Couture,"[2.7071, 50.58212]","",activity,enemy_activity,{},3009805,La Couture,"[2.7071, 50.58212]"
18,AWD00022ro,diary,182,3,1915-01-02 00:00:00 UTC,2 Jan 1915,La Couture,"[2.7071, 50.58212]","",unit,Worcesters,"{""name""=>[""Worcesters""], ""context""=>[""other""]}",3009805,La Couture,"[2.7071, 50.58212]"
20,AWD00022ro,diary,182,3,1915-01-02 03:00:00 UTC,2 Jan 1915,La Couture,"[2.7071, 50.58212]",0300AM,time,0300AM,{},3009805,La Couture,"[2.7071, 50.58212]"
21,AWD00022ro,diary,182,3,1915-01-02 06:00:00 UTC,2 Jan 1915,La Couture,"[2.7071, 50.58212]",0600AM,time,0600AM,{},3009805,La Couture,"[2.7071, 50.58212]"
23,AWD00022ro,diary,182,6,1915-01-03 00:00:00 UTC,3 Jan 1915,La Couture,"[2.7071, 50.58212]","",diaryDate,3 Jan 1915,"{""day""=>[""3""], ""month""=>[""Jan""], ""year""=>[""1915""]}",3009805,La Couture,"[2.7071, 50.58212]"
24,AWD00022ro,diary,182,4,1915-01-03 00:00:00 UTC,3 Jan 1915,La Couture,"[2.7071, 50.58212]","",place,La Couture,"{""place""=>[""La Couture""], ""location""=>[""true""], ""name""=>[""La Couture"", """"], ""lat""=>[""50.58212"", """"], ""long""=>[""2.7071"", """"], ""id""=>[""3009805"", """"]}",3009805,La Couture,"[2.7071, 50.58212]"
25,AWD00022ro,diary,182,2,1915-01-03 00:00:00 UTC,3 Jan 1915,La Couture,"[2.7071, 50.58212]","",gridRef,Q 6 d,{},3009805,La Couture,"[2.7071, 50.58212]"
26,AWD00022ro,diary,182,4,1915-01-03 00:00:00 UTC,3 Jan 1915,La Couture,"[2.7071, 50.58212]","",activity,attack,{},3009805,La Couture,"[2.7071, 50.58212]"
27,AWD00022ro,diary,182,2,1915-01-03 00:00:00 UTC,3 Jan 1915,"La Couture, La couture","[2.7071, 50.58212]","",place,"La Couture, La couture","{""place""=>[""La Couture"", ""La couture""], ""location""=>[""true""], ""name""=>[""La Couture""], ""lat""=>[""50.58212""], ""long""=>[""2.7071""], ""id""=>[""3009805""]}",3009805,La Couture,"[2.7071, 50.58212]"
29,AWD00022ro,diary,182,6,1915-01-04 00:00:00 UTC,4 Jan 1915,"La Couture, La couture","[2.7071, 50.58212]","",diaryDate,4 Jan 1915,"{""day""=>[""4""], ""month""=>[""Jan""], ""year""=>[""1915""]}",3009805,La Couture,"[2.7071, 50.58212]"
31,AWD00022ro,diary,182,2,1915-01-04 00:00:00 UTC,4 Jan 1915,"La Couture, La couture","[2.7071, 50.58212]","",activity,enemy_activity,{},3009805,La Couture,"[2.7071, 50.58212]"
32,AWD00022ro,diary,182,4,1915-01-04 00:00:00 UTC,4 Jan 1915,La Couture,"[2.7071, 50.58212]","",place,La Couture,"{""place""=>[""La Couture""], ""location""=>[""true""], ""name""=>["""", ""La Couture""], ""lat""=>["""", ""50.58212""], ""long""=>["""", ""2.7071""], ""id""=>["""", ""3009805""]}",3009805,La Couture,"[2.7071, 50.58212]"
33,AWD00022ro,diary,182,2,1915-01-04 00:00:00 UTC,4 Jan 1915,La Couture,"[2.7071, 50.58212]","",unit,5th Brigade,"{""name""=>[""5th Brigade""], ""context""=>[""joined"", ""other""]}",3009805,La Couture,"[2.7071, 50.58212]"
34,AWD00022ro,diary,182,2,1915-01-04 00:00:00 UTC,4 Jan 1915,La Couture,"[2.7071, 50.58212]","",activity,attack,{},3009805,La Couture,"[2.7071, 50.58212]"
35,AWD00022ro,diary,182,6,1915-01-05 00:00:00 UTC,5 Jan 1915,La Couture,"[2.7071, 50.58212]","",diaryDate,5 Jan 1915,"{""day""=>[""5""], ""month""=>[""Jan""], ""year""=>[""1915""]}",3009805,La Couture,"[2.7071, 50.58212]"
36,AWD00022ro,diary,182,5,1915-01-05 00:00:00 UTC,5 Jan 1915,La Couture,"[2.7071, 50.58212]","",place,La Couture,"{""place""=>[""La Couture""], ""location""=>[""true""], ""name""=>[""La Couture""], ""lat""=>[""50.58212""], ""long""=>[""2.7071""], ""id""=>[""3009805""]}",3009805,La Couture,"[2.7071, 50.58212]"
37,AWD00022ro,diary,182,3,1915-01-05 00:00:00 UTC,5 Jan 1915,La Couture,"[2.7071, 50.58212]","",activity,attack,{},3009805,La Couture,"[2.7071, 50.58212]"
2,AWD00022q2,diary,183,8,1915-01-06 00:00:00 UTC,6 Jan 1915,La Couture,"[2.7071, 50.58212]","",diaryDate,6 Jan 1915,"{""day""=>[""6""], ""month""=>[""Jan""], ""year""=>[""1915""]}",3009805,La Couture,"[2.7071, 50.58212]"
