Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0001nez,diary,4,6,1914-10-05 00:00:00 UTC,5 Oct 1914,"","[0.0, 0.0]","",diaryDate,5 Oct 1914,"{""day""=>[""5""], ""month""=>[""Oct""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0001nez,diary,4,2,1914-10-05 00:00:00 UTC,5 Oct 1914,"","[0.0, 0.0]","",activity,other,{},2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0001nez,diary,4,2,1914-10-05 00:00:00 UTC,5 Oct 1914,Southampton,"[-1.40428, 50.90395]","",place,Southampton,"{""place""=>[""Southampton""], ""location""=>[""true""], ""name""=>[""Southampton""], ""lat""=>[""50.90395""], ""long""=>[""-1.40428""], ""id""=>[""2637487""]}",2637487,Southampton,"[-1.40428, 50.90395]"
5,AWD0001nez,diary,4,6,1914-10-06 00:00:00 UTC,6 Oct 1914,Southampton,"[-1.40428, 50.90395]","",diaryDate,6 Oct 1914,"{""day""=>[""6""], ""month""=>[""Oct""], ""year""=>[""1914""]}",2637487,Southampton,"[-1.40428, 50.90395]"
6,AWD0001nez,diary,4,4,1914-10-06 03:00:00 UTC,6 Oct 1914,Southampton,"[-1.40428, 50.90395]",0300AM,time,0300AM,{},2637487,Southampton,"[-1.40428, 50.90395]"
7,AWD0001nez,diary,4,3,1914-10-06 08:00:00 UTC,6 Oct 1914,Southampton,"[-1.40428, 50.90395]",0800AM,time,0800AM,{},2637487,Southampton,"[-1.40428, 50.90395]"
9,AWD0001nez,diary,4,3,1914-10-06 08:00:00 UTC,6 Oct 1914,Southampton,"[-1.40428, 50.90395]",0800AM,place,Southampton,"{""place""=>[""Southampton""], ""location""=>[""false""], ""name""=>[""Southampton""], ""lat""=>[""50.90395""], ""long""=>[""-1.40428""], ""id""=>[""2637487""]}",2637487,Southampton,"[-1.40428, 50.90395]"
10,AWD0001nez,diary,4,2,1914-10-06 08:00:00 UTC,6 Oct 1914,"Southampton water, Southampton Water","[-1.40428, 50.90395]",0800AM,place,"Southampton water, Southampton Water","{""place""=>[""Southampton water"", ""Southampton Water""], ""location""=>[""true""], ""name""=>["""", ""Southampton""], ""lat""=>["""", ""50.90395""], ""long""=>["""", ""-1.40428""], ""id""=>["""", ""2637487""]}",,,
11,AWD0001nez,diary,4,3,1914-10-06 08:00:00 UTC,6 Oct 1914,"Southampton water, Southampton Water","[-1.40428, 50.90395]",0800AM,activity,movement,{},,,
13,AWD0001nez,diary,4,5,1914-10-06 08:00:00 UTC,6 Oct 1914,"Southampton water, Southampton Water","[-1.40428, 50.90395]",0800AM,place,Dover Straits,"{""place""=>[""Dover Straits""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
