Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0001lwn,cover,1,3,,,,[],,diaryDate,1 Dec 1916,"{""day""=>[""1""], ""month""=>[""Dec""], ""year""=>[""1916""]}",,,
1,AWD0001lxt,cover,2,2,,,,[],,diaryDate,1 Dec 1916,"{""day""=>[""1""], ""month""=>[""Dec""], ""year""=>[""1916""]}",,,
1,AWD0001lx0,diary,4,5,1916-01-01 00:00:00 UTC,1 Jan 1916,"","[0.0, 0.0]","",diaryDate,1 Jan 1916,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0001lx0,diary,4,4,1916-01-01 00:00:00 UTC,1 Jan 1916,Tirancourt,"[0.0, 0.0]","",place,Tirancourt,"{""place""=>[""Tirancourt""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2983622,Riencourt,"[2.05037, 49.92162]"
6,AWD0001lx0,diary,4,4,1916-01-02 00:00:00 UTC,2 Jan 1916,Tirancourt,"[0.0, 0.0]","",diaryDate,2 Jan 1916,"{""day""=>[""2""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2983622,Riencourt,"[2.05037, 49.92162]"
7,AWD0001lx0,diary,4,3,1916-01-02 00:00:00 UTC,2 Jan 1916,Tirancourt,"[0.0, 0.0]","",activity,working,{},2983622,Riencourt,"[2.05037, 49.92162]"
10,AWD0001lx0,diary,4,2,1916-01-02 00:00:00 UTC,2 Jan 1916,Tirancourt,"[0.0, 0.0]","",activity,training,{},2983622,Riencourt,"[2.05037, 49.92162]"
11,AWD0001lx0,diary,4,5,1916-01-02 00:00:00 UTC,2 Jan 1916,Croux,"[0.44536, 44.87777]","",place,Croux,"{""place""=>[""Croux""], ""location""=>[""true""], ""name""=>[""Croux""], ""lat""=>[""44.87777""], ""long""=>[""0.44536""], ""id""=>[""3022272""]}",,,
12,AWD0001lx0,diary,4,3,1916-01-03 00:00:00 UTC,3 Jan 1916,Croux,"[0.44536, 44.87777]","",diaryDate,3 Jan 1916,"{""day""=>[""3""], ""month""=>[""Jan""], ""year""=>[""1916""]}",,,
13,AWD0001lx0,diary,4,4,1916-01-04 00:00:00 UTC,4 Jan 1916,Croux,"[0.44536, 44.87777]","",diaryDate,4 Jan 1916,"{""day""=>[""4""], ""month""=>[""Jan""], ""year""=>[""1916""]}",,,
14,AWD0001lx0,diary,4,2,1916-01-19 00:00:00 UTC,19 Jan 1916,Croux,"[0.44536, 44.87777]","",diaryDate,19 Jan 1916,"{""day""=>[""19""], ""month""=>[""Jan""], ""year""=>[""1916""]}",,,
15,AWD0001lx0,diary,4,3,1916-01-05 00:00:00 UTC,5 Jan 1916,Croux,"[0.44536, 44.87777]","",diaryDate,5 Jan 1916,"{""day""=>[""5""], ""month""=>[""Jan""], ""year""=>[""1916""]}",,,
17,AWD0001lx0,diary,4,2,1916-01-05 00:00:00 UTC,5 Jan 1916,Croux,"[0.44536, 44.87777]","",domestic,parades,{},,,
19,AWD0001lx0,diary,4,4,1916-01-06 00:00:00 UTC,6 Jan 1916,Croux,"[0.44536, 44.87777]","",diaryDate,6 Jan 1916,"{""day""=>[""6""], ""month""=>[""Jan""], ""year""=>[""1916""]}",,,
