Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD0003avd,diary,93,4,1914-08-05 00:00:00 UTC,5 Aug 1914,"","[0.0, 0.0]","",diaryDate,5 Aug 1914,"{""day""=>[""5""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
6,AWD0003avd,diary,93,3,1914-08-05 00:00:00 UTC,5 Aug 1914,"","[0.0, 0.0]","",activity,training,{},2985684,Pozières,"[2.72929, 50.04047]"
8,AWD0003avd,diary,93,4,1914-08-05 00:00:00 UTC,5 Aug 1914,"","[0.0, 0.0]","",weather,rain,{},2985684,Pozières,"[2.72929, 50.04047]"
9,AWD0003avd,diary,93,2,1914-08-05 00:00:00 UTC,5 Aug 1914,"","[0.0, 0.0]","",weather,cold,{},2985684,Pozières,"[2.72929, 50.04047]"
10,AWD0003avd,diary,93,4,1914-08-05 00:00:00 UTC,5 Aug 1914,"","[0.0, 0.0]","",weather,hot,{},2985684,Pozières,"[2.72929, 50.04047]"
12,AWD0003avd,diary,93,2,1914-08-05 00:00:00 UTC,5 Aug 1914,"","[0.0, 0.0]","",place,"Le Cateau, LE CATEAU","{""place""=>[""Le Cateau"", ""LE CATEAU""], ""location""=>[""false"", ""true""], ""name""=>["""", ""Le Cateau-Cambrésis""], ""lat""=>["""", ""50.1""], ""long""=>["""", ""3.55""], ""id""=>["""", ""3004835""]}",2985684,Pozières,"[2.72929, 50.04047]"
1,AWD0003awa,diary,94,5,1914-08-17 00:00:00 UTC,17 Aug 1914,"","[0.0, 0.0]","",diaryDate,17 Aug 1914,"{""day""=>[""17""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0003awa,diary,94,2,1914-08-17 07:46:00 UTC,17 Aug 1914,"","[0.0, 0.0]",0746AM,time,0746AM,{},2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0003awa,diary,94,3,1914-08-17 07:46:00 UTC,17 Aug 1914,Amesbury,"[-1.78064, 51.17509]",0746AM,place,Amesbury,"{""place""=>[""Amesbury""], ""location""=>[""true""], ""name""=>[""Amesbury""], ""lat""=>[""51.17509""], ""long""=>[""-1.78064""], ""id""=>[""2657355""]}",2657355,Amesbury,"[-1.78064, 51.17509]"
4,AWD0003awa,diary,94,4,1914-08-17 07:46:00 UTC,17 Aug 1914,Amesbury,"[-1.78064, 51.17509]",0746AM,activity,movement,{},2657355,Amesbury,"[-1.78064, 51.17509]"
5,AWD0003awa,diary,94,3,1914-08-17 09:45:00 UTC,17 Aug 1914,Amesbury,"[-1.78064, 51.17509]",0945AM,time,0945AM,{},2657355,Amesbury,"[-1.78064, 51.17509]"
6,AWD0003awa,diary,94,5,1914-08-17 09:45:00 UTC,17 Aug 1914,Southampton,"[-1.40428, 50.90395]",0945AM,place,Southampton,"{""place""=>[""Southampton""], ""location""=>[""true""], ""name""=>[""Southampton""], ""lat""=>[""50.90395""], ""long""=>[""-1.40428""], ""id""=>[""2637487""]}",2637487,Southampton,"[-1.40428, 50.90395]"
7,AWD0003awa,diary,94,5,1914-08-18 00:00:00 UTC,18 Aug 1914,Southampton,"[-1.40428, 50.90395]","",diaryDate,18 Aug 1914,"{""day""=>[""18""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2637487,Southampton,"[-1.40428, 50.90395]"
10,AWD0003awa,diary,94,2,1914-08-18 03:00:00 UTC,18 Aug 1914,Southampton,"[-1.40428, 50.90395]",0300AM,time,0300AM,{},2637487,Southampton,"[-1.40428, 50.90395]"
11,AWD0003awa,diary,94,2,1914-08-18 03:00:00 UTC,18 Aug 1914,Southampton,"[-1.40428, 50.90395]",0300AM,activity,movement,{},2637487,Southampton,"[-1.40428, 50.90395]"
12,AWD0003awa,diary,94,3,1914-08-18 03:00:00 UTC,18 Aug 1914,Southampton,"[-1.41981, 50.90325]",0300AM,place,Southampton,"{""place""=>[""Southampton""], ""location""=>[""true""], ""name""=>[""Southampton Port""], ""lat""=>[""50.90325""], ""long""=>[""-1.41981""], ""id""=>[""9253608""]}",2637487,Southampton,"[-1.40428, 50.90395]"
14,AWD0003awa,diary,94,2,1914-08-18 18:00:00 UTC,18 Aug 1914,Southampton,"[-1.41981, 50.90325]",0600PM,time,0600PM,{},2637487,Southampton,"[-1.40428, 50.90395]"
15,AWD0003awa,diary,94,5,1914-08-18 18:00:00 UTC,18 Aug 1914,Havre,"[0.10767, 49.4938]",0600PM,place,Havre,"{""place""=>[""Havre""], ""location""=>[""true""], ""name""=>["""", ""Le Havre""], ""lat""=>["""", ""49.4938""], ""long""=>["""", ""0.10767""], ""id""=>["""", ""3003796""]}",3003796,Le Havre,"[0.10767, 49.4938]"
16,AWD0003awa,diary,94,5,1914-08-19 00:00:00 UTC,19 Aug 1914,Havre,"[0.10767, 49.4938]","",diaryDate,19 Aug 1914,"{""day""=>[""19""], ""month""=>[""Aug""], ""year""=>[""1914""]}",3003796,Le Havre,"[0.10767, 49.4938]"
17,AWD0003awa,diary,94,2,1914-08-19 07:00:00 UTC,19 Aug 1914,Havre,"[0.10767, 49.4938]",0700AM,time,0700AM,{},3003796,Le Havre,"[0.10767, 49.4938]"
19,AWD0003awa,diary,94,3,1914-08-19 07:00:00 UTC,19 Aug 1914,Havre,"[0.10767, 49.4938]",0700AM,activity,movement,{},3003796,Le Havre,"[0.10767, 49.4938]"
21,AWD0003awa,diary,94,2,1914-08-19 14:30:00 UTC,19 Aug 1914,Havre,"[0.10767, 49.4938]",0230PM,time,0230PM,{},3003796,Le Havre,"[0.10767, 49.4938]"
23,AWD0003awa,diary,94,3,1914-08-19 22:30:00 UTC,19 Aug 1914,Havre,"[0.10767, 49.4938]",1030PM,time,1030PM,{},3003796,Le Havre,"[0.10767, 49.4938]"
25,AWD0003awa,diary,94,5,1914-08-20 00:00:00 UTC,20 Aug 1914,Havre,"[0.10767, 49.4938]","",diaryDate,20 Aug 1914,"{""day""=>[""20""], ""month""=>[""Aug""], ""year""=>[""1914""]}",3003796,Le Havre,"[0.10767, 49.4938]"
26,AWD0003awa,diary,94,2,1914-08-20 03:00:00 UTC,20 Aug 1914,Havre,"[0.10767, 49.4938]",0300AM,time,0300AM,{},3003796,Le Havre,"[0.10767, 49.4938]"
