Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD00030zf,diary,4,4,1915-08-22 00:00:00 UTC,22 Aug 1915,"","[0.0, 0.0]","",diaryDate,22 Aug 1915,"{""day""=>[""22""], ""month""=>[""Aug""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD00030zf,diary,4,3,1915-08-22 00:00:00 UTC,22 Aug 1915,"","[0.0, 0.0]","",activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
4,AWD00030zf,diary,4,3,1915-08-22 00:00:00 UTC,22 Aug 1915,Calais,"[1.85635, 50.95194]","",place,Calais,"{""place""=>[""Calais""], ""location""=>[""true""], ""name""=>[""Calais""], ""lat""=>[""50.95194""], ""long""=>[""1.85635""], ""id""=>[""3029162""]}",3029162,Calais,"[1.85635, 50.95194]"
7,AWD00030zf,diary,4,2,1915-08-22 00:00:00 UTC,22 Aug 1915,Calais,"[1.85635, 50.95194]","",place,"wandanigus, Wandanigus","{""place""=>[""wandanigus"", ""Wandanigus""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3029162,Calais,"[1.85635, 50.95194]"
8,AWD00030zf,diary,4,4,1915-08-23 00:00:00 UTC,23 Aug 1915,Calais,"[1.85635, 50.95194]","",diaryDate,23 Aug 1915,"{""day""=>[""23""], ""month""=>[""Aug""], ""year""=>[""1915""]}",3029162,Calais,"[1.85635, 50.95194]"
9,AWD00030zf,diary,4,3,1915-08-23 06:00:00 UTC,23 Aug 1915,Calais,"[1.85635, 50.95194]",0600AM,time,0600AM,{},3029162,Calais,"[1.85635, 50.95194]"
10,AWD00030zf,diary,4,2,1915-08-23 06:00:00 UTC,23 Aug 1915,Calais,"[1.85635, 50.95194]",0600AM,activity,movement,{},3029162,Calais,"[1.85635, 50.95194]"
11,AWD00030zf,diary,4,3,1915-08-23 16:00:00 UTC,23 Aug 1915,Calais,"[1.85635, 50.95194]",0400PM,time,0400PM,{},3029162,Calais,"[1.85635, 50.95194]"
15,AWD00030zf,diary,4,4,1915-08-24 00:00:00 UTC,24 Aug 1915,Calais,"[1.85635, 50.95194]","",diaryDate,24 Aug 1915,"{""day""=>[""24""], ""month""=>[""Aug""], ""year""=>[""1915""]}",3029162,Calais,"[1.85635, 50.95194]"
16,AWD00030zf,diary,4,2,1915-08-24 00:00:00 UTC,24 Aug 1915,"WormHoubt, Wormhoubt","[1.85635, 50.95194]","",place,"WormHoubt, Wormhoubt","{""place""=>[""WormHoubt"", ""Wormhoubt""], ""location""=>[""true""], ""name""=>["""", ""Calais""], ""lat""=>["""", ""50.95194""], ""long""=>["""", ""1.85635""], ""id""=>["""", ""3029162""]}",,,
