Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0001oqw,diary,4,5,1914-11-01 00:00:00 UTC,1 Nov 1914,"","[0.0, 0.0]","",diaryDate,1 Nov 1914,"{""day""=>[""1""], ""month""=>[""Nov""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0001oqw,diary,4,2,1914-11-01 00:00:00 UTC,1 Nov 1914,"","[0.0, 0.0]","",activity,other,{},2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0001oqw,diary,4,2,1914-11-01 00:00:00 UTC,1 Nov 1914,"","[0.0, 0.0]","",unit,"8th Btn Highland Light Infantry, 8th Bn Highland Light Infantry","{""name""=>[""8th Btn Highland Light Infantry"", ""8th Bn Highland Light Infantry""], ""context""=>[""joined"", ""other""]}",2985684,Pozières,"[2.72929, 50.04047]"
8,AWD0001oqw,diary,4,5,1914-11-02 00:00:00 UTC,2 Nov 1914,"","[0.0, 0.0]","",diaryDate,2 Nov 1914,"{""day""=>[""2""], ""month""=>[""Nov""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
9,AWD0001oqw,diary,4,3,1914-11-02 00:00:00 UTC,2 Nov 1914,"","[0.0, 0.0]","",place,Haddington,"{""place""=>[""Haddington""], ""location""=>[""false""], ""name""=>[""Haddington""], ""lat""=>[""55.95612""], ""long""=>[""-2.78332""], ""id""=>[""2647686""]}",2985684,Pozières,"[2.72929, 50.04047]"
10,AWD0001oqw,diary,4,4,1914-11-02 00:00:00 UTC,2 Nov 1914,"","[0.0, 0.0]","",activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
11,AWD0001oqw,diary,4,3,1914-11-02 00:00:00 UTC,2 Nov 1914,Haddington,"[-2.78332, 55.95612]","",place,Haddington,"{""place""=>[""Haddington""], ""location""=>[""true""], ""name""=>[""Haddington""], ""lat""=>[""55.95612""], ""long""=>[""-2.78332""], ""id""=>[""2647686""]}",2647686,Haddington,"[-2.78332, 55.95612]"
12,AWD0001oqw,diary,4,2,1914-11-02 00:00:00 UTC,2 Nov 1914,"deptford, Deptford","[-0.02609, 51.47764]","",place,"deptford, Deptford","{""place""=>[""deptford"", ""Deptford""], ""location""=>[""true""], ""name""=>[""Deptford""], ""lat""=>[""51.47764""], ""long""=>[""-0.02609""], ""id""=>[""2651349""]}",2651349,Deptford,"[-0.02609, 51.47764]"
16,AWD0001oqw,diary,4,3,1914-11-02 00:00:00 UTC,2 Nov 1914,"deptford, Deptford","[-0.02609, 51.47764]","",activity,movement,{},2651349,Deptford,"[-0.02609, 51.47764]"
17,AWD0001oqw,diary,4,3,1914-11-02 00:00:00 UTC,2 Nov 1914,"deptford, Deptford","[-0.02609, 51.47764]","",place,Southampton,"{""place""=>[""Southampton""], ""location""=>[""false""], ""name""=>[""Southampton"", ""Southampton Port"", """"], ""lat""=>[""50.90395"", ""50.90325"", """"], ""long""=>[""-1.40428"", ""-1.41981"", """"], ""id""=>[""2637487"", ""9253608"", """"]}",2651349,Deptford,"[-0.02609, 51.47764]"
18,AWD0001oqw,diary,4,4,1914-11-02 00:00:00 UTC,2 Nov 1914,"deptford, Deptford","[-0.02609, 51.47764]","",strength,"officer: 30, other: 982",{},2651349,Deptford,"[-0.02609, 51.47764]"
19,AWD0001oqw,diary,4,5,1914-11-03 00:00:00 UTC,3 Nov 1914,"deptford, Deptford","[-0.02609, 51.47764]","",diaryDate,3 Nov 1914,"{""day""=>[""3""], ""month""=>[""Nov""], ""year""=>[""1914""]}",2651349,Deptford,"[-0.02609, 51.47764]"
20,AWD0001oqw,diary,4,4,1914-11-03 00:00:00 UTC,3 Nov 1914,Southampton,"[-1.40428, 50.90395]","",place,Southampton,"{""place""=>[""Southampton""], ""location""=>[""true""], ""name""=>[""Southampton""], ""lat""=>[""50.90395""], ""long""=>[""-1.40428""], ""id""=>[""2637487""]}",2637487,Southampton,"[-1.40428, 50.90395]"
21,AWD0001oqw,diary,4,5,1914-11-03 00:00:00 UTC,3 Nov 1914,Southampton,"[-1.40428, 50.90395]","",activity,movement,{},2637487,Southampton,"[-1.40428, 50.90395]"
25,AWD0001oqw,diary,4,6,1914-11-04 00:00:00 UTC,4 Nov 1914,Southampton,"[-1.40428, 50.90395]","",diaryDate,4 Nov 1914,"{""day""=>[""4""], ""month""=>[""Nov""], ""year""=>[""1914""]}",2637487,Southampton,"[-1.40428, 50.90395]"
27,AWD0001oqw,diary,4,2,1914-11-04 00:00:00 UTC,4 Nov 1914,"southampton, Southampton","[0.0, 0.0]","",place,"southampton, Southampton","{""place""=>[""southampton"", ""Southampton""], ""location""=>[""true""], ""name""=>[""Southampton Port"", ""Southampton""], ""lat""=>[""50.90325"", ""50.90395""], ""long""=>[""-1.41981"", ""-1.40428""], ""id""=>[""9253608"", ""2637487""]}",2637487,Southampton,"[-1.40428, 50.90395]"
28,AWD0001oqw,diary,4,7,1914-11-04 00:00:00 UTC,4 Nov 1914,"southampton, Southampton","[0.0, 0.0]","",activity,movement,{},2637487,Southampton,"[-1.40428, 50.90395]"
29,AWD0001oqw,diary,4,2,1914-11-04 18:15:00 UTC,4 Nov 1914,"southampton, Southampton","[0.0, 0.0]",0615PM,time,0615PM,{},2637487,Southampton,"[-1.40428, 50.90395]"
30,AWD0001oqw,diary,4,5,1914-11-05 00:00:00 UTC,5 Nov 1914,"southampton, Southampton","[0.0, 0.0]","",diaryDate,5 Nov 1914,"{""day""=>[""5""], ""month""=>[""Nov""], ""year""=>[""1914""]}",2637487,Southampton,"[-1.40428, 50.90395]"
31,AWD0001oqw,diary,4,7,1914-11-05 00:00:00 UTC,5 Nov 1914,"southampton, Southampton","[0.0, 0.0]","",place,Havre,"{""place""=>[""Havre""], ""location""=>[""false""], ""name""=>[""Le Havre""], ""lat""=>[""49.4938""], ""long""=>[""0.10767""], ""id""=>[""3003796""]}",2637487,Southampton,"[-1.40428, 50.90395]"
36,AWD0001oqw,diary,4,2,1914-11-05 04:00:00 UTC,5 Nov 1914,"southampton, Southampton","[0.0, 0.0]",0400AM,time,0400AM,{},2637487,Southampton,"[-1.40428, 50.90395]"
37,AWD0001oqw,diary,4,5,1914-11-06 00:00:00 UTC,6 Nov 1914,"southampton, Southampton","[0.0, 0.0]","",diaryDate,6 Nov 1914,"{""day""=>[""6""], ""month""=>[""Nov""], ""year""=>[""1914""]}",2637487,Southampton,"[-1.40428, 50.90395]"
38,AWD0001oqw,diary,4,6,1914-11-06 00:00:00 UTC,6 Nov 1914,"southampton, Southampton","[0.0, 0.0]","",activity,movement,{},2637487,Southampton,"[-1.40428, 50.90395]"
39,AWD0001oqw,diary,4,2,1914-11-06 08:00:00 UTC,6 Nov 1914,"southampton, Southampton","[0.0, 0.0]",0800AM,time,0800AM,{},2637487,Southampton,"[-1.40428, 50.90395]"
41,AWD0001oqw,diary,4,3,1914-11-06 08:00:00 UTC,6 Nov 1914,Havre,"[0.0, 0.0]",0800AM,place,Havre,"{""place""=>[""Havre""], ""location""=>[""true""], ""name""=>[""Le Havre"", ""Le Havre Port"", ""Havré""], ""lat""=>[""49.4938"", ""49.48519"", ""50.46401""], ""long""=>[""0.10767"", ""0.11564"", ""4.04675""], ""id""=>[""3003796"", ""9253593"", ""2796353""]}",3003796,Le Havre,"[0.10767, 49.4938]"
42,AWD0001oqw,diary,4,5,1914-11-07 00:00:00 UTC,7 Nov 1914,Havre,"[0.0, 0.0]","",diaryDate,7 Nov 1914,"{""day""=>[""7""], ""month""=>[""Nov""], ""year""=>[""1914""]}",3003796,Le Havre,"[0.10767, 49.4938]"
43,AWD0001oqw,diary,4,5,1914-11-07 00:00:00 UTC,7 Nov 1914,"St Omer, Saint Omer","[2.25, 50.75]","",place,"St Omer, Saint Omer","{""place""=>[""St Omer"", ""Saint Omer""], ""location""=>[""true""], ""name""=>[""Saint-Omer""], ""lat""=>[""50.75""], ""long""=>[""2.25""], ""id""=>[""2977845""]}",2977845,Saint-Omer,"[2.25, 50.75]"
