Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0001joa,diary,4,3,1918-04-01 00:00:00 UTC,1 Apr 1918,"","[0.0, 0.0]","",diaryDate,1 Apr 1918,"{""day""=>[""1""], ""month""=>[""Apr""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0001joa,diary,4,5,1918-04-01 00:00:00 UTC,1 Apr 1918,"","[0.0, 0.0]","",diaryDate,1 Apr 1918,"{""day""=>[""1""], ""month""=>[""Apr""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0001joa,diary,4,8,1918-04-01 00:00:00 UTC,1 Apr 1918,Longare,"[0.0, 0.0]","",place,Longare,"{""place""=>[""Longare""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
6,AWD0001joa,diary,4,4,1918-04-01 00:00:00 UTC,1 Apr 1918,Longare,"[0.0, 0.0]","",place,Seculo,"{""place""=>[""Seculo""], ""location""=>[""false"", ""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
8,AWD0001joa,diary,4,3,1918-04-01 00:00:00 UTC,1 Apr 1918,Longare,"[0.0, 0.0]","",domestic,accomodation,{},,,
10,AWD0001joa,diary,4,5,1918-04-01 00:00:00 UTC,1 Apr 1918,Longare,"[0.0, 0.0]","",place,France,"{""place""=>[""France""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
11,AWD0001joa,diary,4,2,1918-04-02 00:00:00 UTC,2 Apr 1918,Longare,"[0.0, 0.0]","",diaryDate,2 Apr 1918,"{""day""=>[""2""], ""month""=>[""Apr""], ""year""=>[""1918""]}",,,
12,AWD0001joa,diary,4,8,1918-04-02 00:00:00 UTC,2 Apr 1918,Longare,"[0.0, 0.0]","",place,Vicenza,"{""place""=>[""Vicenza""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
13,AWD0001joa,diary,4,2,1918-04-02 00:00:00 UTC,2 Apr 1918,"Vicenza, Italy","[0.0, 0.0]","",place,"Vicenza, Italy","{""place""=>[""Vicenza, Italy""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
14,AWD0001joa,diary,4,4,1918-04-02 00:00:00 UTC,2 Apr 1918,"Vicenza, Italy","[0.0, 0.0]","",diaryDate,2 Apr 1918,"{""day""=>[""2""], ""month""=>[""Apr""], ""year""=>[""1918""]}",,,
15,AWD0001joa,diary,4,5,1918-04-02 00:00:00 UTC,2 Apr 1918,"Vicenza, Italy","[0.0, 0.0]","",activity,movement,{},,,
18,AWD0001joa,diary,4,2,1918-04-02 00:00:00 UTC,2 Apr 1918,"Vicenza, Italy","[0.0, 0.0]","",activity,movement,{},,,
19,AWD0001joa,diary,4,6,1918-04-02 00:00:00 UTC,2 Apr 1918,"Vicenza, Italy","[0.0, 0.0]","",person,Lieutenant Colonel H A Colt,"{""first""=>[""H A""], ""surname""=>[""Colt""], ""rank""=>[""Lieutenant Colonel""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",,,
20,AWD0001joa,diary,4,2,1918-04-02 13:36:00 UTC,2 Apr 1918,"Vicenza, Italy","[0.0, 0.0]",0136PM,time,0136PM,{},,,
21,AWD0001joa,diary,4,6,1918-04-02 13:36:00 UTC,2 Apr 1918,"Vicenza, Italy","[0.0, 0.0]",0136PM,person,"Captain J H MAYWOOD, Maynood, Maywood","{""first""=>[""J H""], ""surname""=>[""MAYWOOD"", ""Maynood"", ""Maywood""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",,,
22,AWD0001joa,diary,4,3,1918-04-02 19:36:00 UTC,2 Apr 1918,"Vicenza, Italy","[0.0, 0.0]",0736PM,time,0736PM,{},,,
24,AWD0001joa,diary,4,5,1918-04-03 00:00:00 UTC,3 Apr 1918,"Vicenza, Italy","[0.0, 0.0]","",diaryDate,3 Apr 1918,"{""day""=>[""3""], ""month""=>[""Apr""], ""year""=>[""1918""]}",,,
26,AWD0001joa,diary,4,3,1918-04-03 00:00:00 UTC,3 Apr 1918,"Vicenza, Italy","[0.0, 0.0]","",place,Italy,"{""place""=>[""Italy""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
27,AWD0001joa,diary,4,3,1918-04-04 00:00:00 UTC,4 Apr 1918,"Vicenza, Italy","[0.0, 0.0]","",diaryDate,4 Apr 1918,"{""day""=>[""4""], ""month""=>[""Apr""], ""year""=>[""1918""]}",,,
28,AWD0001joa,diary,4,7,1918-04-04 00:00:00 UTC,4 Apr 1918,"Vicenza, Italy","[0.0, 0.0]","",activity,movement,{},,,
29,AWD0001joa,diary,4,3,1918-04-04 00:00:00 UTC,4 Apr 1918,"Vicenza, Italy","[0.0, 0.0]","",place,France,"{""place""=>[""France""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
30,AWD0001joa,diary,4,4,1918-04-05 00:00:00 UTC,5 Apr 1918,"Vicenza, Italy","[0.0, 0.0]","",diaryDate,5 Apr 1918,"{""day""=>[""5""], ""month""=>[""Apr""], ""year""=>[""1918""]}",,,
31,AWD0001joa,diary,4,6,1918-04-06 00:00:00 UTC,6 Apr 1918,"Vicenza, Italy","[0.0, 0.0]","",diaryDate,6 Apr 1918,"{""day""=>[""6""], ""month""=>[""Apr""], ""year""=>[""1918""]}",,,
32,AWD0001joa,diary,4,3,1918-04-06 00:00:00 UTC,6 Apr 1918,"Vicenza, Italy","[0.0, 0.0]","",activity,movement,{},,,
33,AWD0001joa,diary,4,4,1918-04-06 00:00:00 UTC,6 Apr 1918,"Vicenza, Italy","[0.0, 0.0]","",place,Petit Houvain,"{""place""=>[""Petit Houvain""], ""location""=>[""false"", ""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
34,AWD0001joa,diary,4,2,1918-04-06 00:00:00 UTC,6 Apr 1918,"Vicenza, Italy","[0.0, 0.0]","",place,Petit Houvain Pas de Calais,"{""place""=>[""Petit Houvain Pas de Calais""], ""location""=>[""true"", ""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
35,AWD0001joa,diary,4,3,1918-04-06 16:00:00 UTC,6 Apr 1918,"Vicenza, Italy","[0.0, 0.0]",0400PM,time,0400PM,{},,,
36,AWD0001joa,diary,4,4,1918-04-06 21:00:00 UTC,6 Apr 1918,"Vicenza, Italy","[0.0, 0.0]",0900PM,time,0900PM,{},,,
37,AWD0001joa,diary,4,3,1918-04-06 21:00:00 UTC,6 Apr 1918,"Vicenza, Italy","[0.0, 0.0]",0900PM,activity,movement,{},,,
38,AWD0001joa,diary,4,3,1918-04-06 21:00:00 UTC,6 Apr 1918,"Vicenza, Italy","[0.0, 0.0]",0900PM,domestic,accomodation,{},,,
39,AWD0001joa,diary,4,8,1918-04-06 21:00:00 UTC,6 Apr 1918,"Vicenza, Italy","[0.0, 0.0]",0900PM,place,Ivergny,"{""place""=>[""Ivergny""], ""location""=>[""false"", ""true""], ""name""=>[""Ivergny""], ""lat""=>[""50.23932""], ""long""=>[""2.39193""], ""id""=>[""3012634""]}",,,
40,AWD0001joa,diary,4,6,1918-04-07 00:00:00 UTC,7 Apr 1918,"Vicenza, Italy","[0.0, 0.0]","",diaryDate,7 Apr 1918,"{""day""=>[""7""], ""month""=>[""Apr""], ""year""=>[""1918""]}",,,
41,AWD0001joa,diary,4,5,1918-04-07 00:00:00 UTC,7 Apr 1918,Ivergny,"[2.39193, 50.23932]","",place,Ivergny,"{""place""=>[""Ivergny""], ""location""=>[""true""], ""name""=>[""Ivergny""], ""lat""=>[""50.23932""], ""long""=>[""2.39193""], ""id""=>[""3012634""]}",3012634,Ivergny,"[2.39193, 50.23932]"
42,AWD0001joa,diary,4,3,1918-04-07 00:00:00 UTC,7 Apr 1918,Ivergny,"[2.39193, 50.23932]","",domestic,accomodation,{},3012634,Ivergny,"[2.39193, 50.23932]"
43,AWD0001joa,diary,4,5,1918-04-07 00:00:00 UTC,7 Apr 1918,Ivergny,"[2.39193, 50.23932]","",weather,overcast,{},3012634,Ivergny,"[2.39193, 50.23932]"
44,AWD0001joa,diary,4,2,1918-04-07 00:00:00 UTC,7 Apr 1918,Ivergny,"[2.39193, 50.23932]","",weather,rain,{},3012634,Ivergny,"[2.39193, 50.23932]"
45,AWD0001joa,diary,4,2,1918-04-07 00:00:00 UTC,7 Apr 1918,Ivergny,"[2.39193, 50.23932]","",casualties,casualties: 0,{},3012634,Ivergny,"[2.39193, 50.23932]"
48,AWD0001joa,diary,4,3,1918-04-08 00:00:00 UTC,8 Apr 1918,Ivergny,"[2.39193, 50.23932]","",diaryDate,8 Apr 1918,"{""day""=>[""8""], ""month""=>[""Apr""], ""year""=>[""1918""]}",3012634,Ivergny,"[2.39193, 50.23932]"
49,AWD0001joa,diary,4,6,1918-04-09 00:00:00 UTC,9 Apr 1918,Ivergny,"[2.39193, 50.23932]","",diaryDate,9 Apr 1918,"{""day""=>[""9""], ""month""=>[""Apr""], ""year""=>[""1918""]}",3012634,Ivergny,"[2.39193, 50.23932]"
50,AWD0001joa,diary,4,3,1918-04-09 10:00:00 UTC,9 Apr 1918,Ivergny,"[2.39193, 50.23932]",1000AM,time,1000AM,{},3012634,Ivergny,"[2.39193, 50.23932]"
51,AWD0001joa,diary,4,6,1918-04-09 10:00:00 UTC,9 Apr 1918,Ivergny,"[2.39193, 50.23932]",1000AM,place,Pommera,"{""place""=>[""Pommera""], ""location""=>[""false""], ""name""=>[""Pommera""], ""lat""=>[""50.17435""], ""long""=>[""2.43678""], ""id""=>[""2986423""]}",3012634,Ivergny,"[2.39193, 50.23932]"
53,AWD0001joa,diary,4,6,1918-04-09 10:00:00 UTC,9 Apr 1918,Ivergny,"[2.39193, 50.23932]",1000AM,activity,movement,{},3012634,Ivergny,"[2.39193, 50.23932]"
54,AWD0001joa,diary,4,3,1918-04-09 10:00:00 UTC,9 Apr 1918,Ivergny,"[2.39193, 50.23932]",1000AM,place,Le Souich,"{""place""=>[""Le Souich""], ""location""=>[""false""], ""name""=>[""Le Souich""], ""lat""=>[""50.22254""], ""long""=>[""2.36502""], ""id""=>[""3000101""]}",3012634,Ivergny,"[2.39193, 50.23932]"
55,AWD0001joa,diary,4,3,1918-04-09 10:00:00 UTC,9 Apr 1918,Ivergny,"[2.39193, 50.23932]",1000AM,place,Lucheux,"{""place""=>[""Lucheux""], ""location""=>[""false""], ""name""=>[""Lucheux""], ""lat""=>[""50.19688""], ""long""=>[""2.41309""], ""id""=>[""2997218""]}",3012634,Ivergny,"[2.39193, 50.23932]"
56,AWD0001joa,diary,4,2,1918-04-09 10:00:00 UTC,9 Apr 1918,Ivergny,"[2.39193, 50.23932]",1000AM,place,Arras,"{""place""=>[""Arras""], ""location""=>[""false"", ""true""], ""name""=>[""Arras""], ""lat""=>[""50.29301""], ""long""=>[""2.78186""], ""id""=>[""3036784""]}",3012634,Ivergny,"[2.39193, 50.23932]"
58,AWD0001joa,diary,4,3,1918-04-09 10:00:00 UTC,9 Apr 1918,Ivergny,"[2.39193, 50.23932]",1000AM,place,L'Esperance,"{""place""=>[""L'Esperance""], ""location""=>[""false""], ""name""=>[""Lucheux""], ""lat""=>[""50.19688""], ""long""=>[""2.41309""], ""id""=>[""2997218""]}",3012634,Ivergny,"[2.39193, 50.23932]"
59,AWD0001joa,diary,4,3,1918-04-09 10:00:00 UTC,9 Apr 1918,Ivergny,"[2.39193, 50.23932]",1000AM,place,Doullens,"{""place""=>[""Doullens""], ""location""=>[""false""], ""name""=>[""Doullens""], ""lat""=>[""50.15724""], ""long""=>[""2.34019""], ""id""=>[""3020944""]}",3012634,Ivergny,"[2.39193, 50.23932]"
61,AWD0001joa,diary,4,3,1918-04-09 10:00:00 UTC,9 Apr 1918,Ivergny,"[2.39193, 50.23932]",1000AM,weather,fine,{},3012634,Ivergny,"[2.39193, 50.23932]"
62,AWD0001joa,diary,4,6,1918-04-10 00:00:00 UTC,10 Apr 1918,Ivergny,"[2.39193, 50.23932]","",diaryDate,10 Apr 1918,"{""day""=>[""10""], ""month""=>[""Apr""], ""year""=>[""1918""]}",3012634,Ivergny,"[2.39193, 50.23932]"
63,AWD0001joa,diary,4,3,1918-04-10 00:00:00 UTC,10 Apr 1918,Ivergny,"[2.39193, 50.23932]","",place,Pommera,"{""place""=>[""Pommera""], ""location""=>[""false""], ""name""=>[""Pommera""], ""lat""=>[""50.17435""], ""long""=>[""2.43678""], ""id""=>[""2986423""]}",3012634,Ivergny,"[2.39193, 50.23932]"
65,AWD0001joa,diary,4,2,1918-04-10 00:00:00 UTC,10 Apr 1918,Ivergny,"[2.39193, 50.23932]","",activity,movement,{},3012634,Ivergny,"[2.39193, 50.23932]"
67,AWD0001joa,diary,4,3,1918-04-10 00:00:00 UTC,10 Apr 1918,Ivergny,"[2.39193, 50.23932]","",activity,movement,{},3012634,Ivergny,"[2.39193, 50.23932]"
69,AWD0001joa,diary,4,5,1918-04-10 00:00:00 UTC,10 Apr 1918,Ivergny,"[2.39193, 50.23932]","",place,Berles-au-Bois,"{""place""=>[""Berles-au-Bois""], ""location""=>[""false""], ""name""=>[""Berles-au-Bois""], ""lat""=>[""50.19772""], ""long""=>[""2.62818""], ""id""=>[""3033345""]}",3012634,Ivergny,"[2.39193, 50.23932]"
72,AWD0001joa,diary,4,3,1918-04-10 00:00:00 UTC,10 Apr 1918,Ivergny,"[2.39193, 50.23932]","",activity,movement,{},3012634,Ivergny,"[2.39193, 50.23932]"
73,AWD0001joa,diary,4,4,1918-04-10 00:00:00 UTC,10 Apr 1918,Ivergny,"[2.39193, 50.23932]","",place,Pommera,"{""place""=>[""Pommera""], ""location""=>[""false""], ""name""=>[""Pommera""], ""lat""=>[""50.17435""], ""long""=>[""2.43678""], ""id""=>[""2986423""]}",3012634,Ivergny,"[2.39193, 50.23932]"
75,AWD0001joa,diary,4,2,1918-04-10 00:00:00 UTC,10 Apr 1918,Ivergny,"[2.39193, 50.23932]","",domestic,accomodation,{},3012634,Ivergny,"[2.39193, 50.23932]"
3,AWD0001jm9,diary,5,2,1918-04-10 00:00:00 UTC,10 Apr 1918,Ivergny,"[2.39193, 50.23932]",1200AM,time,1200AM,{},3012634,Ivergny,"[2.39193, 50.23932]"
