Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003wbk,diary,5,5,1914-08-04 00:00:00 UTC,4 Aug 1914,"","[0.0, 0.0]","",diaryDate,4 Aug 1914,"{""day""=>[""4""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0003wbk,diary,5,2,1914-08-04 00:00:00 UTC,4 Aug 1914,"","[0.0, 0.0]","",activity,other,{},2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0003wbk,diary,5,5,1914-08-04 00:00:00 UTC,4 Aug 1914,Dublin,"[0.0, 0.0]","",place,Dublin,"{""place""=>[""Dublin""], ""location""=>[""true""], ""name""=>[""Villers-Bretonneux"", ""Mœuvres""], ""lat""=>[""49.86844"", ""50.15""], ""long""=>[""2.51688"", ""3.06667""], ""id""=>[""2968415"", ""2993641""]}",,,
6,AWD0003wbk,diary,5,2,1914-08-04 00:00:00 UTC,4 Aug 1914,"Dublin, Ireland","[0.0, 0.0]","",place,"Dublin, Ireland","{""place""=>[""Dublin, Ireland""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
7,AWD0003wbk,diary,5,5,1914-08-05 00:00:00 UTC,5 Aug 1914,"Dublin, Ireland","[0.0, 0.0]","",diaryDate,5 Aug 1914,"{""day""=>[""5""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
11,AWD0003wbk,diary,5,5,1914-08-06 00:00:00 UTC,6 Aug 1914,"Dublin, Ireland","[0.0, 0.0]","",diaryDate,6 Aug 1914,"{""day""=>[""6""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
12,AWD0003wbk,diary,5,3,1914-08-06 00:00:00 UTC,6 Aug 1914,Dublin,"[0.0, 0.0]","",place,Dublin,"{""place""=>[""Dublin""], ""location""=>[""true""], ""name""=>["""", ""Villers-Bretonneux"", ""Mœuvres""], ""lat""=>["""", ""49.86844"", ""50.15""], ""long""=>["""", ""2.51688"", ""3.06667""], ""id""=>["""", ""2968415"", ""2993641""]}",,,
15,AWD0003wbk,diary,5,2,1914-08-06 00:00:00 UTC,6 Aug 1914,Dublin,"[0.0, 0.0]","",activity,training,{},,,
16,AWD0003wbk,diary,5,5,1914-08-07 00:00:00 UTC,7 Aug 1914,Dublin,"[0.0, 0.0]","",diaryDate,7 Aug 1914,"{""day""=>[""7""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
17,AWD0003wbk,diary,5,3,1914-08-07 00:00:00 UTC,7 Aug 1914,Dublin,"[0.0, 0.0]","",place,Dublin,"{""place""=>[""Dublin""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
19,AWD0003wbk,diary,5,3,1914-08-07 00:00:00 UTC,7 Aug 1914,Dublin,"[0.0, 0.0]","",activity,training,{},,,
1,AWD0003w90,diary,6,5,1914-08-08 00:00:00 UTC,8 Aug 1914,Dublin,"[0.0, 0.0]","",diaryDate,8 Aug 1914,"{""day""=>[""8""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
2,AWD0003w90,diary,6,5,1914-08-08 00:00:00 UTC,8 Aug 1914,Dublin,"[0.0, 0.0]","",place,Dublin,"{""place""=>[""Dublin""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
4,AWD0003w90,diary,6,3,1914-08-08 00:00:00 UTC,8 Aug 1914,Dublin,"[0.0, 0.0]","",person,Captain J K T,"{""first""=>[""J K""], ""surname""=>[""T""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",,,
5,AWD0003w90,diary,6,3,1914-08-08 00:00:00 UTC,8 Aug 1914,Dublin,"[0.0, 0.0]","",domestic,inspections,{},,,
6,AWD0003w90,diary,6,3,1914-08-08 00:00:00 UTC,8 Aug 1914,Dublin,"[0.0, 0.0]","",domestic,parades,{},,,
7,AWD0003w90,diary,6,3,1914-08-08 00:00:00 UTC,8 Aug 1914,Dublin,"[0.0, 0.0]","",person,"Lieutenant Colonel J R Longley, LONGLEY, Loughly","{""first""=>[""J R""], ""surname""=>[""Longley"", ""LONGLEY"", ""Loughly""], ""rank""=>[""Lieutenant Colonel""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",,,
10,AWD0003w90,diary,6,5,1914-08-09 00:00:00 UTC,9 Aug 1914,Dublin,"[0.0, 0.0]","",diaryDate,9 Aug 1914,"{""day""=>[""9""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
12,AWD0003w90,diary,6,4,1914-08-09 00:00:00 UTC,9 Aug 1914,Dublin,"[0.0, 0.0]","",place,Dublin,"{""place""=>[""Dublin""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
13,AWD0003w90,diary,6,2,1914-08-09 00:00:00 UTC,9 Aug 1914,Dublin,"[0.0, 0.0]","",activity,training,{},,,
14,AWD0003w90,diary,6,4,1914-08-09 00:00:00 UTC,9 Aug 1914,Dublin,"[0.0, 0.0]","",domestic,parades,{},,,
1,AWD0003wa7,diary,7,5,1914-08-10 00:00:00 UTC,10 Aug 1914,Dublin,"[0.0, 0.0]","",diaryDate,10 Aug 1914,"{""day""=>[""10""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
2,AWD0003wa7,diary,7,4,1914-08-10 00:00:00 UTC,10 Aug 1914,Dublin,"[0.0, 0.0]","",place,Dublin,"{""place""=>[""Dublin""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
4,AWD0003wa7,diary,7,3,1914-08-10 00:00:00 UTC,10 Aug 1914,Dublin,"[0.0, 0.0]","",domestic,parades,{},,,
5,AWD0003wa7,diary,7,3,1914-08-10 09:15:00 UTC,10 Aug 1914,Dublin,"[0.0, 0.0]",0915AM,time,0915AM,{},,,
6,AWD0003wa7,diary,7,2,1914-08-10 09:15:00 UTC,10 Aug 1914,Dublin,"[0.0, 0.0]",0915AM,place,Phoenix Park,"{""place""=>[""Phoenix Park""], ""location""=>[""true"", ""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
7,AWD0003wa7,diary,7,3,1914-08-10 09:15:00 UTC,10 Aug 1914,Dublin,"[0.0, 0.0]",0915AM,unit,13th Infantry Brigade,"{""name""=>[""13th Infantry Brigade""], ""context""=>[""joined""]}",,,
8,AWD0003wa7,diary,7,4,1914-08-10 09:15:00 UTC,10 Aug 1914,Dublin,"[0.0, 0.0]",0915AM,domestic,inspections,{},,,
11,AWD0003wa7,diary,7,3,1914-08-10 09:15:00 UTC,10 Aug 1914,Dublin,"[0.0, 0.0]",0915AM,person,"Brigadier General C J CUTHBERT, Cuthfort, Cuthbert CB","{""first""=>[""C J""], ""surname""=>[""CUTHBERT"", ""Cuthfort"", ""Cuthbert CB""], ""rank""=>[""Brigadier General""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",,,
14,AWD0003wa7,diary,7,3,1914-08-10 09:15:00 UTC,10 Aug 1914,Dublin,"[0.0, 0.0]",0915AM,activity,training,{},,,
15,AWD0003wa7,diary,7,5,1914-08-11 00:00:00 UTC,11 Aug 1914,Dublin,"[0.0, 0.0]","",diaryDate,11 Aug 1914,"{""day""=>[""11""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
17,AWD0003wa7,diary,7,3,1914-08-11 00:00:00 UTC,11 Aug 1914,Dublin,"[0.0, 0.0]","",place,Dublin,"{""place""=>[""Dublin""], ""location""=>[""true""], ""name""=>[""Flesselles"", ""Villers-Bretonneux"", """"], ""lat""=>[""50.00202"", ""49.86844"", """"], ""long""=>[""2.26119"", ""2.51688"", """"], ""id""=>[""3018332"", ""2968415"", """"]}",,,
19,AWD0003wa7,diary,7,4,1914-08-11 00:00:00 UTC,11 Aug 1914,Dublin,"[0.0, 0.0]","",activity,training,{},,,
20,AWD0003wa7,diary,7,2,1914-08-11 00:00:00 UTC,11 Aug 1914,Dublin,"[0.0, 0.0]","",domestic,uniform,{},,,
21,AWD0003wa7,diary,7,2,1914-08-11 00:00:00 UTC,11 Aug 1914,Dublin,"[0.0, 0.0]","",activity,training,{},,,
22,AWD0003wa7,diary,7,4,1914-08-11 00:00:00 UTC,11 Aug 1914,Dublin,"[0.0, 0.0]","",person,Captain G O HARRINGTON,"{""first""=>[""G O""], ""surname""=>[""HARRINGTON""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""departed_posted""], ""unit""=>[""""]}",,,
23,AWD0003wa7,diary,7,4,1914-08-11 00:00:00 UTC,11 Aug 1914,Dublin,"[0.0, 0.0]","",person,Second Lieutenant W H Martin,"{""first""=>[""W H""], ""surname""=>[""Martin""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""departed_posted""], ""unit""=>[""""]}",,,
27,AWD0003wa7,diary,7,10,1914-08-11 00:00:00 UTC,11 Aug 1914,Dublin,"[0.0, 0.0]","",person,"Captain G H Henson, Benson","{""first""=>[""G H""], ""surname""=>[""Henson"", ""Benson""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""departed_training"", ""departed_posted""], ""unit""=>[""""]}",,,
29,AWD0003wa7,diary,7,5,1914-08-12 00:00:00 UTC,12 Aug 1914,Dublin,"[0.0, 0.0]","",diaryDate,12 Aug 1914,"{""day""=>[""12""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
31,AWD0003wa7,diary,7,3,1914-08-12 00:00:00 UTC,12 Aug 1914,Dublin,"[0.0, 0.0]","",place,Dublin,"{""place""=>[""Dublin""], ""location""=>[""true""], ""name""=>[""Villers-Bretonneux"", ""Flesselles"", """"], ""lat""=>[""49.86844"", ""50.00202"", """"], ""long""=>[""2.51688"", ""2.26119"", """"], ""id""=>[""2968415"", ""3018332"", """"]}",,,
32,AWD0003wa7,diary,7,3,1914-08-12 00:00:00 UTC,12 Aug 1914,Dublin,"[0.0, 0.0]","",activity,training,{},,,
34,AWD0003wa7,diary,7,3,1914-08-12 00:00:00 UTC,12 Aug 1914,Dublin,"[0.0, 0.0]","",place,"O'Connell's Bridge, OConnell Bridge, O'Conell's Bridge","{""place""=>[""O'Connell's Bridge"", ""OConnell Bridge"", ""O'Conell's Bridge""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
36,AWD0003wa7,diary,7,2,1914-08-12 00:00:00 UTC,12 Aug 1914,Dublin,"[0.0, 0.0]","",place,"Northwall, North Wall","{""place""=>[""Northwall"", ""North Wall""], ""location""=>[""true"", ""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
1,AWD0003w7o,diary,8,5,1914-08-13 00:00:00 UTC,13 Aug 1914,Dublin,"[0.0, 0.0]","",diaryDate,13 Aug 1914,"{""day""=>[""13""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
2,AWD0003w7o,diary,8,4,1914-08-13 00:00:00 UTC,13 Aug 1914,Dublin,"[0.0, 0.0]","",place,Dublin,"{""place""=>[""Dublin""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
4,AWD0003w7o,diary,8,3,1914-08-13 00:00:00 UTC,13 Aug 1914,Dublin,"[0.0, 0.0]","",activity,movement,{},,,
5,AWD0003w7o,diary,8,2,1914-08-13 00:00:00 UTC,13 Aug 1914,Dublin,"[0.0, 0.0]","",place,"Alexandra Basin', Alexandra Basin","{""place""=>[""Alexandra Basin'"", ""Alexandra Basin""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
7,AWD0003w7o,diary,8,2,1914-08-13 11:00:00 UTC,13 Aug 1914,Dublin,"[0.0, 0.0]",1100AM,time,1100AM,{},,,
10,AWD0003w7o,diary,8,2,1914-08-13 18:30:00 UTC,13 Aug 1914,Dublin,"[0.0, 0.0]",0630PM,time,0630PM,{},,,
12,AWD0003w7o,diary,8,5,1914-08-14 00:00:00 UTC,14 Aug 1914,Dublin,"[0.0, 0.0]","",diaryDate,14 Aug 1914,"{""day""=>[""14""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
14,AWD0003w7o,diary,8,4,1914-08-14 00:00:00 UTC,14 Aug 1914,Dublin,"[0.0, 0.0]","",activity,training,{},,,
16,AWD0003w7o,diary,8,4,1914-08-14 00:00:00 UTC,14 Aug 1914,Dublin,"[0.0, 0.0]","",weather,fine,{},,,
18,AWD0003w7o,diary,8,5,1914-08-15 00:00:00 UTC,15 Aug 1914,Dublin,"[0.0, 0.0]","",diaryDate,15 Aug 1914,"{""day""=>[""15""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
20,AWD0003w7o,diary,8,3,1914-08-15 12:00:00 UTC,15 Aug 1914,Dublin,"[0.0, 0.0]",1200PM,time,1200PM,{},,,
21,AWD0003w7o,diary,8,4,1914-08-15 12:00:00 UTC,15 Aug 1914,Dublin,"[0.0, 0.0]",1200PM,place,Havre,"{""place""=>[""Havre""], ""location""=>[""true"", ""false""], ""name""=>[""Le Havre""], ""lat""=>[""49.4938""], ""long""=>[""0.10767""], ""id""=>[""3003796""]}",,,
22,AWD0003w7o,diary,8,2,1914-08-15 12:00:00 UTC,15 Aug 1914,Dublin,"[0.0, 0.0]",1200PM,activity,movement,{},,,
23,AWD0003w7o,diary,8,2,1914-08-15 12:00:00 UTC,15 Aug 1914,Dublin,"[0.0, 0.0]",1200PM,domestic,rations,{},,,
24,AWD0003w7o,diary,8,3,1914-08-15 12:00:00 UTC,15 Aug 1914,Dublin,"[0.0, 0.0]",1200PM,activity,resting,{},,,
25,AWD0003w7o,diary,8,3,1914-08-15 16:15:00 UTC,15 Aug 1914,Dublin,"[0.0, 0.0]",0415PM,time,0415PM,{},,,
26,AWD0003w7o,diary,8,2,1914-08-15 16:15:00 UTC,15 Aug 1914,Dublin,"[0.0, 0.0]",0415PM,activity,movement,{},,,
29,AWD0003w7o,diary,8,4,1914-08-15 16:15:00 UTC,15 Aug 1914,Dublin,"[0.0, 0.0]",0415PM,weather,rain,{},,,
1,AWD0003wbz,diary,9,4,1914-08-16 00:00:00 UTC,16 Aug 1914,Dublin,"[0.0, 0.0]","",diaryDate,16 Aug 1914,"{""day""=>[""16""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
2,AWD0003wbz,diary,9,5,1914-08-16 00:00:00 UTC,16 Aug 1914,Havre,"[0.10767, 49.4938]","",place,Havre,"{""place""=>[""Havre""], ""location""=>[""true""], ""name""=>["""", ""Le Havre""], ""lat""=>["""", ""49.4938""], ""long""=>["""", ""0.10767""], ""id""=>["""", ""3003796""]}",3003796,Le Havre,"[0.10767, 49.4938]"
3,AWD0003wbz,diary,9,4,1914-08-16 00:00:00 UTC,16 Aug 1914,Havre,"[0.10767, 49.4938]","",weather,rain,{},3003796,Le Havre,"[0.10767, 49.4938]"
7,AWD0003wbz,diary,9,2,1914-08-16 00:00:00 UTC,16 Aug 1914,Havre,"[0.10767, 49.4938]","",domestic,hygiene,{},3003796,Le Havre,"[0.10767, 49.4938]"
8,AWD0003wbz,diary,9,4,1914-08-17 00:00:00 UTC,17 Aug 1914,Havre,"[0.10767, 49.4938]","",diaryDate,17 Aug 1914,"{""day""=>[""17""], ""month""=>[""Aug""], ""year""=>[""1914""]}",3003796,Le Havre,"[0.10767, 49.4938]"
9,AWD0003wbz,diary,9,3,1914-08-17 00:00:00 UTC,17 Aug 1914,Havre,"[0.10767, 49.4938]","",place,Havre,"{""place""=>[""Havre""], ""location""=>[""true""], ""name""=>[""Le Havre""], ""lat""=>[""49.4938""], ""long""=>[""0.10767""], ""id""=>[""3003796""]}",3003796,Le Havre,"[0.10767, 49.4938]"
10,AWD0003wbz,diary,9,4,1914-08-17 00:00:00 UTC,17 Aug 1914,Havre,"[0.10767, 49.4938]","",activity,movement,{},3003796,Le Havre,"[0.10767, 49.4938]"
11,AWD0003wbz,diary,9,3,1914-08-17 05:30:00 UTC,17 Aug 1914,Havre,"[0.10767, 49.4938]",0530AM,time,0530AM,{},3003796,Le Havre,"[0.10767, 49.4938]"
12,AWD0003wbz,diary,9,2,1914-08-17 07:30:00 UTC,17 Aug 1914,Havre,"[0.10767, 49.4938]",0730AM,time,0730AM,{},3003796,Le Havre,"[0.10767, 49.4938]"
14,AWD0003wbz,diary,9,2,1914-08-17 07:30:00 UTC,17 Aug 1914,Havre,"[0.10767, 49.4938]",0730AM,activity,movement,{},3003796,Le Havre,"[0.10767, 49.4938]"
15,AWD0003wbz,diary,9,2,1914-08-17 11:39:00 UTC,17 Aug 1914,Havre,"[0.10767, 49.4938]",1139AM,time,1139AM,{},3003796,Le Havre,"[0.10767, 49.4938]"
16,AWD0003wbz,diary,9,2,1914-08-17 11:39:00 UTC,17 Aug 1914,Havre,"[0.10767, 49.4938]",1139AM,place,Havre,"{""place""=>[""Havre""], ""location""=>[""false""], ""name""=>[""Havré"", ""Le Havre""], ""lat""=>[""50.46401"", ""49.4938""], ""long""=>[""4.04675"", ""0.10767""], ""id""=>[""2796353"", ""3003796""]}",3003796,Le Havre,"[0.10767, 49.4938]"
18,AWD0003wbz,diary,9,2,1914-08-17 11:39:00 UTC,17 Aug 1914,Havre,"[0.10767, 49.4938]",1139AM,place,Rouen,"{""place""=>[""Rouen""], ""location""=>[""false""], ""name""=>[""Rouen""], ""lat""=>[""49.44313""], ""long""=>[""1.09932""], ""id""=>[""2982652""]}",3003796,Le Havre,"[0.10767, 49.4938]"
20,AWD0003wbz,diary,9,3,1914-08-17 11:39:00 UTC,17 Aug 1914,Havre,"[0.10767, 49.4938]",1139AM,place,Amiens,"{""place""=>[""Amiens""], ""location""=>[""false""], ""name""=>[""Amiens""], ""lat""=>[""49.9""], ""long""=>[""2.3""], ""id""=>[""3037854""]}",3003796,Le Havre,"[0.10767, 49.4938]"
21,AWD0003wbz,diary,9,4,1914-08-17 11:39:00 UTC,17 Aug 1914,Havre,"[0.10767, 49.4938]",1139AM,place,Busigny,"{""place""=>[""Busigny""], ""location""=>[""false""], ""name""=>[""Busigny""], ""lat""=>[""50.03424""], ""long""=>[""3.46713""], ""id""=>[""3029477""]}",3003796,Le Havre,"[0.10767, 49.4938]"
22,AWD0003wbz,diary,9,3,1914-08-17 04:00:00 UTC,17 Aug 1914,Havre,"[0.10767, 49.4938]",0400AM,time,0400AM,{},3003796,Le Havre,"[0.10767, 49.4938]"
23,AWD0003wbz,diary,9,4,1914-08-18 00:00:00 UTC,18 Aug 1914,Havre,"[0.10767, 49.4938]","",diaryDate,18 Aug 1914,"{""day""=>[""18""], ""month""=>[""Aug""], ""year""=>[""1914""]}",3003796,Le Havre,"[0.10767, 49.4938]"
