Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD0004305,diary,344,4,,"1 Mar,Feb 1916","","[0.0, 0.0]","",diaryDate,"1 Mar,Feb 1916","{""day""=>[""1""], ""month""=>[""Mar"", ""Feb""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0004305,diary,344,3,,"1 Mar,Feb 1916","","[0.0, 0.0]","",activity,training,{},2985684,Pozières,"[2.72929, 50.04047]"
6,AWD0004305,diary,344,2,,"1 Mar,Feb 1916","","[0.0, 0.0]","",domestic,parades,{},2985684,Pozières,"[2.72929, 50.04047]"
7,AWD0004305,diary,344,2,,"1 Mar,Feb 1916","","[0.0, 0.0]",0630AM,time,0630AM,{},2985684,Pozières,"[2.72929, 50.04047]"
8,AWD0004305,diary,344,5,,"1 Mar,Feb 1916",Kantara,"[0.0, 0.0]",0630AM,place,Kantara,"{""place""=>[""Kantara""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
13,AWD0004305,diary,344,4,1916-03-02 00:00:00 UTC,2 Mar 1916,Kantara,"[0.0, 0.0]","",diaryDate,2 Mar 1916,"{""day""=>[""2""], ""month""=>[""Mar""], ""year""=>[""1916""]}",,,
14,AWD0004305,diary,344,2,1916-03-02 00:00:00 UTC,2 Mar 1916,"Kantara, kantara","[0.0, 0.0]","",place,"Kantara, kantara","{""place""=>[""Kantara"", ""kantara""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
16,AWD0004305,diary,344,3,1916-03-02 00:00:00 UTC,2 Mar 1916,"Kantara, kantara","[0.0, 0.0]","",activity,other,{},,,
18,AWD0004305,diary,344,2,,"7 Mar,Feb 1916","Kantara, kantara","[0.0, 0.0]","",diaryDate,"7 Mar,Feb 1916","{""day""=>[""7""], ""month""=>[""Mar"", ""Feb""], ""year""=>[""1916""]}",,,
19,AWD0004305,diary,344,2,,"8 Mar,Feb 1916","Kantara, kantara","[0.0, 0.0]","",diaryDate,"8 Mar,Feb 1916","{""day""=>[""8""], ""month""=>[""Mar"", ""Feb""], ""year""=>[""1916""]}",,,
21,AWD0004305,diary,344,2,,"8 Mar,Feb 1916","Kantara, kantara","[0.0, 0.0]","",place,"Kantara, kantara","{""place""=>[""Kantara"", ""kantara""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
27,AWD0004305,diary,344,3,,"8 Mar,Feb 1916","Kantara, kantara","[0.0, 0.0]","",activity,movement,{},,,
29,AWD0004305,diary,344,2,,"8 Mar,Feb 1916","Kantara, kantara","[0.0, 0.0]",0630AM,time,0630AM,{},,,
32,AWD0004305,diary,344,4,,"8 Mar,Feb 1916",Port Said,"[0.0, 0.0]",0630AM,place,Port Said,"{""place""=>[""Port Said""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2995469,Marseille,"[5.38107, 43.29695]"
38,AWD0004305,diary,344,4,,"8 Mar,Feb 1916",Port Said,"[0.0, 0.0]",0630AM,domestic,accomodation,{},2995469,Marseille,"[5.38107, 43.29695]"
1,AWD000431h,diary,345,3,1916-03-09 00:00:00 UTC,9 Mar 1916,Port Said,"[0.0, 0.0]","",diaryDate,9 Mar 1916,"{""day""=>[""9""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2995469,Marseille,"[5.38107, 43.29695]"
3,AWD000431h,diary,345,3,1916-03-09 00:00:00 UTC,9 Mar 1916,Port Said,"[0.0, 0.0]","",activity,training,{},2995469,Marseille,"[5.38107, 43.29695]"
5,AWD000431h,diary,345,2,1916-03-09 00:00:00 UTC,9 Mar 1916,Port Said,"[0.0, 0.0]","",domestic,hygiene,{},2995469,Marseille,"[5.38107, 43.29695]"
7,AWD000431h,diary,345,5,1916-03-09 00:00:00 UTC,9 Mar 1916,Port Said,"[0.0, 0.0]","",place,Port Said,"{""place""=>[""Port Said""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2995469,Marseille,"[5.38107, 43.29695]"
8,AWD000431h,diary,345,2,1916-03-09 06:30:00 UTC,9 Mar 1916,Port Said,"[0.0, 0.0]",0630AM,time,0630AM,{},2995469,Marseille,"[5.38107, 43.29695]"
11,AWD000431h,diary,345,3,1916-03-10 00:00:00 UTC,10 Mar 1916,Port Said,"[0.0, 0.0]","",diaryDate,10 Mar 1916,"{""day""=>[""10""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2995469,Marseille,"[5.38107, 43.29695]"
