Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD0002tx9,diary,4,3,1914-10-04 00:00:00 UTC,4 Oct 1914,"","[0.0, 0.0]","",diaryDate,4 Oct 1914,"{""day""=>[""4""], ""month""=>[""Oct""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0002tx9,diary,4,2,1914-10-04 00:00:00 UTC,4 Oct 1914,"","[0.0, 0.0]","",activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0002tx9,diary,4,2,1914-10-04 15:30:00 UTC,4 Oct 1914,"","[0.0, 0.0]",0330PM,time,0330PM,{},2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0002tx9,diary,4,2,1914-10-04 15:30:00 UTC,4 Oct 1914,"Lyndhurst , Lyndhurst","[-1.57662, 50.87259]",0330PM,place,"Lyndhurst , Lyndhurst","{""place""=>[""Lyndhurst "", ""Lyndhurst""], ""location""=>[""true""], ""name""=>[""Lyndhurst""], ""lat""=>[""50.87259""], ""long""=>[""-1.57662""], ""id""=>[""2643304""]}",2643304,Lyndhurst,"[-1.57662, 50.87259]"
7,AWD0002tx9,diary,4,2,1914-10-04 17:30:00 UTC,4 Oct 1914,"Lyndhurst , Lyndhurst","[-1.57662, 50.87259]",0530PM,time,0530PM,{},2643304,Lyndhurst,"[-1.57662, 50.87259]"
11,AWD0002tx9,diary,4,2,1914-10-04 17:30:00 UTC,4 Oct 1914,"Lyndhurst , Lyndhurst","[-1.57662, 50.87259]",0530PM,activity,movement,{},2643304,Lyndhurst,"[-1.57662, 50.87259]"
18,AWD0002tx9,diary,4,3,1914-10-05 00:00:00 UTC,5 Oct 1914,"Lyndhurst , Lyndhurst","[-1.57662, 50.87259]","",diaryDate,5 Oct 1914,"{""day""=>[""5""], ""month""=>[""Oct""], ""year""=>[""1914""]}",2643304,Lyndhurst,"[-1.57662, 50.87259]"
20,AWD0002tx9,diary,4,2,1914-10-05 00:00:00 UTC,5 Oct 1914,"Lyndhurst , Lyndhurst","[-1.57662, 50.87259]","",place,Dover,"{""place""=>[""Dover""], ""location""=>[""false"", ""true""], ""name""=>[""Dover"", """"], ""lat""=>[""51.13333"", """"], ""long""=>[""1.3"", """"], ""id""=>[""2651048"", """"]}",2643304,Lyndhurst,"[-1.57662, 50.87259]"
25,AWD0002tx9,diary,4,2,1914-10-05 04:00:00 UTC,5 Oct 1914,"Lyndhurst , Lyndhurst","[-1.57662, 50.87259]",0400AM,time,0400AM,{},2643304,Lyndhurst,"[-1.57662, 50.87259]"
26,AWD0002tx9,diary,4,2,1914-10-05 04:00:00 UTC,5 Oct 1914,"Lyndhurst , Lyndhurst","[-1.57662, 50.87259]",0400AM,place,"Zebrugge, Zeebrugge","{""place""=>[""Zebrugge"", ""Zeebrugge""], ""location""=>[""false"", ""true""], ""name""=>["""", ""Zeebrugge""], ""lat""=>["""", ""51.32902""], ""long""=>["""", ""3.18188""], ""id""=>["""", ""2783307""]}",2643304,Lyndhurst,"[-1.57662, 50.87259]"
27,AWD0002tx9,diary,4,2,1914-10-06 00:00:00 UTC,6 Oct 1914,"Lyndhurst , Lyndhurst","[-1.57662, 50.87259]","",diaryDate,6 Oct 1914,"{""day""=>[""6""], ""month""=>[""Oct""], ""year""=>[""1914""]}",2643304,Lyndhurst,"[-1.57662, 50.87259]"
30,AWD0002tx9,diary,4,2,1914-10-06 00:00:00 UTC,6 Oct 1914,"Lyndhurst , Lyndhurst","[-1.57662, 50.87259]","",place,Bruges,"{""place""=>[""Bruges""], ""location""=>[""false"", ""true""], ""name""=>[""Brugge"", ""Zeebrugge""], ""lat""=>[""51.20892"", ""51.32902""], ""long""=>[""3.22424"", ""3.18188""], ""id""=>[""2800931"", ""2783307""]}",2643304,Lyndhurst,"[-1.57662, 50.87259]"
32,AWD0002tx9,diary,4,2,1914-10-06 17:00:00 UTC,6 Oct 1914,"Lyndhurst , Lyndhurst","[-1.57662, 50.87259]",0500PM,time,0500PM,{},2643304,Lyndhurst,"[-1.57662, 50.87259]"
