Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003kxn,diary,4,5,1919-03-22 00:00:00 UTC,22 Mar 1919,"","[0.0, 0.0]","",diaryDate,22 Mar 1919,"{""day""=>[""22""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0003kxn,diary,4,5,1919-03-22 06:00:00 UTC,22 Mar 1919,"","[0.0, 0.0]",0600AM,time,0600AM,{},2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0003kxn,diary,4,5,1919-03-22 06:00:00 UTC,22 Mar 1919,Dover,"[1.3, 51.13333]",0600AM,place,Dover,"{""place""=>[""Dover""], ""location""=>[""true""], ""name""=>[""Dover""], ""lat""=>[""51.13333""], ""long""=>[""1.3""], ""id""=>[""2651048""]}",2651048,Dover,"[1.3, 51.13333]"
5,AWD0003kxn,diary,4,8,1919-03-22 06:00:00 UTC,22 Mar 1919,Colchester,"[0.90421, 51.88921]",0600AM,place,Colchester,"{""place""=>[""Colchester""], ""location""=>[""true""], ""name""=>[""Colchester""], ""lat""=>[""51.88921""], ""long""=>[""0.90421""], ""id""=>[""2652618""]}",2652618,Colchester,"[0.90421, 51.88921]"
6,AWD0003kxn,diary,4,5,1919-03-22 06:00:00 UTC,22 Mar 1919,Colchester,"[0.90421, 51.88921]",0600AM,activity,movement,{},2652618,Colchester,"[0.90421, 51.88921]"
8,AWD0003kxn,diary,4,2,1919-03-22 06:00:00 UTC,22 Mar 1919,Colchester,"[0.90421, 51.88921]",0600AM,place,"Dover, DOVER","{""place""=>[""Dover"", ""DOVER""], ""location""=>[""true"", ""false""], ""name""=>[""Dover Port"", ""Dover""], ""lat""=>[""51.12604"", ""51.13333""], ""long""=>[""1.32795"", ""1.3""], ""id""=>[""9253020"", ""2651048""]}",2652618,Colchester,"[0.90421, 51.88921]"
9,AWD0003kxn,diary,4,2,1919-03-22 13:45:00 UTC,22 Mar 1919,Colchester,"[0.90421, 51.88921]",0145PM,time,0145PM,{},2652618,Colchester,"[0.90421, 51.88921]"
11,AWD0003kxn,diary,4,4,1919-03-22 13:45:00 UTC,22 Mar 1919,Colchester,"[0.90421, 51.88921]",0145PM,place,Dunkirk,"{""place""=>[""Dunkirk""], ""location""=>[""false"", ""true""], ""name""=>[""Dunkerque""], ""lat""=>[""51.03297""], ""long""=>[""2.377""], ""id""=>[""3020686""]}",2652618,Colchester,"[0.90421, 51.88921]"
12,AWD0003kxn,diary,4,2,1919-03-22 14:00:00 UTC,22 Mar 1919,Colchester,"[0.90421, 51.88921]",0200PM,time,0200PM,{},2652618,Colchester,"[0.90421, 51.88921]"
14,AWD0003kxn,diary,4,5,1919-03-22 14:00:00 UTC,22 Mar 1919,Colchester,"[0.90421, 51.88921]",0200PM,strength,"officer: 24, other: 896",{},2652618,Colchester,"[0.90421, 51.88921]"
15,AWD0003kxn,diary,4,5,1919-03-23 00:00:00 UTC,23 Mar 1919,Colchester,"[0.90421, 51.88921]","",diaryDate,23 Mar 1919,"{""day""=>[""23""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2652618,Colchester,"[0.90421, 51.88921]"
16,AWD0003kxn,diary,4,8,1919-03-23 00:00:00 UTC,23 Mar 1919,Dunkirk,"[2.377, 51.03297]","",place,Dunkirk,"{""place""=>[""Dunkirk""], ""location""=>[""true""], ""name""=>[""Dunkerque""], ""lat""=>[""51.03297""], ""long""=>[""2.377""], ""id""=>[""3020686""]}",3020686,Dunkerque,"[2.377, 51.03297]"
19,AWD0003kxn,diary,4,5,1919-03-23 00:00:00 UTC,23 Mar 1919,Dunkirk,"[2.377, 51.03297]","",activity,movement,{},3020686,Dunkerque,"[2.377, 51.03297]"
21,AWD0003kxn,diary,4,2,1919-03-23 14:55:00 UTC,23 Mar 1919,Dunkirk,"[2.377, 51.03297]",0255PM,time,0255PM,{},3020686,Dunkerque,"[2.377, 51.03297]"
22,AWD0003kxn,diary,4,3,1919-03-23 14:55:00 UTC,23 Mar 1919,Dunkirk,"[2.377, 51.03297]",0255PM,place,Merris,"{""place""=>[""Merris""], ""location""=>[""false""], ""name""=>[""Merris""], ""lat""=>[""50.71577""], ""long""=>[""2.66197""], ""id""=>[""2994322""]}",3020686,Dunkerque,"[2.377, 51.03297]"
24,AWD0003kxn,diary,4,4,1919-03-23 14:55:00 UTC,23 Mar 1919,Dunkirk,"[2.377, 51.03297]",0255PM,place,Armentieres,"{""place""=>[""Armentieres""], ""location""=>[""false""], ""name""=>[""Armentières""], ""lat""=>[""50.68568""], ""long""=>[""2.88214""], ""id""=>[""3036903""]}",3020686,Dunkerque,"[2.377, 51.03297]"
