Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD0002p9f,diary,4,5,1914-08-21 00:00:00 UTC,21 Aug 1914,"","[0.0, 0.0]","",diaryDate,21 Aug 1914,"{""day""=>[""21""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0002p9f,diary,4,5,1914-08-21 00:00:00 UTC,21 Aug 1914,"","[0.0, 0.0]","",activity,training,{},2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0002p9f,diary,4,4,1914-08-22 00:00:00 UTC,22 Aug 1914,"","[0.0, 0.0]","",diaryDate,22 Aug 1914,"{""day""=>[""22""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
6,AWD0002p9f,diary,4,4,1914-08-22 00:00:00 UTC,22 Aug 1914,"","[0.0, 0.0]","",activity,resting,{},2985684,Pozières,"[2.72929, 50.04047]"
8,AWD0002p9f,diary,4,2,1914-08-22 00:00:00 UTC,22 Aug 1914,"","[0.0, 0.0]","",place,Stourbridge,"{""place""=>[""Stourbridge""], ""location""=>[""true"", ""false""], ""name""=>[""Stourbridge""], ""lat""=>[""52.45608""], ""long""=>[""-2.14317""], ""id""=>[""2636769""]}",2985684,Pozières,"[2.72929, 50.04047]"
9,AWD0002p9f,diary,4,2,1914-08-22 00:00:00 UTC,22 Aug 1914,"","[0.0, 0.0]","",activity,construction,{},2985684,Pozières,"[2.72929, 50.04047]"
10,AWD0002p9f,diary,4,4,1914-08-23 00:00:00 UTC,23 Aug 1914,"","[0.0, 0.0]","",diaryDate,23 Aug 1914,"{""day""=>[""23""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
11,AWD0002p9f,diary,4,3,1914-08-24 00:00:00 UTC,24 Aug 1914,"","[0.0, 0.0]","",diaryDate,24 Aug 1914,"{""day""=>[""24""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
12,AWD0002p9f,diary,4,6,1914-08-24 00:00:00 UTC,24 Aug 1914,"","[0.0, 0.0]","",activity,training,{},2985684,Pozières,"[2.72929, 50.04047]"
13,AWD0002p9f,diary,4,3,1914-08-25 00:00:00 UTC,25 Aug 1914,"","[0.0, 0.0]","",diaryDate,25 Aug 1914,"{""day""=>[""25""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
