Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD0000jtv,diary,3,5,,"",Vaillicourt,"[0.0, 0.0]","",place,Vaillicourt,"{""place""=>[""Vaillicourt""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
3,AWD0000jtv,diary,3,4,1916-01-01 00:00:00 UTC,"1 Jan 1916, 1915",Vaillicourt,"[0.0, 0.0]","",diaryDate,"1 Jan 1916, 1915","{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1916"", ""1915""]}",,,
7,AWD0000jtv,diary,3,4,1916-01-01 00:00:00 UTC,"1 Jan 1916, 1915",Vaillicourt,"[0.0, 0.0]","",activity,repair,{},,,
8,AWD0000jtv,diary,3,2,1915-01-05 00:00:00 UTC,"5 Jan 1915, 1916",Vaillicourt,"[0.0, 0.0]","",diaryDate,"5 Jan 1915, 1916","{""day""=>[""5""], ""month""=>[""Jan""], ""year""=>[""1915"", ""1916""]}",,,
11,AWD0000jtv,diary,3,6,1915-01-05 00:00:00 UTC,"5 Jan 1915, 1916",vaudricourt,"[2.62509, 50.50076]","",place,vaudricourt,"{""place""=>[""vaudricourt""], ""location""=>[""true""], ""name""=>[""Vaudricourt""], ""lat""=>[""50.50076""], ""long""=>[""2.62509""], ""id""=>[""2970501""]}",2970501,Vaudricourt,"[2.62509, 50.50076]"
12,AWD0000jtv,diary,3,4,1916-01-06 00:00:00 UTC,"6 Jan 1916, 1915",vaudricourt,"[2.62509, 50.50076]","",diaryDate,"6 Jan 1916, 1915","{""day""=>[""6""], ""month""=>[""Jan""], ""year""=>[""1916"", ""1915""]}",2970501,Vaudricourt,"[2.62509, 50.50076]"
13,AWD0000jtv,diary,3,3,1916-01-06 00:00:00 UTC,"6 Jan 1916, 1915",vaudricourt,"[2.62509, 50.50076]","",place,"vaudicourt, vaudricourt, Vaudricourt","{""place""=>[""vaudicourt"", ""vaudricourt"", ""Vaudricourt""], ""location""=>[""false""], ""name""=>[""Haillicourt"", ""Vaudricourt"", """"], ""lat""=>[""50.47519"", ""50.50076"", """"], ""long""=>[""2.57458"", ""2.62509"", """"], ""id""=>[""3014067"", ""2970501"", """"]}",2970501,Vaudricourt,"[2.62509, 50.50076]"
14,AWD0000jtv,diary,3,4,1916-01-06 00:00:00 UTC,"6 Jan 1916, 1915",vaudricourt,"[2.62509, 50.50076]","",activity,movement,{},2970501,Vaudricourt,"[2.62509, 50.50076]"
15,AWD0000jtv,diary,3,2,1916-01-07 00:00:00 UTC,"7 Jan 1916, 1915",vaudricourt,"[2.62509, 50.50076]","",diaryDate,"7 Jan 1916, 1915","{""day""=>[""7""], ""month""=>[""Jan""], ""year""=>[""1916"", ""1915""]}",2970501,Vaudricourt,"[2.62509, 50.50076]"
17,AWD0000jtv,diary,3,2,1915-01-13 00:00:00 UTC,13 Jan 1915,vaudricourt,"[2.62509, 50.50076]","",diaryDate,13 Jan 1915,"{""day""=>[""13""], ""month""=>[""Jan""], ""year""=>[""1915""]}",2970501,Vaudricourt,"[2.62509, 50.50076]"
