Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD0001yl5,diary,672,5,1918-11-01 00:00:00 UTC,1 Nov 1918,"","[0.0, 0.0]","",diaryDate,1 Nov 1918,"{""day""=>[""1""], ""month""=>[""Nov""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0001yl5,diary,672,5,1918-11-01 00:00:00 UTC,1 Nov 1918,Catillon,"[3.66667, 50.46667]","",place,Catillon,"{""place""=>[""Catillon""], ""location""=>[""true""], ""name""=>["""", ""Catillon""], ""lat""=>["""", ""50.46667""], ""long""=>["""", ""3.66667""], ""id""=>["""", ""6957859""]}",3028243,Catillon-sur-Sambre,"[3.64254, 50.07329]"
4,AWD0001yl5,diary,672,4,1918-11-01 00:00:00 UTC,1 Nov 1918,Catillon,"[3.66667, 50.46667]","",activity,fire,{},3028243,Catillon-sur-Sambre,"[3.64254, 50.07329]"
2,AWD0001ymm,diary,673,6,1918-11-02 00:00:00 UTC,2 Nov 1918,Catillon,"[3.66667, 50.46667]","",diaryDate,2 Nov 1918,"{""day""=>[""2""], ""month""=>[""Nov""], ""year""=>[""1918""]}",3028243,Catillon-sur-Sambre,"[3.64254, 50.07329]"
4,AWD0001ymm,diary,673,6,1918-11-02 00:00:00 UTC,2 Nov 1918,Catillon,"[3.66667, 50.46667]","",place,Catillon,"{""place""=>[""Catillon""], ""location""=>[""true""], ""name""=>[""Catillon""], ""lat""=>[""50.46667""], ""long""=>[""3.66667""], ""id""=>[""6957859""]}",3028243,Catillon-sur-Sambre,"[3.64254, 50.07329]"
6,AWD0001ymm,diary,673,2,1918-11-02 00:00:00 UTC,2 Nov 1918,Catillon,"[3.66667, 50.46667]","",activity,quiet,{},3028243,Catillon-sur-Sambre,"[3.64254, 50.07329]"
1,AWD0001ykn,diary,674,6,1918-11-03 00:00:00 UTC,3 Nov 1918,Catillon,"[3.66667, 50.46667]","",diaryDate,3 Nov 1918,"{""day""=>[""3""], ""month""=>[""Nov""], ""year""=>[""1918""]}",3028243,Catillon-sur-Sambre,"[3.64254, 50.07329]"
2,AWD0001ykn,diary,674,2,1918-11-03 00:00:00 UTC,3 Nov 1918,Catillon,"[3.66667, 50.46667]","",activity,fire,{},3028243,Catillon-sur-Sambre,"[3.64254, 50.07329]"
3,AWD0001ykn,diary,674,6,1918-11-03 00:00:00 UTC,3 Nov 1918,Catillon,"[3.66667, 50.46667]","",place,Catillon,"{""place""=>[""Catillon""], ""location""=>[""true""], ""name""=>[""Catillon""], ""lat""=>[""50.46667""], ""long""=>[""3.66667""], ""id""=>[""6957859""]}",3028243,Catillon-sur-Sambre,"[3.64254, 50.07329]"
4,AWD0001ykn,diary,674,2,1918-11-03 00:00:00 UTC,3 Nov 1918,Catillon,"[3.66667, 50.46667]","",activity,fire,{},3028243,Catillon-sur-Sambre,"[3.64254, 50.07329]"
