Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0002q0w,diary,481,7,1918-01-01 00:00:00 UTC,1 Jan 1918,"","[0.0, 0.0]","",diaryDate,1 Jan 1918,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0002q0w,diary,481,2,1918-01-01 00:00:00 UTC,1 Jan 1918,"","[0.0, 0.0]","",place,bellacourt,"{""place""=>[""bellacourt""], ""location""=>[""false""], ""name""=>["""", ""Bellacourt""], ""lat""=>["""", ""50.22924""], ""long""=>["""", ""2.67847""], ""id""=>["""", ""3033762""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0002q0w,diary,481,2,1918-01-01 00:00:00 UTC,1 Jan 1918,"Courcelles, courcelles","[4.3747, 50.46379]","",place,"Courcelles, courcelles","{""place""=>[""Courcelles"", ""courcelles""], ""location""=>[""true""], ""name""=>[""Courcelles"", """"], ""lat""=>[""50.46379"", """"], ""long""=>[""4.3747"", """"], ""id""=>[""2800063"", """"]}",2800063,Courcelles,"[4.3747, 50.46379]"
5,AWD0002q0w,diary,481,2,1918-01-01 00:00:00 UTC,1 Jan 1918,"Courcelles, courcelles","[4.3747, 50.46379]","",place,bellacourt,"{""place""=>[""bellacourt""], ""location""=>[""false"", ""true""], ""name""=>["""", ""Bellacourt""], ""lat""=>["""", ""50.22924""], ""long""=>["""", ""2.67847""], ""id""=>["""", ""3033762""]}",2800063,Courcelles,"[4.3747, 50.46379]"
6,AWD0002q0w,diary,481,4,1918-01-02 00:00:00 UTC,2 Jan 1918,"Courcelles, courcelles","[4.3747, 50.46379]","",diaryDate,2 Jan 1918,"{""day""=>[""2""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2800063,Courcelles,"[4.3747, 50.46379]"
7,AWD0002q0w,diary,481,4,1918-01-03 00:00:00 UTC,3 Jan 1918,"Courcelles, courcelles","[4.3747, 50.46379]","",diaryDate,3 Jan 1918,"{""day""=>[""3""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2800063,Courcelles,"[4.3747, 50.46379]"
8,AWD0002q0w,diary,481,3,1918-01-04 00:00:00 UTC,4 Jan 1918,"Courcelles, courcelles","[4.3747, 50.46379]","",diaryDate,4 Jan 1918,"{""day""=>[""4""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2800063,Courcelles,"[4.3747, 50.46379]"
10,AWD0002q0w,diary,481,4,1918-01-05 00:00:00 UTC,5 Jan 1918,"Courcelles, courcelles","[4.3747, 50.46379]","",diaryDate,5 Jan 1918,"{""day""=>[""5""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2800063,Courcelles,"[4.3747, 50.46379]"
11,AWD0002q0w,diary,481,2,1918-01-06 00:00:00 UTC,6 Jan 1918,"Courcelles, courcelles","[4.3747, 50.46379]","",diaryDate,6 Jan 1918,"{""day""=>[""6""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2800063,Courcelles,"[4.3747, 50.46379]"
12,AWD0002q0w,diary,481,3,1918-01-07 00:00:00 UTC,7 Jan 1918,"Courcelles, courcelles","[4.3747, 50.46379]","",diaryDate,7 Jan 1918,"{""day""=>[""7""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2800063,Courcelles,"[4.3747, 50.46379]"
13,AWD0002q0w,diary,481,2,1918-01-08 00:00:00 UTC,8 Jan 1918,"Courcelles, courcelles","[4.3747, 50.46379]","",diaryDate,8 Jan 1918,"{""day""=>[""8""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2800063,Courcelles,"[4.3747, 50.46379]"
14,AWD0002q0w,diary,481,3,1918-01-09 00:00:00 UTC,9 Jan 1918,"Courcelles, courcelles","[4.3747, 50.46379]","",diaryDate,9 Jan 1918,"{""day""=>[""9""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2800063,Courcelles,"[4.3747, 50.46379]"
15,AWD0002q0w,diary,481,2,1918-01-10 00:00:00 UTC,10 Jan 1918,"Courcelles, courcelles","[4.3747, 50.46379]","",diaryDate,10 Jan 1918,"{""day""=>[""10""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2800063,Courcelles,"[4.3747, 50.46379]"
16,AWD0002q0w,diary,481,3,1918-01-11 00:00:00 UTC,11 Jan 1918,"Courcelles, courcelles","[4.3747, 50.46379]","",diaryDate,11 Jan 1918,"{""day""=>[""11""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2800063,Courcelles,"[4.3747, 50.46379]"
17,AWD0002q0w,diary,481,3,1918-01-12 00:00:00 UTC,12 Jan 1918,"Courcelles, courcelles","[4.3747, 50.46379]","",diaryDate,12 Jan 1918,"{""day""=>[""12""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2800063,Courcelles,"[4.3747, 50.46379]"
18,AWD0002q0w,diary,481,2,1918-01-13 00:00:00 UTC,13 Jan 1918,"Courcelles, courcelles","[4.3747, 50.46379]","",diaryDate,13 Jan 1918,"{""day""=>[""13""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2800063,Courcelles,"[4.3747, 50.46379]"
19,AWD0002q0w,diary,481,3,1918-01-14 00:00:00 UTC,14 Jan 1918,"Courcelles, courcelles","[4.3747, 50.46379]","",diaryDate,14 Jan 1918,"{""day""=>[""14""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2800063,Courcelles,"[4.3747, 50.46379]"
21,AWD0002q0w,diary,481,3,1918-01-15 00:00:00 UTC,15 Jan 1918,"Courcelles, courcelles","[4.3747, 50.46379]","",diaryDate,15 Jan 1918,"{""day""=>[""15""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2800063,Courcelles,"[4.3747, 50.46379]"
22,AWD0002q0w,diary,481,2,1918-01-16 00:00:00 UTC,16 Jan 1918,"Courcelles, courcelles","[4.3747, 50.46379]","",diaryDate,16 Jan 1918,"{""day""=>[""16""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2800063,Courcelles,"[4.3747, 50.46379]"
23,AWD0002q0w,diary,481,2,1918-01-17 00:00:00 UTC,17 Jan 1918,"Courcelles, courcelles","[4.3747, 50.46379]","",diaryDate,17 Jan 1918,"{""day""=>[""17""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2800063,Courcelles,"[4.3747, 50.46379]"
