Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0001jp7,diary,5,3,1914-08-05 00:00:00 UTC,5 Aug 1914,"","[0.0, 0.0]","",diaryDate,5 Aug 1914,"{""day""=>[""5""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0001jp7,diary,5,2,1914-05-08 00:00:00 UTC,8 May 1914,"","[0.0, 0.0]","",diaryDate,8 May 1914,"{""day""=>[""8""], ""month""=>[""May""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0001jp7,diary,5,2,1914-05-08 00:00:00 UTC,8 May 1914,Cork,"[2.73123, 50.02275]","",place,Cork,"{""place""=>[""Cork""], ""location""=>[""true""], ""name""=>["""", ""Contalmaison""], ""lat""=>["""", ""50.02275""], ""long""=>["""", ""2.73123""], ""id""=>["""", ""3023852""]}",3023852,"Contalmaison,","[2.73123, 50.02275]"
6,AWD0001jp7,diary,5,5,1914-05-08 00:00:00 UTC,8 May 1914,Queenstown,"[0.0, 0.0]","",place,Queenstown,"{""place""=>[""Queenstown""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
8,AWD0001jp7,diary,5,3,1914-08-06 00:00:00 UTC,6 Aug 1914,Queenstown,"[0.0, 0.0]","",diaryDate,6 Aug 1914,"{""day""=>[""6""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
9,AWD0001jp7,diary,5,2,1914-06-05 00:00:00 UTC,5 Jun 1914,Queenstown,"[0.0, 0.0]","",diaryDate,5 Jun 1914,"{""day""=>[""5""], ""month""=>[""Jun""], ""year""=>[""1914""]}",,,
10,AWD0001jp7,diary,5,2,1914-06-05 00:00:00 UTC,5 Jun 1914,Cork,"[2.73123, 50.02275]","",place,Cork,"{""place""=>[""Cork""], ""location""=>[""true""], ""name""=>[""Contalmaison"", """"], ""lat""=>[""50.02275"", """"], ""long""=>[""2.73123"", """"], ""id""=>[""3023852"", """"]}",3023852,"Contalmaison,","[2.73123, 50.02275]"
11,AWD0001jp7,diary,5,5,1914-06-05 00:00:00 UTC,5 Jun 1914,Haulbowline,"[-6.06667, 54.01667]","",place,Haulbowline,"{""place""=>[""Haulbowline""], ""location""=>[""true""], ""name""=>[""Haulbowline Rocks""], ""lat""=>[""54.01667""], ""long""=>[""-6.06667""], ""id""=>[""2647322""]}",,,
12,AWD0001jp7,diary,5,3,1914-08-07 00:00:00 UTC,7 Aug 1914,Haulbowline,"[-6.06667, 54.01667]","",diaryDate,7 Aug 1914,"{""day""=>[""7""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
13,AWD0001jp7,diary,5,2,1914-07-08 00:00:00 UTC,8 Jul 1914,Haulbowline,"[-6.06667, 54.01667]","",diaryDate,8 Jul 1914,"{""day""=>[""8""], ""month""=>[""Jul""], ""year""=>[""1914""]}",,,
14,AWD0001jp7,diary,5,2,1914-07-08 00:00:00 UTC,8 Jul 1914,Cork,"[2.73123, 50.02275]","",place,Cork,"{""place""=>[""Cork""], ""location""=>[""true""], ""name""=>["""", ""Contalmaison""], ""lat""=>["""", ""50.02275""], ""long""=>["""", ""2.73123""], ""id""=>["""", ""3023852""]}",3023852,"Contalmaison,","[2.73123, 50.02275]"
15,AWD0001jp7,diary,5,5,1914-08-08 00:00:00 UTC,8 Aug 1914,Cork,"[2.73123, 50.02275]","",diaryDate,8 Aug 1914,"{""day""=>[""8""], ""month""=>[""Aug""], ""year""=>[""1914""]}",3023852,"Contalmaison,","[2.73123, 50.02275]"
