Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD00022tb,diary,169,5,1916-01-01 00:00:00 UTC,1 Jan 1916,"","[0.0, 0.0]","",diaryDate,1 Jan 1916,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD00022tb,diary,169,4,1916-01-01 00:00:00 UTC,1 Jan 1916,"","[0.0, 0.0]","",place,Haisnes,"{""place""=>[""Haisnes""], ""location""=>[""true"", ""false""], ""name""=>[""Haisnes""], ""lat""=>[""50.50776""], ""long""=>[""2.79416""], ""id""=>[""3014060""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD00022tb,diary,169,3,1916-01-01 00:00:00 UTC,1 Jan 1916,"","[0.0, 0.0]","",activity,attack,{},2985684,Pozières,"[2.72929, 50.04047]"
5,AWD00022tb,diary,169,2,1915-12-31 00:00:00 UTC,31 Dec 1915,"","[0.0, 0.0]","",diaryDate,31 Dec 1915,"{""day""=>[""31""], ""month""=>[""Dec""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
7,AWD00022tb,diary,169,4,1916-01-02 00:00:00 UTC,2 Jan 1916,"","[0.0, 0.0]","",diaryDate,2 Jan 1916,"{""day""=>[""2""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
8,AWD00022tb,diary,169,4,1916-01-02 00:00:00 UTC,2 Jan 1916,"","[0.0, 0.0]","",activity,fire,{},2985684,Pozières,"[2.72929, 50.04047]"
9,AWD00022tb,diary,169,2,1916-01-02 00:00:00 UTC,2 Jan 1916,"","[0.0, 0.0]","",activity,attack,{},2985684,Pozières,"[2.72929, 50.04047]"
10,AWD00022tb,diary,169,4,1916-01-03 00:00:00 UTC,3 Jan 1916,"","[0.0, 0.0]","",diaryDate,3 Jan 1916,"{""day""=>[""3""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
11,AWD00022tb,diary,169,4,1916-01-03 00:00:00 UTC,3 Jan 1916,"","[0.0, 0.0]","",activity,fire,{},2985684,Pozières,"[2.72929, 50.04047]"
12,AWD00022tb,diary,169,2,1916-01-03 00:00:00 UTC,3 Jan 1916,"","[0.0, 0.0]","",activity,attack,{},2985684,Pozières,"[2.72929, 50.04047]"
13,AWD00022tb,diary,169,4,1916-01-04 00:00:00 UTC,4 Jan 1916,"","[0.0, 0.0]","",diaryDate,4 Jan 1916,"{""day""=>[""4""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
15,AWD00022tb,diary,169,4,1916-01-04 00:00:00 UTC,4 Jan 1916,"","[0.0, 0.0]","",activity,quiet,{},2985684,Pozières,"[2.72929, 50.04047]"
16,AWD00022tb,diary,169,2,1916-01-05 00:00:00 UTC,5 Jan 1916,"","[0.0, 0.0]","",diaryDate,5 Jan 1916,"{""day""=>[""5""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
17,AWD00022tb,diary,169,2,1916-01-06 00:00:00 UTC,6 Jan 1916,"","[0.0, 0.0]","",diaryDate,6 Jan 1916,"{""day""=>[""6""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
18,AWD00022tb,diary,169,2,1916-01-06 00:00:00 UTC,6 Jan 1916,"","[0.0, 0.0]","",activity,quiet,{},2985684,Pozières,"[2.72929, 50.04047]"
19,AWD00022tb,diary,169,3,1916-01-07 00:00:00 UTC,7 Jan 1916,"","[0.0, 0.0]","",diaryDate,7 Jan 1916,"{""day""=>[""7""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
