Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
3,AWD0003y9s,diary,199,4,,"","","[0.0, 0.0]",0840AM,time,0840AM,{},2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0003y9s,diary,199,2,,"","","[0.0, 0.0]",0840AM,activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0003y9s,diary,199,6,1916-03-08 00:00:00 UTC,8 Mar 1916,"","[0.0, 0.0]","",diaryDate,8 Mar 1916,"{""day""=>[""8""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
7,AWD0003y9s,diary,199,4,1916-03-08 10:40:00 UTC,8 Mar 1916,"","[0.0, 0.0]",1040AM,time,1040AM,{},2985684,Pozières,"[2.72929, 50.04047]"
8,AWD0003y9s,diary,199,3,1916-03-08 00:00:00 UTC,8 Mar 1916,"","[0.0, 0.0]","",diaryDate,8 Mar 1916,"{""day""=>[""8""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
9,AWD0003y9s,diary,199,2,1916-03-08 00:00:00 UTC,8 Mar 1916,"","[0.0, 0.0]","",activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
11,AWD0003y9s,diary,199,5,1916-03-08 15:00:00 UTC,8 Mar 1916,"","[0.0, 0.0]",0300PM,time,0300PM,{},2985684,Pozières,"[2.72929, 50.04047]"
12,AWD0003y9s,diary,199,3,1916-03-08 15:00:00 UTC,8 Mar 1916,Southampton,"[-1.40428, 50.90395]",0300PM,place,Southampton,"{""place""=>[""Southampton""], ""location""=>[""true""], ""name""=>[""Southampton""], ""lat""=>[""50.90395""], ""long""=>[""-1.40428""], ""id""=>[""2637487""]}",2637487,Southampton,"[-1.40428, 50.90395]"
15,AWD0003y9s,diary,199,4,1916-03-08 18:30:00 UTC,8 Mar 1916,Southampton,"[-1.40428, 50.90395]",0630PM,time,0630PM,{},2637487,Southampton,"[-1.40428, 50.90395]"
16,AWD0003y9s,diary,199,6,1916-03-09 00:00:00 UTC,9 Mar 1916,Southampton,"[-1.40428, 50.90395]","",diaryDate,9 Mar 1916,"{""day""=>[""9""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2637487,Southampton,"[-1.40428, 50.90395]"
17,AWD0003y9s,diary,199,2,1916-03-09 00:00:00 UTC,9 Mar 1916,Southampton,"[-1.40428, 50.90395]","",activity,movement,{},2637487,Southampton,"[-1.40428, 50.90395]"
18,AWD0003y9s,diary,199,3,1916-03-09 12:00:00 UTC,9 Mar 1916,Southampton,"[-1.40428, 50.90395]",1200PM,time,1200PM,{},2637487,Southampton,"[-1.40428, 50.90395]"
20,AWD0003y9s,diary,199,2,1916-03-09 12:00:00 UTC,9 Mar 1916,Southampton,"[-1.40428, 50.90395]",1200PM,place,"Sanvic Camp No 2, Sanvic camp no2","{""place""=>[""Sanvic Camp No 2"", ""Sanvic camp no2""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2637487,Southampton,"[-1.40428, 50.90395]"
21,AWD0003y9s,diary,199,5,1916-03-09 12:00:00 UTC,9 Mar 1916,Havre,"[0.10767, 49.4938]",1200PM,place,Havre,"{""place""=>[""Havre""], ""location""=>[""true""], ""name""=>[""Le Havre""], ""lat""=>[""49.4938""], ""long""=>[""0.10767""], ""id""=>[""3003796""]}",3003796,Le Havre,"[0.10767, 49.4938]"
