Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD0003hdl,diary,600,3,1915-12-16 00:00:00 UTC,16 Dec 1915,"","[0.0, 0.0]","",diaryDate,16 Dec 1915,"{""day""=>[""16""], ""month""=>[""Dec""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0003hdl,diary,600,3,1915-12-16 11:30:00 UTC,16 Dec 1915,"","[0.0, 0.0]",1130AM,time,1130AM,{},2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0003hdl,diary,600,4,1915-12-16 11:30:00 UTC,16 Dec 1915,"","[0.0, 0.0]",1130AM,activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0003hdl,diary,600,7,1915-12-16 11:30:00 UTC,16 Dec 1915,Farnborough,"[-0.75565, 51.29424]",1130AM,place,Farnborough,"{""place""=>[""Farnborough""], ""location""=>[""true""], ""name""=>[""Farnborough""], ""lat""=>[""51.29424""], ""long""=>[""-0.75565""], ""id""=>[""2649672""]}",2649672,Farnborough,"[-0.75565, 51.29424]"
7,AWD0003hdl,diary,600,2,1915-12-16 11:30:00 UTC,16 Dec 1915,"SOUTHAMPTON, Southampton","[-1.40428, 50.90395]",1130AM,place,"SOUTHAMPTON, Southampton","{""place""=>[""SOUTHAMPTON"", ""Southampton""], ""location""=>[""true""], ""name""=>[""Southampton"", """"], ""lat""=>[""50.90395"", """"], ""long""=>[""-1.40428"", """"], ""id""=>[""2637487"", """"]}",2637487,Southampton,"[-1.40428, 50.90395]"
8,AWD0003hdl,diary,600,2,1915-12-16 13:10:00 UTC,16 Dec 1915,"SOUTHAMPTON, Southampton","[-1.40428, 50.90395]",0110PM,time,0110PM,{},2637487,Southampton,"[-1.40428, 50.90395]"
10,AWD0003hdl,diary,600,2,1915-12-16 12:53:00 UTC,16 Dec 1915,"SOUTHAMPTON, Southampton","[-1.40428, 50.90395]",1253PM,time,1253PM,{},2637487,Southampton,"[-1.40428, 50.90395]"
11,AWD0003hdl,diary,600,3,1915-12-16 12:53:00 UTC,16 Dec 1915,"SOUTHAMPTON, Southampton","[-1.40428, 50.90395]",1253PM,activity,movement,{},2637487,Southampton,"[-1.40428, 50.90395]"
12,AWD0003hdl,diary,600,2,1915-12-16 12:53:00 UTC,16 Dec 1915,"FARNBOROUGH, Farnborough","[-0.75565, 51.29424]",1253PM,place,"FARNBOROUGH, Farnborough","{""place""=>[""FARNBOROUGH"", ""Farnborough""], ""location""=>[""true""], ""name""=>[""Farnborough"", """"], ""lat""=>[""51.29424"", """"], ""long""=>[""-0.75565"", """"], ""id""=>[""2649672"", """"]}",2649672,Farnborough,"[-0.75565, 51.29424]"
15,AWD0003hdl,diary,600,3,1915-12-16 14:45:00 UTC,16 Dec 1915,"FARNBOROUGH, Farnborough","[-0.75565, 51.29424]",0245PM,time,0245PM,{},2649672,Farnborough,"[-0.75565, 51.29424]"
16,AWD0003hdl,diary,600,7,1915-12-16 14:45:00 UTC,16 Dec 1915,Southampton,"[-1.40428, 50.90395]",0245PM,place,Southampton,"{""place""=>[""Southampton""], ""location""=>[""true""], ""name""=>[""Southampton""], ""lat""=>[""50.90395""], ""long""=>[""-1.40428""], ""id""=>[""2637487""]}",2637487,Southampton,"[-1.40428, 50.90395]"
17,AWD0003hdl,diary,600,2,1915-12-16 14:45:00 UTC,16 Dec 1915,Southampton,"[-1.40428, 50.90395]",0245PM,activity,movement,{},2637487,Southampton,"[-1.40428, 50.90395]"
20,AWD0003hdl,diary,600,4,1915-12-17 00:00:00 UTC,17 Dec 1915,Southampton,"[-1.40428, 50.90395]","",diaryDate,17 Dec 1915,"{""day""=>[""17""], ""month""=>[""Dec""], ""year""=>[""1915""]}",2637487,Southampton,"[-1.40428, 50.90395]"
