Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003l4r,diary,7,2,1914-10-03 00:00:00 UTC,3 Oct 1914,"","[0.0, 0.0]","",diaryDate,3 Oct 1914,"{""day""=>[""3""], ""month""=>[""Oct""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0003l4r,diary,7,3,1915-10-01 00:00:00 UTC,1 Oct 1915,"","[0.0, 0.0]","",diaryDate,1 Oct 1915,"{""day""=>[""1""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0003l4r,diary,7,3,1915-10-01 00:00:00 UTC,1 Oct 1915,Vauxcere,"[3.63774, 49.34024]","",place,Vauxcere,"{""place""=>[""Vauxcere""], ""location""=>[""true""], ""name""=>[""Vauxcéré""], ""lat""=>[""49.34024""], ""long""=>[""3.63774""], ""id""=>[""2970357""]}",2970357,Vauxcéré,"[3.63774, 49.34024]"
4,AWD0003l4r,diary,7,2,1915-10-01 00:00:00 UTC,1 Oct 1915,Vauxcere,"[3.63774, 49.34024]","",unit,4th Cavalry,"{""name""=>[""4th Cavalry""], ""context""=>[""other""]}",2970357,Vauxcéré,"[3.63774, 49.34024]"
5,AWD0003l4r,diary,7,2,1915-10-01 00:00:00 UTC,1 Oct 1915,Vauxcere,"[3.63774, 49.34024]","",activity,resting,{},2970357,Vauxcéré,"[3.63774, 49.34024]"
6,AWD0003l4r,diary,7,5,1914-10-04 00:00:00 UTC,"4 Oct 1914, 1915",Vauxcere,"[3.63774, 49.34024]","",diaryDate,"4 Oct 1914, 1915","{""day""=>[""4""], ""month""=>[""Oct""], ""year""=>[""1914"", ""1915""]}",2970357,Vauxcéré,"[3.63774, 49.34024]"
7,AWD0003l4r,diary,7,2,1914-10-04 00:00:00 UTC,"4 Oct 1914, 1915",Vauxcere,"[3.63774, 49.34024]","",activity,movement,{},2970357,Vauxcéré,"[3.63774, 49.34024]"
8,AWD0003l4r,diary,7,2,1914-10-04 00:00:00 UTC,"4 Oct 1914, 1915",Vauxcere,"[3.63774, 49.34024]","",place,"VAUXCERE, Vauxcere","{""place""=>[""VAUXCERE"", ""Vauxcere""], ""location""=>[""true"", ""false""], ""name""=>["""", ""Vauxcéré""], ""lat""=>["""", ""49.34024""], ""long""=>["""", ""3.63774""], ""id""=>["""", ""2970357""]}",2970357,Vauxcéré,"[3.63774, 49.34024]"
10,AWD0003l4r,diary,7,5,1914-10-04 00:00:00 UTC,"4 Oct 1914, 1915",St. Remy,"[4.83167, 43.78848]","",place,St. Remy,"{""place""=>[""St. Remy""], ""location""=>[""true""], ""name""=>[""Saint-Rémy-de-Provence""], ""lat""=>[""43.78848""], ""long""=>[""4.83167""], ""id""=>[""2977214""]}",2977214,Saint-Rémy-de-Provence,"[4.83167, 43.78848]"
11,AWD0003l4r,diary,7,4,1914-10-04 00:00:00 UTC,"4 Oct 1914, 1915",St. Remy,"[4.83167, 43.78848]","",place,Blanzy,"{""place""=>[""Blanzy""], ""location""=>[""false"", ""true""], ""name""=>["""", ""Blanzy""], ""lat""=>["""", ""46.70012""], ""long""=>["""", ""4.38833""], ""id""=>["""", ""3032326""]}",2977214,Saint-Rémy-de-Provence,"[4.83167, 43.78848]"
12,AWD0003l4r,diary,7,2,1914-10-04 00:00:00 UTC,"4 Oct 1914, 1915","bazooches, Bazooches","[3.58464, 49.29595]","",place,"bazooches, Bazooches","{""place""=>[""bazooches"", ""Bazooches""], ""location""=>[""true""], ""name""=>["""", ""Mont-Notre-Dame""], ""lat""=>["""", ""49.29595""], ""long""=>["""", ""3.58464""], ""id""=>["""", ""2992209""]}",,,
