Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD00039nn,diary,5,4,1914-08-05 00:00:00 UTC,5 Aug 1914,"","[0.0, 0.0]","",diaryDate,5 Aug 1914,"{""day""=>[""5""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD00039nn,diary,5,5,1914-08-05 00:00:00 UTC,5 Aug 1914,Preston,"[-2.70452, 53.76282]","",place,Preston,"{""place""=>[""Preston""], ""location""=>[""true""], ""name""=>[""Preston""], ""lat""=>["""", ""53.76282""], ""long""=>["""", ""-2.70452""], ""id""=>[""2639912""]}",2639912,Preston,"[-2.71667, 53.76667]"
12,AWD00039nn,diary,5,2,1914-08-05 00:00:00 UTC,5 Aug 1914,Preston,"[-2.70452, 53.76282]","",place,Aldershot,"{""place""=>[""Aldershot""], ""location""=>[""false""], ""name""=>[""Aldershot"", ""Aldershot Camp""], ""lat""=>[""51.24827"", ""51.25987""], ""long""=>[""-0.76389"", ""-0.7581""], ""id""=>[""2657540"", ""10109465""]}",2639912,Preston,"[-2.71667, 53.76667]"
14,AWD00039nn,diary,5,4,1914-08-06 00:00:00 UTC,6 Aug 1914,Preston,"[-2.70452, 53.76282]","",diaryDate,6 Aug 1914,"{""day""=>[""6""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2639912,Preston,"[-2.71667, 53.76667]"
15,AWD00039nn,diary,5,2,1914-08-06 09:00:00 UTC,6 Aug 1914,Preston,"[-2.70452, 53.76282]",0900AM,time,0900AM,{},2639912,Preston,"[-2.71667, 53.76667]"
17,AWD00039nn,diary,5,4,1914-08-06 09:00:00 UTC,6 Aug 1914,Aldershot,"[-0.76389, 51.24827]",0900AM,place,Aldershot,"{""place""=>[""Aldershot""], ""location""=>[""true""], ""name""=>[""Aldershot""], ""lat""=>[""51.24827""], ""long""=>[""-0.76389""], ""id""=>[""2657540""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
26,AWD00039nn,diary,5,2,1914-08-06 09:00:00 UTC,6 Aug 1914,Aldershot,"[-0.76389, 51.24827]",0900AM,weather,rain,{},2657540,Aldershot,"[-0.76389, 51.24827]"
28,AWD00039nn,diary,5,4,1914-08-07 00:00:00 UTC,7 Aug 1914,Aldershot,"[-0.76389, 51.24827]","",diaryDate,7 Aug 1914,"{""day""=>[""7""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
30,AWD00039nn,diary,5,2,1914-08-07 00:00:00 UTC,7 Aug 1914,Aldershot,"[0.0, 0.0]","",place,Aldershot,"{""place""=>[""Aldershot""], ""location""=>[""true""], ""name""=>[""Aldershot"", ""Aldershot Camp""], ""lat""=>[""51.24827"", ""51.25987""], ""long""=>[""-0.76389"", ""-0.7581""], ""id""=>[""2657540"", ""10109465""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
33,AWD00039nn,diary,5,4,1914-08-07 00:00:00 UTC,7 Aug 1914,Aldershot,"[0.0, 0.0]","",weather,fine,{},2657540,Aldershot,"[-0.76389, 51.24827]"
35,AWD00039nn,diary,5,4,1914-08-08 00:00:00 UTC,8 Aug 1914,Aldershot,"[0.0, 0.0]","",diaryDate,8 Aug 1914,"{""day""=>[""8""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
37,AWD00039nn,diary,5,3,1914-08-08 00:00:00 UTC,8 Aug 1914,Aldershot,"[0.0, 0.0]","",domestic,uniform,{},2657540,Aldershot,"[-0.76389, 51.24827]"
39,AWD00039nn,diary,5,2,1914-08-08 00:00:00 UTC,8 Aug 1914,Aldershot,"[0.0, 0.0]","",weather,rain,{},2657540,Aldershot,"[-0.76389, 51.24827]"
40,AWD00039nn,diary,5,2,1914-08-08 00:00:00 UTC,8 Aug 1914,Aldershot,"[0.0, 0.0]","",weather,cold,{},2657540,Aldershot,"[-0.76389, 51.24827]"
41,AWD00039nn,diary,5,2,1914-08-08 00:00:00 UTC,8 Aug 1914,Aldershot,"[0.0, 0.0]","",weather,overcast,{},2657540,Aldershot,"[-0.76389, 51.24827]"
