Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003g8p,diary,732,5,1915-10-04 00:00:00 UTC,4 Oct 1915,"","[0.0, 0.0]","",diaryDate,4 Oct 1915,"{""day""=>[""4""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0003g8p,diary,732,4,1915-10-04 00:00:00 UTC,4 Oct 1915,"Bramshott, bramshott","[-0.79812, 51.0896]","",place,"Bramshott, bramshott","{""place""=>[""Bramshott"", ""bramshott""], ""location""=>[""true""], ""name""=>[""Bramshott""], ""lat""=>[""51.0896""], ""long""=>[""-0.79812""], ""id""=>[""2654909""]}",2654909,Bramshott,"[-0.79812, 51.0896]"
3,AWD0003g8p,diary,732,2,1915-10-04 00:00:00 UTC,4 Oct 1915,"Bramshott, bramshott","[-0.79812, 51.0896]","",activity,movement,{},2654909,Bramshott,"[-0.79812, 51.0896]"
5,AWD0003g8p,diary,732,3,1915-10-04 00:00:00 UTC,4 Oct 1915,"Bramshott, bramshott","[-0.79812, 51.0896]","",place,Liphook,"{""place""=>[""Liphook""], ""location""=>[""false""], ""name""=>[""Liphook""], ""lat""=>[""51.07673""], ""long""=>[""-0.8032""], ""id""=>[""2644419""]}",2654909,Bramshott,"[-0.79812, 51.0896]"
8,AWD0003g8p,diary,732,2,1915-10-04 00:00:00 UTC,4 Oct 1915,"Bramshott, bramshott","[-0.79812, 51.0896]","",activity,movement,{},2654909,Bramshott,"[-0.79812, 51.0896]"
9,AWD0003g8p,diary,732,3,1915-10-04 00:00:00 UTC,4 Oct 1915,"Bramshott, bramshott","[-0.79812, 51.0896]","",strength,"officer: 3, other: 109",{},2654909,Bramshott,"[-0.79812, 51.0896]"
11,AWD0003g8p,diary,732,2,1915-10-04 00:00:00 UTC,4 Oct 1915,"Bramshott, bramshott","[-0.79812, 51.0896]","",strength,"officer: 30, other: 998",{},2654909,Bramshott,"[-0.79812, 51.0896]"
13,AWD0003g8p,diary,732,4,1915-10-04 00:00:00 UTC,4 Oct 1915,"Bramshott, bramshott","[-0.79812, 51.0896]","",place,"Southampton, southampton","{""place""=>[""Southampton"", ""southampton""], ""location""=>[""false""], ""name""=>[""Southampton""], ""lat""=>[""50.90395""], ""long""=>[""-1.40428""], ""id""=>[""2637487""]}",2654909,Bramshott,"[-0.79812, 51.0896]"
14,AWD0003g8p,diary,732,3,1915-10-04 00:00:00 UTC,4 Oct 1915,"Bramshott, bramshott","[-0.79812, 51.0896]","",place,Havre,"{""place""=>[""Havre""], ""location""=>[""false""], ""name""=>[""Le Havre""], ""lat""=>[""49.4938""], ""long""=>[""0.10767""], ""id""=>[""3003796""]}",2654909,Bramshott,"[-0.79812, 51.0896]"
15,AWD0003g8p,diary,732,4,1915-10-04 00:00:00 UTC,4 Oct 1915,"Bramshott, bramshott","[-0.79812, 51.0896]","",place,"Cardonnette, cardonnette","{""place""=>[""Cardonnette"", ""cardonnette""], ""location""=>[""false"", ""true""], ""name""=>[""Cardonnette""], ""lat""=>[""49.95266""], ""long""=>[""2.35917""], ""id""=>[""3028619""]}",2654909,Bramshott,"[-0.79812, 51.0896]"
