Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD0001o1q,diary,4,4,,"","Roberts Heights, South Africa","[0.0, 0.0]","",place,"Roberts Heights, South Africa","{""place""=>[""Roberts Heights, South Africa""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
3,AWD0001o1q,diary,4,3,,"","Roberts Heights, South Africa","[0.0, 0.0]","",activity,movement,{},,,
4,AWD0001o1q,diary,4,5,1914-08-10 00:00:00 UTC,10 Aug 1914,"Roberts Heights, South Africa","[0.0, 0.0]","",diaryDate,10 Aug 1914,"{""day""=>[""10""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
6,AWD0001o1q,diary,4,2,1914-08-10 00:00:00 UTC,10 Aug 1914,"Roberts Heights, South Africa","[0.0, 0.0]","",activity,movement,{},,,
7,AWD0001o1q,diary,4,4,1914-08-10 00:00:00 UTC,10 Aug 1914,"Roberts Heights, South Africa","[0.0, 0.0]","",place,Lyndhurst,"{""place""=>[""Lyndhurst""], ""location""=>[""false"", ""true""], ""name""=>[""Lyndhurst""], ""lat""=>[""50.87259""], ""long""=>[""-1.57662""], ""id""=>[""2643304""]}",,,
11,AWD0001o1q,diary,4,6,1914-10-04 00:00:00 UTC,4 Oct 1914,"Roberts Heights, South Africa","[0.0, 0.0]","",diaryDate,4 Oct 1914,"{""day""=>[""4""], ""month""=>[""Oct""], ""year""=>[""1914""]}",,,
12,AWD0001o1q,diary,4,5,1914-10-04 15:00:00 UTC,4 Oct 1914,"Roberts Heights, South Africa","[0.0, 0.0]",0300PM,time,0300PM,{},,,
13,AWD0001o1q,diary,4,9,1914-10-04 15:00:00 UTC,4 Oct 1914,Lyndhurst,"[-1.57662, 50.87259]",0300PM,place,Lyndhurst,"{""place""=>[""Lyndhurst""], ""location""=>[""true""], ""name""=>[""Lyndhurst""], ""lat""=>[""50.87259""], ""long""=>[""-1.57662""], ""id""=>[""2643304""]}",2643304,Lyndhurst,"[-1.57662, 50.87259]"
16,AWD0001o1q,diary,4,5,1914-10-04 15:00:00 UTC,4 Oct 1914,Lyndhurst,"[-1.57662, 50.87259]",0300PM,activity,movement,{},2643304,Lyndhurst,"[-1.57662, 50.87259]"
17,AWD0001o1q,diary,4,3,1914-10-04 16:30:00 UTC,4 Oct 1914,Lyndhurst,"[-1.57662, 50.87259]",0430PM,time,0430PM,{},2643304,Lyndhurst,"[-1.57662, 50.87259]"
18,AWD0001o1q,diary,4,5,1914-10-04 17:00:00 UTC,4 Oct 1914,Lyndhurst,"[-1.57662, 50.87259]",0500PM,time,0500PM,{},2643304,Lyndhurst,"[-1.57662, 50.87259]"
20,AWD0001o1q,diary,4,3,1914-10-04 17:00:00 UTC,4 Oct 1914,Lyndhurst,"[-1.57662, 50.87259]",0500PM,activity,movement,{},2643304,Lyndhurst,"[-1.57662, 50.87259]"
21,AWD0001o1q,diary,4,5,1914-10-04 20:45:00 UTC,4 Oct 1914,Lyndhurst,"[-1.57662, 50.87259]",0845PM,time,0845PM,{},2643304,Lyndhurst,"[-1.57662, 50.87259]"
23,AWD0001o1q,diary,4,4,1914-10-04 20:45:00 UTC,4 Oct 1914,Southampton,"[-1.41981, 50.90325]",0845PM,place,Southampton,"{""place""=>[""Southampton""], ""location""=>[""true""], ""name""=>[""Southampton Port""], ""lat""=>[""50.90325""], ""long""=>[""-1.41981""], ""id""=>[""9253609""]}",2637487,Southampton,"[-1.40428, 50.90395]"
24,AWD0001o1q,diary,4,5,1914-10-04 23:00:00 UTC,4 Oct 1914,Southampton,"[-1.41981, 50.90325]",1100PM,time,1100PM,{},2637487,Southampton,"[-1.40428, 50.90395]"
26,AWD0001o1q,diary,4,5,1914-10-04 23:00:00 UTC,4 Oct 1914,Southampton,"[-1.41981, 50.90325]",1100PM,activity,movement,{},2637487,Southampton,"[-1.40428, 50.90395]"
27,AWD0001o1q,diary,4,5,1914-10-04 21:00:00 UTC,4 Oct 1914,Southampton,"[-1.41981, 50.90325]",0900PM,time,0900PM,{},2637487,Southampton,"[-1.40428, 50.90395]"
28,AWD0001o1q,diary,4,2,1914-10-04 21:00:00 UTC,4 Oct 1914,Southampton,"[0.0, 0.0]",0900PM,place,Southampton,"{""place""=>[""Southampton""], ""location""=>[""true""], ""name""=>[""Southampton Port"", ""Southampton""], ""lat""=>[""50.90325"", ""50.90395""], ""long""=>[""-1.41981"", ""-1.40428""], ""id""=>[""9253609"", ""2637487""]}",2637487,Southampton,"[-1.40428, 50.90395]"
29,AWD0001o1q,diary,4,2,1914-10-04 21:00:00 UTC,4 Oct 1914,Southampton,"[0.0, 0.0]",0900PM,place,"Southampton Dockyards, Southampton, Dock Gates","{""place""=>[""Southampton Dockyards"", ""Southampton, Dock Gates""], ""location""=>[""false"", ""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2637487,Southampton,"[-1.40428, 50.90395]"
32,AWD0001o1q,diary,4,3,1914-10-04 21:00:00 UTC,4 Oct 1914,Southampton,"[0.0, 0.0]",0900PM,activity,movement,{},2637487,Southampton,"[-1.40428, 50.90395]"
3,AWD0001nrg,diary,5,2,1914-10-04 21:00:00 UTC,4 Oct 1914,Southampton,"[0.0, 0.0]",0900PM,mapRef,"sheet: BELGIUM, scale: 1/100,000",{},2637487,Southampton,"[-1.40428, 50.90395]"
4,AWD0001nrg,diary,5,7,1914-10-05 00:00:00 UTC,5 Oct 1914,Southampton,"[0.0, 0.0]","",diaryDate,5 Oct 1914,"{""day""=>[""5""], ""month""=>[""Oct""], ""year""=>[""1914""]}",2637487,Southampton,"[-1.40428, 50.90395]"
7,AWD0001nrg,diary,5,5,1914-10-05 08:00:00 UTC,5 Oct 1914,Southampton,"[0.0, 0.0]",0800AM,time,0800AM,{},2637487,Southampton,"[-1.40428, 50.90395]"
9,AWD0001nrg,diary,5,6,1914-10-05 08:00:00 UTC,5 Oct 1914,Southampton,"[0.0, 0.0]",0800AM,activity,movement,{},2637487,Southampton,"[-1.40428, 50.90395]"
10,AWD0001nrg,diary,5,3,1914-10-05 08:00:00 UTC,5 Oct 1914,Southampton,"[0.0, 0.0]",0800AM,place,Southampton,"{""place""=>[""Southampton""], ""location""=>[""false""], ""name""=>[""Southampton Port""], ""lat""=>[""50.90325""], ""long""=>[""-1.41981""], ""id""=>[""9253609""]}",2637487,Southampton,"[-1.40428, 50.90395]"
11,AWD0001nrg,diary,5,3,1914-10-05 08:00:00 UTC,5 Oct 1914,Southampton,"[0.0, 0.0]",0800AM,place,Dover,"{""place""=>[""Dover""], ""location""=>[""false""], ""name""=>[""Dover""], ""lat""=>[""51.13333""], ""long""=>[""1.3""], ""id""=>[""2651048""]}",2637487,Southampton,"[-1.40428, 50.90395]"
12,AWD0001nrg,diary,5,5,1914-10-05 22:00:00 UTC,5 Oct 1914,Southampton,"[0.0, 0.0]",1000PM,time,1000PM,{},2637487,Southampton,"[-1.40428, 50.90395]"
13,AWD0001nrg,diary,5,4,1914-10-05 22:00:00 UTC,5 Oct 1914,Southampton,"[0.0, 0.0]",1000PM,place,Calais,"{""place""=>[""Calais""], ""location""=>[""false""], ""name""=>[""Calais""], ""lat""=>[""50.95194""], ""long""=>[""1.85635""], ""id""=>[""3029162""]}",2637487,Southampton,"[-1.40428, 50.90395]"
