Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD00025gd,diary,168,4,1915-10-12 00:00:00 UTC,12 Oct 1915,"","[0.0, 0.0]","",diaryDate,12 Oct 1915,"{""day""=>[""12""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD00025gd,diary,168,5,1915-10-12 00:00:00 UTC,12 Oct 1915,Chuignes,"[2.75152, 49.90039]","",place,Chuignes,"{""place""=>[""Chuignes""], ""location""=>[""true""], ""name""=>[""Chuignes""], ""lat""=>[""49.90039""], ""long""=>[""2.75152""], ""id""=>[""3024998""]}",3024997,Chuignolles,"[2.7284, 49.90219]"
5,AWD00025gd,diary,168,3,1915-10-14 00:00:00 UTC,14 Oct 1915,Chuignes,"[2.75152, 49.90039]","",diaryDate,14 Oct 1915,"{""day""=>[""14""], ""month""=>[""Oct""], ""year""=>[""1915""]}",3024997,Chuignolles,"[2.7284, 49.90219]"
6,AWD00025gd,diary,168,5,1915-10-14 00:00:00 UTC,14 Oct 1915,Chuignes,"[2.75152, 49.90039]","",activity,resupplying,{},3024997,Chuignolles,"[2.7284, 49.90219]"
7,AWD00025gd,diary,168,3,1915-10-15 00:00:00 UTC,15 Oct 1915,Chuignes,"[2.75152, 49.90039]","",diaryDate,15 Oct 1915,"{""day""=>[""15""], ""month""=>[""Oct""], ""year""=>[""1915""]}",3024997,Chuignolles,"[2.7284, 49.90219]"
8,AWD00025gd,diary,168,3,1915-10-15 00:00:00 UTC,15 Oct 1915,Chuignes,"[2.75152, 49.90039]","",activity,other,{},3024997,Chuignolles,"[2.7284, 49.90219]"
11,AWD00025gd,diary,168,4,1915-10-15 00:00:00 UTC,15 Oct 1915,Donpierre,"[2.75152, 49.90039]","",place,Donpierre,"{""place""=>[""Donpierre""], ""location""=>[""true""], ""name""=>[""Chuignes"", """"], ""lat""=>[""49.90039"", """"], ""long""=>[""2.75152"", """"], ""id""=>[""3024998"", """"]}",3021144,Dompierre,"[2.53609, 49.59413]"
12,AWD00025gd,diary,168,3,1915-10-15 00:00:00 UTC,15 Oct 1915,Donpierre,"[2.75152, 49.90039]","",activity,repair,{},3021144,Dompierre,"[2.53609, 49.59413]"
15,AWD00025gd,diary,168,3,1915-10-15 00:00:00 UTC,15 Oct 1915,Donpierre,"[0.0, 0.0]","",place,Donpierre,"{""place""=>[""Donpierre""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3021144,Dompierre,"[2.53609, 49.59413]"
16,AWD00025gd,diary,168,3,1915-10-16 00:00:00 UTC,16 Oct 1915,Donpierre,"[0.0, 0.0]","",diaryDate,16 Oct 1915,"{""day""=>[""16""], ""month""=>[""Oct""], ""year""=>[""1915""]}",3021144,Dompierre,"[2.53609, 49.59413]"
17,AWD00025gd,diary,168,2,1915-10-16 00:00:00 UTC,16 Oct 1915,Donpierre,"[0.0, 0.0]","",activity,repair,{},3021144,Dompierre,"[2.53609, 49.59413]"
19,AWD00025gd,diary,168,3,1915-10-17 00:00:00 UTC,17 Oct 1915,Donpierre,"[0.0, 0.0]","",diaryDate,17 Oct 1915,"{""day""=>[""17""], ""month""=>[""Oct""], ""year""=>[""1915""]}",3021144,Dompierre,"[2.53609, 49.59413]"
20,AWD00025gd,diary,168,3,1915-10-17 00:00:00 UTC,17 Oct 1915,Donpierre,"[0.0, 0.0]","",activity,other,{},3021144,Dompierre,"[2.53609, 49.59413]"
23,AWD00025gd,diary,168,2,1915-10-17 00:00:00 UTC,17 Oct 1915,Donpierre,"[0.0, 0.0]","",weather,fog,{},3021144,Dompierre,"[2.53609, 49.59413]"
