Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD0000jd8,diary,4,3,1915-03-11 00:00:00 UTC,11 Mar 1915,"","[0.0, 0.0]","",diaryDate,11 Mar 1915,"{""day""=>[""11""], ""month""=>[""Mar""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0000jd8,diary,4,4,1915-03-11 08:00:00 UTC,11 Mar 1915,"","[0.0, 0.0]",0800AM,time,0800AM,{},2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0000jd8,diary,4,3,1915-03-11 08:00:00 UTC,11 Mar 1915,Le Bois Clebert,"[0.0, 0.0]",0800AM,place,Le Bois Clebert,"{""place""=>[""Le Bois Clebert""], ""location""=>[""true""], ""name""=>["""", ""Morbecque"", ""Mametz""], ""lat""=>["""", ""50.69365"", ""49.99718""], ""long""=>["""", ""2.51787"", ""2.73607""], ""id""=>["""", ""2991881"", ""2996289""]}",,,
6,AWD0000jd8,diary,4,4,1915-03-11 08:00:00 UTC,11 Mar 1915,Morbecque,"[2.51787, 50.69365]",0800AM,place,Morbecque,"{""place""=>[""Morbecque""], ""location""=>[""true""], ""name""=>[""Morbecque""], ""lat""=>[""50.69365""], ""long""=>[""2.51787""], ""id""=>[""2991881""]}",2991881,Morbecque,"[2.51787, 50.69365]"
7,AWD0000jd8,diary,4,2,1915-03-11 08:00:00 UTC,11 Mar 1915,Morbecque,"[2.51787, 50.69365]",0800AM,place,"hazebrouck, Hazebrouck","{""place""=>[""hazebrouck"", ""Hazebrouck""], ""location""=>[""false"", ""true""], ""name""=>[""Hazebrouck""], ""lat""=>[""50.72374""], ""long""=>[""2.53729""], ""id""=>[""3013619""]}",2991881,Morbecque,"[2.51787, 50.69365]"
8,AWD0000jd8,diary,4,2,1915-03-11 08:00:00 UTC,11 Mar 1915,Morbecque,"[2.51787, 50.69365]",0800AM,place,"la motte, La motte","{""place""=>[""la motte"", ""La motte""], ""location""=>[""false"", ""true""], ""name""=>[""La Motte"", """"], ""lat""=>[""43.49142"", """"], ""long""=>[""6.53689"", """"], ""id""=>[""3008037"", """"]}",2991881,Morbecque,"[2.51787, 50.69365]"
9,AWD0000jd8,diary,4,3,1915-03-11 08:00:00 UTC,11 Mar 1915,Morbecque,"[2.51787, 50.69365]",0800AM,unit,"3rd Cavalry division, 3rd cavalry Division, 3rd Cavalry Division","{""name""=>[""3rd Cavalry division"", ""3rd cavalry Division"", ""3rd Cavalry Division""], ""context""=>[""joined""]}",2991881,Morbecque,"[2.51787, 50.69365]"
14,AWD0000jd8,diary,4,2,1915-03-11 08:00:00 UTC,11 Mar 1915,Morbecque,"[2.51787, 50.69365]",0800AM,place,"Neuve Chapelle, neuve chapelle","{""place""=>[""Neuve Chapelle"", ""neuve chapelle""], ""location""=>[""true"", ""false""], ""name""=>[""Neuve-Chapelle""], ""lat""=>[""50.58582""], ""long""=>[""2.78196""], ""id""=>[""2990589""]}",2991881,Morbecque,"[2.51787, 50.69365]"
15,AWD0000jd8,diary,4,2,1915-03-11 08:00:00 UTC,11 Mar 1915,"Morbecque, morbecque","[2.51787, 50.69365]",0800AM,place,"Morbecque, morbecque","{""place""=>[""Morbecque"", ""morbecque""], ""location""=>[""true""], ""name""=>[""Morbecque""], ""lat""=>[""50.69365""], ""long""=>[""2.51787""], ""id""=>[""2991881""]}",2991881,Morbecque,"[2.51787, 50.69365]"
22,AWD0000jd8,diary,4,3,1915-03-12 00:00:00 UTC,12 Mar 1915,"Morbecque, morbecque","[2.51787, 50.69365]","",diaryDate,12 Mar 1915,"{""day""=>[""12""], ""month""=>[""Mar""], ""year""=>[""1915""]}",2991881,Morbecque,"[2.51787, 50.69365]"
