Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003hif,diary,261,5,,"","blackdown, Blackdown","[-2.7407, 51.31205]","",place,"blackdown, Blackdown","{""place""=>[""blackdown"", ""Blackdown""], ""location""=>[""true""], ""name""=>[""Blackdown""], ""lat""=>[""51.31205""], ""long""=>[""-2.7407""], ""id""=>[""6619490""]}",6619490,Blackdown,"[-2.7407, 51.31205]"
2,AWD0003hif,diary,261,5,1915-12-17 00:00:00 UTC,17 Dec 1915,"blackdown, Blackdown","[-2.7407, 51.31205]","",diaryDate,17 Dec 1915,"{""day""=>[""17""], ""month""=>[""Dec""], ""year""=>[""1915""]}",6619490,Blackdown,"[-2.7407, 51.31205]"
3,AWD0003hif,diary,261,2,1915-12-17 11:05:00 UTC,17 Dec 1915,"blackdown, Blackdown","[-2.7407, 51.31205]",1105AM,time,1105AM,{},6619490,Blackdown,"[-2.7407, 51.31205]"
4,AWD0003hif,diary,261,5,1915-12-17 11:05:00 UTC,17 Dec 1915,"blackdown, Blackdown","[-2.7407, 51.31205]",1105AM,activity,movement,{},6619490,Blackdown,"[-2.7407, 51.31205]"
6,AWD0003hif,diary,261,2,1915-12-17 12:15:00 UTC,17 Dec 1915,"blackdown, Blackdown","[-2.7407, 51.31205]",1215PM,time,1215PM,{},6619490,Blackdown,"[-2.7407, 51.31205]"
7,AWD0003hif,diary,261,4,1915-12-17 12:15:00 UTC,17 Dec 1915,farnboro,"[-0.75565, 51.29424]",1215PM,place,farnboro,"{""place""=>[""farnboro""], ""location""=>[""true""], ""name""=>["""", ""Farnborough""], ""lat""=>["""", ""51.29424""], ""long""=>["""", ""-0.75565""], ""id""=>["""", ""2649672""]}",,,
9,AWD0003hif,diary,261,2,1915-12-17 13:55:00 UTC,17 Dec 1915,farnboro,"[-0.75565, 51.29424]",0155PM,time,0155PM,{},,,
10,AWD0003hif,diary,261,3,1915-12-17 13:55:00 UTC,17 Dec 1915,farnboro,"[-0.75565, 51.29424]",0155PM,activity,movement,{},,,
12,AWD0003hif,diary,261,2,1915-12-17 14:30:00 UTC,17 Dec 1915,farnboro,"[-0.75565, 51.29424]",0230PM,time,0230PM,{},,,
13,AWD0003hif,diary,261,7,1915-12-17 14:30:00 UTC,17 Dec 1915,southampton,"[-1.40428, 50.90395]",0230PM,place,southampton,"{""place""=>[""southampton""], ""location""=>[""true""], ""name""=>[""Southampton""], ""lat""=>[""50.90395""], ""long""=>[""-1.40428""], ""id""=>[""2637487""]}",2637487,Southampton,"[-1.40428, 50.90395]"
14,AWD0003hif,diary,261,2,1915-12-17 16:00:00 UTC,17 Dec 1915,southampton,"[-1.40428, 50.90395]",0400PM,time,0400PM,{},2637487,Southampton,"[-1.40428, 50.90395]"
15,AWD0003hif,diary,261,3,1915-12-17 16:00:00 UTC,17 Dec 1915,southampton,"[-1.40428, 50.90395]",0400PM,activity,movement,{},2637487,Southampton,"[-1.40428, 50.90395]"
16,AWD0003hif,diary,261,2,1915-12-17 16:30:00 UTC,17 Dec 1915,southampton,"[-1.40428, 50.90395]",0430PM,time,0430PM,{},2637487,Southampton,"[-1.40428, 50.90395]"
17,AWD0003hif,diary,261,2,1915-12-17 18:00:00 UTC,17 Dec 1915,southampton,"[-1.40428, 50.90395]",0600PM,time,0600PM,{},2637487,Southampton,"[-1.40428, 50.90395]"
19,AWD0003hif,diary,261,2,1915-12-17 18:00:00 UTC,17 Dec 1915,southampton,"[-1.40428, 50.90395]",0600PM,activity,movement,{},2637487,Southampton,"[-1.40428, 50.90395]"
20,AWD0003hif,diary,261,2,1915-12-17 18:00:00 UTC,17 Dec 1915,southampton,"[-1.40428, 50.90395]",0600PM,activity,working,{},2637487,Southampton,"[-1.40428, 50.90395]"
