Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
4,AWD0000fdd,cover,1,2,,,,[],,activity,training,{},,,
13,AWD0000fdd,cover,1,2,,,,[],,diaryDate,28 Mar 1917,"{""day""=>[""28""], ""month""=>[""Mar""], ""year""=>[""1917""]}",,,
1,AWD0000fid,cover,5,3,,,,[],,diaryDate,10 Sep 1914,"{""day""=>[""10""], ""month""=>[""Sep""], ""year""=>[""1914""]}",,,
2,AWD0000fid,cover,5,2,,,,[],,activity,movement,{},,,
3,AWD0000fid,cover,5,3,,,,[],,place,"St Nazaire, Saint Nazaire, St. Nazaire","{""place""=>[""St Nazaire"", ""Saint Nazaire"", ""St. Nazaire""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
4,AWD0000fmw,diary,6,2,,"","","[0.0, 0.0]","",place,Trent Valley,"{""place""=>[""Trent Valley""], ""location""=>[""false"", ""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
6,AWD0000fmw,diary,6,2,,"","","[0.0, 0.0]",1230AM,time,1230AM,{},2985684,Pozières,"[2.72929, 50.04047]"
7,AWD0000fmw,diary,6,2,,"","","[0.0, 0.0]",1230AM,domestic,parades,{},2985684,Pozières,"[2.72929, 50.04047]"
8,AWD0000fmw,diary,6,6,1914-08-07 00:00:00 UTC,7 Aug 1914,"","[0.0, 0.0]","",diaryDate,7 Aug 1914,"{""day""=>[""7""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
11,AWD0000fmw,diary,6,3,1914-08-07 06:15:00 UTC,7 Aug 1914,"","[0.0, 0.0]",0615AM,time,0615AM,{},2985684,Pozières,"[2.72929, 50.04047]"
12,AWD0000fmw,diary,6,2,1914-08-07 07:15:00 UTC,7 Aug 1914,"","[0.0, 0.0]",0715AM,time,0715AM,{},2985684,Pozières,"[2.72929, 50.04047]"
14,AWD0000fmw,diary,6,2,1914-08-07 07:15:00 UTC,7 Aug 1914,"","[0.0, 0.0]",0715AM,activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
15,AWD0000fmw,diary,6,4,1914-08-07 07:15:00 UTC,7 Aug 1914,Lichfield,"[0.0, 0.0]",0715AM,place,Lichfield,"{""place""=>[""Lichfield""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2644531,Lichfield,"[-1.82549, 52.68154]"
17,AWD0000fmw,diary,6,4,1914-08-07 07:15:00 UTC,7 Aug 1914,Dunfermline,"[0.0, 0.0]",0715AM,place,Dunfermline,"{""place""=>[""Dunfermline""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2650732,Dunfermline,"[-3.45887, 56.07156]"
