Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD0003cpx,diary,767,5,1917-04-01 00:00:00 UTC,1 Apr 1917,"","[0.0, 0.0]","",diaryDate,1 Apr 1917,"{""day""=>[""1""], ""month""=>[""Apr""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0003cpx,diary,767,4,1917-04-01 00:00:00 UTC,1 Apr 1917,"","[0.0, 0.0]","",weather,fine,{},2985684,Pozières,"[2.72929, 50.04047]"
9,AWD0003cpx,diary,767,4,1917-04-01 00:00:00 UTC,1 Apr 1917,"","[0.0, 0.0]","",place,Burbure,"{""place""=>[""Burbure""], ""location""=>[""false""], ""name""=>[""Burbure""], ""lat""=>[""50.53663""], ""long""=>[""2.46897""], ""id""=>[""3029548""]}",2985684,Pozières,"[2.72929, 50.04047]"
11,AWD0003cpx,diary,767,2,1917-04-01 00:00:00 UTC,1 Apr 1917,"","[0.0, 0.0]","",domestic,other,{},2985684,Pozières,"[2.72929, 50.04047]"
12,AWD0003cpx,diary,767,5,1917-04-02 00:00:00 UTC,2 Apr 1917,"","[0.0, 0.0]","",diaryDate,2 Apr 1917,"{""day""=>[""2""], ""month""=>[""Apr""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
15,AWD0003cpx,diary,767,3,1917-04-02 00:00:00 UTC,2 Apr 1917,"","[0.0, 0.0]","",activity,training,{},2985684,Pozières,"[2.72929, 50.04047]"
20,AWD0003cpx,diary,767,5,1917-04-02 00:00:00 UTC,2 Apr 1917,"","[0.0, 0.0]","",weather,cold,{},2985684,Pozières,"[2.72929, 50.04047]"
22,AWD0003cpx,diary,767,6,1917-04-02 00:00:00 UTC,2 Apr 1917,"","[0.0, 0.0]","",domestic,sport,{},2985684,Pozières,"[2.72929, 50.04047]"
23,AWD0003cpx,diary,767,2,1917-04-02 00:00:00 UTC,2 Apr 1917,"","[0.0, 0.0]","",unit,"A Company, B Company","{""name""=>[""A Company"", ""B Company""], ""context""=>[""joined""]}",2985684,Pozières,"[2.72929, 50.04047]"
24,AWD0003cpx,diary,767,4,1917-04-03 00:00:00 UTC,3 Apr 1917,"","[0.0, 0.0]","",diaryDate,3 Apr 1917,"{""day""=>[""3""], ""month""=>[""Apr""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
25,AWD0003cpx,diary,767,5,1917-04-03 00:00:00 UTC,3 Apr 1917,"","[0.0, 0.0]","",weather,cold,{},2985684,Pozières,"[2.72929, 50.04047]"
27,AWD0003cpx,diary,767,2,1917-04-03 00:00:00 UTC,3 Apr 1917,"","[0.0, 0.0]","",domestic,hygiene,{},2985684,Pozières,"[2.72929, 50.04047]"
29,AWD0003cpx,diary,767,6,1917-04-03 00:00:00 UTC,3 Apr 1917,"","[0.0, 0.0]","",weather,rain,{},2985684,Pozières,"[2.72929, 50.04047]"
30,AWD0003cpx,diary,767,3,1917-04-03 00:00:00 UTC,3 Apr 1917,"","[0.0, 0.0]","",weather,cold,{},2985684,Pozières,"[2.72929, 50.04047]"
31,AWD0003cpx,diary,767,5,1917-04-04 00:00:00 UTC,4 Apr 1917,"","[0.0, 0.0]","",diaryDate,4 Apr 1917,"{""day""=>[""4""], ""month""=>[""Apr""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
32,AWD0003cpx,diary,767,6,1917-04-04 00:00:00 UTC,4 Apr 1917,"","[0.0, 0.0]","",activity,training,{},2985684,Pozières,"[2.72929, 50.04047]"
33,AWD0003cpx,diary,767,4,1917-04-05 00:00:00 UTC,5 Apr 1917,"","[0.0, 0.0]","",diaryDate,5 Apr 1917,"{""day""=>[""5""], ""month""=>[""Apr""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
37,AWD0003cpx,diary,767,2,1917-04-05 23:15:00 UTC,5 Apr 1917,"","[0.0, 0.0]",1115PM,time,1115PM,{},2985684,Pozières,"[2.72929, 50.04047]"
