Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0001xaw,diary,297,5,,"",Noeux Les Mines,"[2.66667, 50.48333]","",place,Noeux Les Mines,"{""place""=>[""Noeux Les Mines""], ""location""=>[""true""], ""name""=>[""Nœux-les-Mines""], ""lat""=>[""50.48333""], ""long""=>[""2.66667""], ""id""=>[""2990287""]}",2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
2,AWD0001xaw,diary,297,6,1916-01-01 00:00:00 UTC,1 Jan 1916,Noeux Les Mines,"[2.66667, 50.48333]","",diaryDate,1 Jan 1916,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
3,AWD0001xaw,diary,297,3,1916-01-01 00:00:00 UTC,1 Jan 1916,Noeux Les Mines,"[2.66667, 50.48333]","",casualties,"wounded: 4, sick: 14",{},2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
4,AWD0001xaw,diary,297,6,1916-01-01 09:00:00 UTC,1 Jan 1916,Noeux Les Mines,"[2.66667, 50.48333]",0900AM,time,0900AM,{},2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
9,AWD0001xaw,diary,297,2,1916-01-01 09:00:00 UTC,1 Jan 1916,Noeux Les Mines,"[2.66667, 50.48333]",0900AM,casualties,"wounded: 7, sick: 11",{},2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
13,AWD0001xaw,diary,297,2,1916-01-01 09:00:00 UTC,1 Jan 1916,Noeux Les Mines,"[2.66667, 50.48333]",0900AM,casualties,"wounded: 2, sick: 28",{},2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
15,AWD0001xaw,diary,297,3,1916-01-01 09:00:00 UTC,1 Jan 1916,Noeux Les Mines,"[2.66667, 50.48333]",0900AM,weather,overcast,{},2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
18,AWD0001xaw,diary,297,6,1916-01-02 00:00:00 UTC,2 Jan 1916,Noeux Les Mines,"[2.66667, 50.48333]","",diaryDate,2 Jan 1916,"{""day""=>[""2""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
19,AWD0001xaw,diary,297,6,1916-01-02 09:00:00 UTC,2 Jan 1916,Noeux Les Mines,"[2.66667, 50.48333]",0900AM,time,0900AM,{},2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
20,AWD0001xaw,diary,297,3,1916-01-02 09:00:00 UTC,2 Jan 1916,Noeux Les Mines,"[2.66667, 50.48333]",0900AM,casualties,"wounded: 6, sick: 12",{},2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
24,AWD0001xaw,diary,297,2,1916-01-02 09:00:00 UTC,2 Jan 1916,Noeux Les Mines,"[2.66667, 50.48333]",0900AM,casualties,"wounded: 3, sick: 11",{},2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
27,AWD0001xaw,diary,297,3,1916-01-02 09:00:00 UTC,2 Jan 1916,Noeux Les Mines,"[2.66667, 50.48333]",0900AM,casualties,"wounded: 4, sick: 20",{},2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
30,AWD0001xaw,diary,297,4,1916-01-02 09:00:00 UTC,2 Jan 1916,Noeux Les Mines,"[2.66667, 50.48333]",0900AM,weather,rain,{},2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
