Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003e48,diary,489,5,1918-08-01 00:00:00 UTC,1 Aug 1918,"","[0.0, 0.0]","",diaryDate,1 Aug 1918,"{""day""=>[""1""], ""month""=>[""Aug""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0003e48,diary,489,3,1918-08-01 00:00:00 UTC,1 Aug 1918,"","[0.0, 0.0]","",place,Samer,"{""place""=>[""Samer""], ""location""=>[""false""], ""name""=>[""Samer""], ""lat""=>[""50.6384""], ""long""=>[""1.74628""], ""id""=>[""2976291""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0003e48,diary,489,4,1918-08-01 00:00:00 UTC,1 Aug 1918,Boulogne,"[1.61667, 50.71667]","",place,Boulogne,"{""place""=>[""Boulogne""], ""location""=>[""true""], ""name""=>["""", ""Boulogne-sur-Mer""], ""lat""=>["""", ""50.71667""], ""long""=>["""", ""1.61667""], ""id""=>["""", ""3031133""]}",3031862,Bologne,"[5.14209, 48.20004]"
4,AWD0003e48,diary,489,4,1918-08-01 00:00:00 UTC,1 Aug 1918,Boulogne,"[1.61667, 50.71667]","",activity,movement,{},3031862,Bologne,"[5.14209, 48.20004]"
5,AWD0003e48,diary,489,3,1918-08-01 00:00:00 UTC,1 Aug 1918,Boulogne,"[1.61667, 50.71667]","",place,Boulogne,"{""place""=>[""Boulogne""], ""location""=>[""false""], ""name""=>[""Boulogne-sur-Mer""], ""lat""=>[""50.71667""], ""long""=>[""1.61667""], ""id""=>[""3031133""]}",3031862,Bologne,"[5.14209, 48.20004]"
7,AWD0003e48,diary,489,3,1918-08-01 00:00:00 UTC,1 Aug 1918,Boulogne,"[1.61667, 50.71667]","",place,Menneville,"{""place""=>[""Menneville""], ""location""=>[""false""], ""name""=>[""Menneville""], ""lat""=>[""50.67857""], ""long""=>[""1.86584""], ""id""=>[""2994527""]}",3031862,Bologne,"[5.14209, 48.20004]"
10,AWD0003e48,diary,489,3,1918-08-01 00:00:00 UTC,1 Aug 1918,Boulogne,"[1.61667, 50.71667]","",domestic,accomodation,{},3031862,Bologne,"[5.14209, 48.20004]"
13,AWD0003e48,diary,489,4,1918-08-02 00:00:00 UTC,2 Aug 1918,Boulogne,"[1.61667, 50.71667]","",diaryDate,2 Aug 1918,"{""day""=>[""2""], ""month""=>[""Aug""], ""year""=>[""1918""]}",3031862,Bologne,"[5.14209, 48.20004]"
14,AWD0003e48,diary,489,3,1918-08-02 00:00:00 UTC,2 Aug 1918,Boulogne,"[1.61667, 50.71667]","",domestic,hygiene,{},3031862,Bologne,"[5.14209, 48.20004]"
15,AWD0003e48,diary,489,2,1918-08-02 00:00:00 UTC,2 Aug 1918,BOULOGNE,"[1.61667, 50.71667]","",place,BOULOGNE,"{""place""=>[""BOULOGNE""], ""location""=>[""true""], ""name""=>[""Boulogne-sur-Mer""], ""lat""=>[""50.71667""], ""long""=>[""1.61667""], ""id""=>[""3031133""]}",3031862,Bologne,"[5.14209, 48.20004]"
