Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD00044sc,diary,4,4,1915-06-03 00:00:00 UTC,3 Jun 1915,"","[0.0, 0.0]","",diaryDate,3 Jun 1915,"{""day""=>[""3""], ""month""=>[""Jun""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD00044sc,diary,4,2,1915-06-03 00:00:00 UTC,3 Jun 1915,"ypres, YPRES","[2.88569, 50.85114]","",place,"ypres, YPRES","{""place""=>[""ypres"", ""YPRES""], ""location""=>[""true""], ""name""=>["""", ""Ieper""], ""lat""=>["""", ""50.85114""], ""long""=>["""", ""2.88569""], ""id""=>["""", ""2795100""]}",2795100,Ieper,"[2.88569, 50.85114]"
5,AWD00044sc,diary,4,2,1915-06-03 00:00:00 UTC,3 Jun 1915,"ypres, YPRES","[2.88569, 50.85114]","",activity,reconnoitered,{},2795100,Ieper,"[2.88569, 50.85114]"
6,AWD00044sc,diary,4,4,1915-06-05 00:00:00 UTC,5 Jun 1915,"ypres, YPRES","[2.88569, 50.85114]","",diaryDate,5 Jun 1915,"{""day""=>[""5""], ""month""=>[""Jun""], ""year""=>[""1915""]}",2795100,Ieper,"[2.88569, 50.85114]"
8,AWD00044sc,diary,4,4,1915-06-07 00:00:00 UTC,7 Jun 1915,"ypres, YPRES","[2.88569, 50.85114]","",diaryDate,7 Jun 1915,"{""day""=>[""7""], ""month""=>[""Jun""], ""year""=>[""1915""]}",2795100,Ieper,"[2.88569, 50.85114]"
9,AWD00044sc,diary,4,4,1915-06-07 00:00:00 UTC,7 Jun 1915,"ypres, YPRES","[2.88569, 50.85114]","",activity,attack,{},2795100,Ieper,"[2.88569, 50.85114]"
10,AWD00044sc,diary,4,4,1915-06-08 00:00:00 UTC,8 Jun 1915,"ypres, YPRES","[2.88569, 50.85114]","",diaryDate,8 Jun 1915,"{""day""=>[""8""], ""month""=>[""Jun""], ""year""=>[""1915""]}",2795100,Ieper,"[2.88569, 50.85114]"
11,AWD00044sc,diary,4,3,1915-06-08 00:00:00 UTC,8 Jun 1915,"ypres, YPRES","[2.88569, 50.85114]","",activity,attack,{},2795100,Ieper,"[2.88569, 50.85114]"
12,AWD00044sc,diary,4,4,1915-06-09 00:00:00 UTC,9 Jun 1915,"ypres, YPRES","[2.88569, 50.85114]","",diaryDate,9 Jun 1915,"{""day""=>[""9""], ""month""=>[""Jun""], ""year""=>[""1915""]}",2795100,Ieper,"[2.88569, 50.85114]"
14,AWD00044sc,diary,4,4,1915-06-10 00:00:00 UTC,10 Jun 1915,"ypres, YPRES","[2.88569, 50.85114]","",diaryDate,10 Jun 1915,"{""day""=>[""10""], ""month""=>[""Jun""], ""year""=>[""1915""]}",2795100,Ieper,"[2.88569, 50.85114]"
15,AWD00044sc,diary,4,4,1915-06-10 00:00:00 UTC,10 Jun 1915,"ypres, YPRES","[2.88569, 50.85114]","",activity,attack,{},2795100,Ieper,"[2.88569, 50.85114]"
17,AWD00044sc,diary,4,4,1915-06-11 00:00:00 UTC,11 Jun 1915,"ypres, YPRES","[2.88569, 50.85114]","",diaryDate,11 Jun 1915,"{""day""=>[""11""], ""month""=>[""Jun""], ""year""=>[""1915""]}",2795100,Ieper,"[2.88569, 50.85114]"
2,AWD00044r7,diary,5,2,1915-06-11 00:00:00 UTC,11 Jun 1915,"ypres, YPRES","[2.88569, 50.85114]","",activity,withdraw,{},2795100,Ieper,"[2.88569, 50.85114]"
4,AWD00044r7,diary,5,4,1915-06-12 00:00:00 UTC,12 Jun 1915,"ypres, YPRES","[2.88569, 50.85114]","",diaryDate,12 Jun 1915,"{""day""=>[""12""], ""month""=>[""Jun""], ""year""=>[""1915""]}",2795100,Ieper,"[2.88569, 50.85114]"
6,AWD00044r7,diary,5,2,1915-06-12 00:00:00 UTC,12 Jun 1915,"ypres, YPRES","[2.88569, 50.85114]","",activity,attack,{},2795100,Ieper,"[2.88569, 50.85114]"
7,AWD00044r7,diary,5,5,1915-06-12 00:00:00 UTC,12 Jun 1915,hooge,"[8.54425, 54.56889]","",place,hooge,"{""place""=>[""hooge""], ""location""=>[""true""], ""name""=>[""Hooge""], ""lat""=>[""54.56889""], ""long""=>[""8.54425""], ""id""=>[""2899294""]}",2795611,Hoge,"[2.92377, 50.83747]"
8,AWD00044r7,diary,5,5,1915-06-13 00:00:00 UTC,13 Jun 1915,hooge,"[8.54425, 54.56889]","",diaryDate,13 Jun 1915,"{""day""=>[""13""], ""month""=>[""Jun""], ""year""=>[""1915""]}",2795611,Hoge,"[2.92377, 50.83747]"
9,AWD00044r7,diary,5,2,1915-06-13 00:00:00 UTC,13 Jun 1915,hooge,"[8.54425, 54.56889]","",activity,fire,{},2795611,Hoge,"[2.92377, 50.83747]"
10,AWD00044r7,diary,5,4,1915-06-13 00:00:00 UTC,13 Jun 1915,hooge,"[8.54425, 54.56889]","",activity,attack,{},2795611,Hoge,"[2.92377, 50.83747]"
12,AWD00044r7,diary,5,5,1915-06-14 00:00:00 UTC,14 Jun 1915,hooge,"[8.54425, 54.56889]","",diaryDate,14 Jun 1915,"{""day""=>[""14""], ""month""=>[""Jun""], ""year""=>[""1915""]}",2795611,Hoge,"[2.92377, 50.83747]"
14,AWD00044r7,diary,5,3,1915-06-14 00:00:00 UTC,14 Jun 1915,hooge,"[8.54425, 54.56889]","",activity,reconnoitered,{},2795611,Hoge,"[2.92377, 50.83747]"
15,AWD00044r7,diary,5,4,1915-06-15 00:00:00 UTC,15 Jun 1915,hooge,"[8.54425, 54.56889]","",diaryDate,15 Jun 1915,"{""day""=>[""15""], ""month""=>[""Jun""], ""year""=>[""1915""]}",2795611,Hoge,"[2.92377, 50.83747]"
17,AWD00044r7,diary,5,5,1915-06-16 00:00:00 UTC,16 Jun 1915,hooge,"[8.54425, 54.56889]","",diaryDate,16 Jun 1915,"{""day""=>[""16""], ""month""=>[""Jun""], ""year""=>[""1915""]}",2795611,Hoge,"[2.92377, 50.83747]"
18,AWD00044r7,diary,5,4,1915-06-16 00:00:00 UTC,16 Jun 1915,hooge,"[8.54425, 54.56889]","",activity,attack,{},2795611,Hoge,"[2.92377, 50.83747]"
19,AWD00044r7,diary,5,5,1915-06-17 00:00:00 UTC,17 Jun 1915,hooge,"[8.54425, 54.56889]","",diaryDate,17 Jun 1915,"{""day""=>[""17""], ""month""=>[""Jun""], ""year""=>[""1915""]}",2795611,Hoge,"[2.92377, 50.83747]"
21,AWD00044r7,diary,5,3,1915-06-17 00:00:00 UTC,17 Jun 1915,hooge,"[8.54425, 54.56889]","",activity,attack,{},2795611,Hoge,"[2.92377, 50.83747]"
22,AWD00044r7,diary,5,6,1915-06-18 00:00:00 UTC,18 Jun 1915,hooge,"[8.54425, 54.56889]","",diaryDate,18 Jun 1915,"{""day""=>[""18""], ""month""=>[""Jun""], ""year""=>[""1915""]}",2795611,Hoge,"[2.92377, 50.83747]"
23,AWD00044r7,diary,5,2,1915-06-18 00:00:00 UTC,18 Jun 1915,hooge,"[8.54425, 54.56889]","",activity,withdraw,{},2795611,Hoge,"[2.92377, 50.83747]"
24,AWD00044r7,diary,5,2,1915-06-18 00:00:00 UTC,18 Jun 1915,hooge,"[8.54425, 54.56889]","",activity,movement,{},2795611,Hoge,"[2.92377, 50.83747]"
25,AWD00044r7,diary,5,2,1915-06-18 00:00:00 UTC,18 Jun 1915,hooge,"[8.54425, 54.56889]","",activity,resting,{},2795611,Hoge,"[2.92377, 50.83747]"
26,AWD00044r7,diary,5,4,1915-06-19 00:00:00 UTC,19 Jun 1915,hooge,"[8.54425, 54.56889]","",diaryDate,19 Jun 1915,"{""day""=>[""19""], ""month""=>[""Jun""], ""year""=>[""1915""]}",2795611,Hoge,"[2.92377, 50.83747]"
27,AWD00044r7,diary,5,4,1915-06-19 00:00:00 UTC,19 Jun 1915,hooge,"[8.54425, 54.56889]","",activity,resting,{},2795611,Hoge,"[2.92377, 50.83747]"
28,AWD00044r7,diary,5,5,1915-06-30 00:00:00 UTC,30 Jun 1915,hooge,"[8.54425, 54.56889]","",diaryDate,30 Jun 1915,"{""day""=>[""30""], ""month""=>[""Jun""], ""year""=>[""1915""]}",2795611,Hoge,"[2.92377, 50.83747]"
29,AWD00044r7,diary,5,2,1915-06-30 00:00:00 UTC,30 Jun 1915,hooge,"[8.54425, 54.56889]","",person,Captain J Watson,"{""first""=>[""J""], ""surname""=>[""Watson""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""author"", ""commander""], ""unit""=>[""""]}",2795611,Hoge,"[2.92377, 50.83747]"
1,AWD00044rq,diary,6,5,1915-07-06 00:00:00 UTC,6 Jul 1915,hooge,"[8.54425, 54.56889]","",diaryDate,6 Jul 1915,"{""day""=>[""6""], ""month""=>[""Jul""], ""year""=>[""1915""]}",2795611,Hoge,"[2.92377, 50.83747]"
3,AWD00044rq,diary,6,5,1915-07-06 00:00:00 UTC,6 Jul 1915,Kemmel,"[2.82714, 50.78333]","",place,Kemmel,"{""place""=>[""Kemmel""], ""location""=>[""true""], ""name""=>[""Kemmel""], ""lat""=>[""50.78333""], ""long""=>[""2.82714""], ""id""=>[""2794579""]}",2967492,Wallon-Cappel,"[2.4741, 50.7268]"
7,AWD00044rq,diary,6,5,1915-07-08 00:00:00 UTC,8 Jul 1915,Kemmel,"[2.82714, 50.78333]","",diaryDate,8 Jul 1915,"{""day""=>[""8""], ""month""=>[""Jul""], ""year""=>[""1915""]}",2967492,Wallon-Cappel,"[2.4741, 50.7268]"
