Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0002xs4,diary,562,5,1914-08-09 00:00:00 UTC,9 Aug 1914,"","[0.0, 0.0]","",diaryDate,9 Aug 1914,"{""day""=>[""9""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0002xs4,diary,562,4,1914-08-09 06:00:00 UTC,9 Aug 1914,"","[0.0, 0.0]",0600AM,time,0600AM,{},2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0002xs4,diary,562,2,1914-08-09 06:00:00 UTC,9 Aug 1914,"","[0.0, 0.0]",0600AM,activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0002xs4,diary,562,2,1914-08-09 06:00:00 UTC,9 Aug 1914,"DehraDun, Dehra Dun","[0.0, 0.0]",0600AM,place,"DehraDun, Dehra Dun","{""place""=>[""DehraDun"", ""Dehra Dun""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
5,AWD0002xs4,diary,562,5,1914-08-31 00:00:00 UTC,31 Aug 1914,"DehraDun, Dehra Dun","[0.0, 0.0]","",diaryDate,31 Aug 1914,"{""day""=>[""31""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
6,AWD0002xs4,diary,562,4,1914-08-31 09:00:00 UTC,31 Aug 1914,"DehraDun, Dehra Dun","[0.0, 0.0]",0900AM,time,0900AM,{},,,
7,AWD0002xs4,diary,562,5,1914-09-01 00:00:00 UTC,1 Sep 1914,"DehraDun, Dehra Dun","[0.0, 0.0]","",diaryDate,1 Sep 1914,"{""day""=>[""1""], ""month""=>[""Sep""], ""year""=>[""1914""]}",,,
8,AWD0002xs4,diary,562,4,1914-09-01 00:00:00 UTC,1 Sep 1914,"DehraDun, Dehra Dun","[0.0, 0.0]","",activity,movement,{},,,
10,AWD0002xs4,diary,562,2,1914-09-01 09:35:00 UTC,1 Sep 1914,"DehraDun, Dehra Dun","[0.0, 0.0]",0935AM,time,0935AM,{},,,
11,AWD0002xs4,diary,562,2,1914-09-01 14:45:00 UTC,1 Sep 1914,"DehraDun, Dehra Dun","[0.0, 0.0]",0245PM,time,0245PM,{},,,
13,AWD0002xs4,diary,562,5,1914-09-01 14:45:00 UTC,1 Sep 1914,Lakhsar,"[0.0, 0.0]",0245PM,place,Lakhsar,"{""place""=>[""Lakhsar""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
14,AWD0002xs4,diary,562,5,1914-09-04 00:00:00 UTC,4 Sep 1914,Lakhsar,"[0.0, 0.0]","",diaryDate,4 Sep 1914,"{""day""=>[""4""], ""month""=>[""Sep""], ""year""=>[""1914""]}",,,
15,AWD0002xs4,diary,562,4,1914-09-04 09:15:00 UTC,4 Sep 1914,Lakhsar,"[0.0, 0.0]",0915AM,time,0915AM,{},,,
16,AWD0002xs4,diary,562,4,1914-09-04 09:15:00 UTC,4 Sep 1914,Bombay,"[0.0, 0.0]",0915AM,place,Bombay,"{""place""=>[""Bombay""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2795100,"Ieper,","[2.88569, 50.85114]"
18,AWD0002xs4,diary,562,2,1914-09-04 09:15:00 UTC,4 Sep 1914,Bombay,"[0.0, 0.0]",0915AM,place,"Alexandra Docks Bombay, Alexandra Docks, Bombay","{""place""=>[""Alexandra Docks Bombay"", ""Alexandra Docks, Bombay""], ""location""=>[""true"", ""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2795100,"Ieper,","[2.88569, 50.85114]"
20,AWD0002xs4,diary,562,4,1914-09-04 09:15:00 UTC,4 Sep 1914,Bombay,"[0.0, 0.0]",0915AM,domestic,accomodation,{},2795100,"Ieper,","[2.88569, 50.85114]"
21,AWD0002xs4,diary,562,3,1914-09-04 09:15:00 UTC,4 Sep 1914,Carnac Bandar,"[0.0, 0.0]",0915AM,place,Carnac Bandar,"{""place""=>[""Carnac Bandar""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
23,AWD0002xs4,diary,562,2,1914-09-14 00:00:00 UTC,14 Sep 1914,Carnac Bandar,"[0.0, 0.0]","",diaryDate,14 Sep 1914,"{""day""=>[""14""], ""month""=>[""Sep""], ""year""=>[""1914""]}",,,
24,AWD0002xs4,diary,562,4,1914-09-14 09:00:00 UTC,14 Sep 1914,Carnac Bandar,"[0.0, 0.0]",0900AM,time,0900AM,{},,,
25,AWD0002xs4,diary,562,3,1914-09-14 09:00:00 UTC,14 Sep 1914,Carnac Bandar,"[0.0, 0.0]",0900AM,activity,movement,{},,,
26,AWD0002xs4,diary,562,3,1914-09-14 00:00:00 UTC,14 Sep 1914,Carnac Bandar,"[0.0, 0.0]","",diaryDate,14 Sep 1914,"{""day""=>[""14""], ""month""=>[""Sep""], ""year""=>[""1914""]}",,,
27,AWD0002xs4,diary,562,2,1914-09-14 00:00:00 UTC,14 Sep 1914,Carnac Bandar,"[0.0, 0.0]","",unit,"SS Angora, SS Angorra","{""name""=>[""SS Angora"", ""SS Angorra""], ""context""=>[""joined"", ""other""]}",,,
28,AWD0002xs4,diary,562,2,1914-09-14 00:00:00 UTC,14 Sep 1914,Carnac Bandar,"[0.0, 0.0]","",unit,SS Arancola,"{""name""=>[""SS Arancola""], ""context""=>[""joined"", ""other""]}",,,
29,AWD0002xs4,diary,562,5,1914-09-16 00:00:00 UTC,16 Sep 1914,Carnac Bandar,"[0.0, 0.0]","",diaryDate,16 Sep 1914,"{""day""=>[""16""], ""month""=>[""Sep""], ""year""=>[""1914""]}",,,
30,AWD0002xs4,diary,562,4,1914-09-16 11:00:00 UTC,16 Sep 1914,Carnac Bandar,"[0.0, 0.0]",1100AM,time,1100AM,{},,,
31,AWD0002xs4,diary,562,4,1914-09-16 11:00:00 UTC,16 Sep 1914,Carnac Bandar,"[0.0, 0.0]",1100AM,activity,movement,{},,,
32,AWD0002xs4,diary,562,5,1914-09-20 00:00:00 UTC,20 Sep 1914,Carnac Bandar,"[0.0, 0.0]","",diaryDate,20 Sep 1914,"{""day""=>[""20""], ""month""=>[""Sep""], ""year""=>[""1914""]}",,,
33,AWD0002xs4,diary,562,3,1914-09-20 12:00:00 UTC,20 Sep 1914,Carnac Bandar,"[0.0, 0.0]",1200PM,time,1200PM,{},,,
38,AWD0002xs4,diary,562,2,1914-09-20 12:00:00 UTC,20 Sep 1914,Carnac Bandar,"[0.0, 0.0]",1200PM,unit,HMS Fox,"{""name""=>[""HMS Fox""], ""context""=>[""other"", ""joined""]}",,,
40,AWD0002xs4,diary,562,2,1914-09-20 12:00:00 UTC,20 Sep 1914,Carnac Bandar,"[0.0, 0.0]",1200PM,unit,RIMS Dufferin,"{""name""=>[""RIMS Dufferin""], ""context""=>[""other"", ""joined""]}",,,
41,AWD0002xs4,diary,562,5,1914-09-23 00:00:00 UTC,23 Sep 1914,Carnac Bandar,"[0.0, 0.0]","",diaryDate,23 Sep 1914,"{""day""=>[""23""], ""month""=>[""Sep""], ""year""=>[""1914""]}",,,
42,AWD0002xs4,diary,562,4,1914-09-23 00:00:00 UTC,23 Sep 1914,Carnac Bandar,"[0.0, 0.0]","",place,Karachi,"{""place""=>[""Karachi""], ""location""=>[""false"", ""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
43,AWD0002xs4,diary,562,2,1914-09-23 00:00:00 UTC,23 Sep 1914,Carnac Bandar,"[0.0, 0.0]","",unit,HMS Dartmouth,"{""name""=>[""HMS Dartmouth""], ""context""=>[""other"", ""joined""]}",,,
44,AWD0002xs4,diary,562,2,1914-09-23 00:00:00 UTC,23 Sep 1914,Carnac Bandar,"[0.0, 0.0]","",unit,RIMS Harding,"{""name""=>[""RIMS Harding""], ""context""=>[""joined"", ""other""]}",,,
45,AWD0002xs4,diary,562,2,1914-09-23 00:00:00 UTC,23 Sep 1914,Carnac Bandar,"[0.0, 0.0]","",place,"B.E. AFRICA, B. E. Africa","{""place""=>[""B.E. AFRICA"", ""B. E. Africa""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
1,AWD0002xvc,diary,563,5,1914-09-26 00:00:00 UTC,26 Sep 1914,Carnac Bandar,"[0.0, 0.0]","",diaryDate,26 Sep 1914,"{""day""=>[""26""], ""month""=>[""Sep""], ""year""=>[""1914""]}",,,
3,AWD0002xvc,diary,563,2,1914-09-26 00:00:00 UTC,26 Sep 1914,Carnac Bandar,"[0.0, 0.0]","",casualties,non_combat: 1,{},,,
5,AWD0002xvc,diary,563,3,1914-09-26 00:00:00 UTC,26 Sep 1914,Aden,"[0.0, 0.0]","",place,Aden,"{""place""=>[""Aden""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
6,AWD0002xvc,diary,563,4,1914-09-27 00:00:00 UTC,27 Sep 1914,Aden,"[0.0, 0.0]","",diaryDate,27 Sep 1914,"{""day""=>[""27""], ""month""=>[""Sep""], ""year""=>[""1914""]}",,,
7,AWD0002xvc,diary,563,4,1914-09-27 23:00:00 UTC,27 Sep 1914,Aden,"[0.0, 0.0]",1100PM,time,1100PM,{},,,
8,AWD0002xvc,diary,563,4,1914-09-27 23:00:00 UTC,27 Sep 1914,Aden,"[0.0, 0.0]",1100PM,activity,movement,{},,,
9,AWD0002xvc,diary,563,5,1914-09-28 00:00:00 UTC,28 Sep 1914,Aden,"[0.0, 0.0]","",diaryDate,28 Sep 1914,"{""day""=>[""28""], ""month""=>[""Sep""], ""year""=>[""1914""]}",,,
10,AWD0002xvc,diary,563,4,1914-09-28 09:00:00 UTC,28 Sep 1914,Aden,"[0.0, 0.0]",0900AM,time,0900AM,{},,,
11,AWD0002xvc,diary,563,4,1914-09-28 09:00:00 UTC,28 Sep 1914,Aden,"[0.0, 0.0]",0900AM,place,Perim Island,"{""place""=>[""Perim Island""], ""location""=>[""false"", ""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
12,AWD0002xvc,diary,563,5,1914-09-29 00:00:00 UTC,29 Sep 1914,Aden,"[0.0, 0.0]","",diaryDate,29 Sep 1914,"{""day""=>[""29""], ""month""=>[""Sep""], ""year""=>[""1914""]}",,,
13,AWD0002xvc,diary,563,4,1914-09-29 21:00:00 UTC,29 Sep 1914,Aden,"[0.0, 0.0]",0900PM,time,0900PM,{},,,
14,AWD0002xvc,diary,563,4,1914-10-02 00:00:00 UTC,2 Oct 1914,Aden,"[0.0, 0.0]","",diaryDate,2 Oct 1914,"{""day""=>[""2""], ""month""=>[""Oct""], ""year""=>[""1914""]}",,,
15,AWD0002xvc,diary,563,3,1914-10-02 00:00:00 UTC,2 Oct 1914,Aden,"[0.0, 0.0]","",activity,movement,{},,,
16,AWD0002xvc,diary,563,6,1914-10-02 00:00:00 UTC,2 Oct 1914,Aden,"[0.0, 0.0]","",place,Suez,"{""place""=>[""Suez""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
17,AWD0002xvc,diary,563,4,1914-10-02 17:30:00 UTC,2 Oct 1914,Aden,"[0.0, 0.0]",0530PM,time,0530PM,{},,,
18,AWD0002xvc,diary,563,2,1914-10-02 00:00:00 UTC,2 Oct 1914,Aden,"[0.0, 0.0]","",diaryDate,2 Oct 1914,"{""day""=>[""2""], ""month""=>[""Oct""], ""year""=>[""1914""]}",,,
19,AWD0002xvc,diary,563,2,1914-10-02 00:00:00 UTC,2 Oct 1914,Aden,"[0.0, 0.0]","",place,Suez,"{""place""=>[""Suez""], ""location""=>[""true"", ""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
