Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003wd0,diary,3,5,1915-09-01 00:00:00 UTC,1 Sep 1915,"","[0.0, 0.0]","",diaryDate,1 Sep 1915,"{""day""=>[""1""], ""month""=>[""Sep""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0003wd0,diary,3,4,1915-09-01 00:00:00 UTC,1 Sep 1915,"Etinehem, Etinehen","[0.0, 0.0]","",place,"Etinehem, Etinehen","{""place""=>[""Etinehem"", ""Etinehen""], ""location""=>[""true""], ""name""=>[""Étinehem"", ""Aldershot""], ""lat""=>[""49.92841"", ""51.24827""], ""long""=>[""2.69048"", ""-0.76389""], ""id""=>[""3019407"", ""2657540""]}",,,
6,AWD0003wd0,diary,3,4,1915-09-02 00:00:00 UTC,2 Sep 1915,"Etinehem, Etinehen","[0.0, 0.0]","",diaryDate,2 Sep 1915,"{""day""=>[""2""], ""month""=>[""Sep""], ""year""=>[""1915""]}",,,
8,AWD0003wd0,diary,3,4,1915-09-02 00:00:00 UTC,2 Sep 1915,"Etinehen, Etinehem","[0.0, 0.0]","",place,"Etinehen, Etinehem","{""place""=>[""Etinehen"", ""Etinehem""], ""location""=>[""true""], ""name""=>[""Aldershot"", ""Étinehem""], ""lat""=>[""51.24827"", ""49.92841""], ""long""=>[""-0.76389"", ""2.69048""], ""id""=>[""2657540"", ""3019407""]}",3019407,Étinehem,"[2.69048, 49.92841]"
1,AWD0003sdl,diary,4,2,1915-09-02 00:00:00 UTC,2 Sep 1915,"Etinehen, Etinehem","[0.0, 0.0]","",diaryDate,2 Sep 1915,"{""day""=>[""2""], ""month""=>[""Sep""], ""year""=>[""1915""]}",3019407,Étinehem,"[2.69048, 49.92841]"
2,AWD0003sdl,diary,4,2,1915-09-21 00:00:00 UTC,21 Sep 1915,"Etinehen, Etinehem","[0.0, 0.0]","",diaryDate,21 Sep 1915,"{""day""=>[""21""], ""month""=>[""Sep""], ""year""=>[""1915""]}",3019407,Étinehem,"[2.69048, 49.92841]"
6,AWD0003sdl,diary,4,5,1915-09-21 00:00:00 UTC,21 Sep 1915,"Etinehem, etinehem, Tinehem, Etinehen, Etinihem","[0.0, 0.0]","",place,"Etinehem, etinehem, Tinehem, Etinehen, Etinihem","{""place""=>[""Etinehem"", ""etinehem"", ""Tinehem"", ""Etinehen"", ""Etinihem""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
19,AWD0003sdl,diary,4,2,1915-09-21 00:00:00 UTC,21 Sep 1915,"Etinehem, etinehem, Tinehem, Etinehen, Etinihem","[0.0, 0.0]","",place,Bray,"{""place""=>[""Bray""], ""location""=>[""false""], ""name""=>[""Bray""], ""lat""=>[""49.10677""], ""long""=>[""0.84266""], ""id""=>[""3030479""]}",,,
20,AWD0003sdl,diary,4,2,1915-09-21 00:00:00 UTC,21 Sep 1915,"Etinehem, etinehem, Tinehem, Etinehen, Etinihem","[0.0, 0.0]","",place,"Morlancourt, Norlan Court","{""place""=>[""Morlancourt"", ""Norlan Court""], ""location""=>[""false"", ""true""], ""name""=>[""Morlancourt"", """"], ""lat""=>[""49.95113"", """"], ""long""=>[""2.6304"", """"], ""id""=>[""2991769"", """"]}",,,
1,AWD0003saw,diary,5,5,1915-09-02 00:00:00 UTC,2 Sep 1915,"Etinehem, etinehem, Tinehem, Etinehen, Etinihem","[0.0, 0.0]","",diaryDate,2 Sep 1915,"{""day""=>[""2""], ""month""=>[""Sep""], ""year""=>[""1915""]}",,,
