Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0001ge2,diary,3,5,1914-12-21 00:00:00 UTC,21 Dec 1914,"","[0.0, 0.0]","",diaryDate,21 Dec 1914,"{""day""=>[""21""], ""month""=>[""Dec""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0001ge2,diary,3,2,1914-12-21 00:00:00 UTC,21 Dec 1914,"","[0.0, 0.0]","",activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0001ge2,diary,3,4,1914-12-21 00:00:00 UTC,21 Dec 1914,"","[0.0, 0.0]","",place,Canterbury,"{""place""=>[""Canterbury""], ""location""=>[""false"", ""true""], ""name""=>[""Canterbury""], ""lat""=>[""51.27904""], ""long""=>[""1.07992""], ""id""=>[""2653877""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0001ge2,diary,3,2,1914-12-21 07:30:00 UTC,21 Dec 1914,"","[0.0, 0.0]",0730AM,time,0730AM,{},2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0001ge2,diary,3,2,1914-12-21 07:30:00 UTC,21 Dec 1914,"","[0.0, 0.0]",0730AM,activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
6,AWD0001ge2,diary,3,5,1914-12-21 07:30:00 UTC,21 Dec 1914,Southampton,"[-1.40428, 50.90395]",0730AM,place,Southampton,"{""place""=>[""Southampton""], ""location""=>[""true""], ""name""=>[""Southampton""], ""lat""=>[""50.90395""], ""long""=>[""-1.40428""], ""id""=>[""2637487""]}",2637487,Southampton,"[-1.40428, 50.90395]"
7,AWD0001ge2,diary,3,2,1914-12-21 13:00:00 UTC,21 Dec 1914,Southampton,"[-1.40428, 50.90395]",0100PM,time,0100PM,{},2637487,Southampton,"[-1.40428, 50.90395]"
9,AWD0001ge2,diary,3,2,1914-12-21 13:00:00 UTC,21 Dec 1914,Southampton,"[-1.40428, 50.90395]",0100PM,domestic,inspections,{},2637487,Southampton,"[-1.40428, 50.90395]"
11,AWD0001ge2,diary,3,3,1914-12-21 13:00:00 UTC,21 Dec 1914,Southampton,"[-1.40428, 50.90395]",0100PM,activity,movement,{},2637487,Southampton,"[-1.40428, 50.90395]"
14,AWD0001ge2,diary,3,5,1914-12-22 00:00:00 UTC,22 Dec 1914,Southampton,"[-1.40428, 50.90395]","",diaryDate,22 Dec 1914,"{""day""=>[""22""], ""month""=>[""Dec""], ""year""=>[""1914""]}",2637487,Southampton,"[-1.40428, 50.90395]"
