Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0002apj,diary,111,3,1916-01-01 00:00:00 UTC,1 Jan 1916,"","[0.0, 0.0]","",diaryDate,1 Jan 1916,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0002apj,diary,111,6,1916-01-01 00:00:00 UTC,1 Jan 1916,Poperinche,"[0.0, 0.0]","",place,Poperinche,"{""place""=>[""Poperinche""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2788726,Poperinge,"[2.72659, 50.85386]"
4,AWD0002apj,diary,111,4,1916-01-01 00:00:00 UTC,1 Jan 1916,Poperinche,"[0.0, 0.0]","",domestic,accomodation,{},2788726,Poperinge,"[2.72659, 50.85386]"
5,AWD0002apj,diary,111,5,1916-01-01 00:00:00 UTC,1 Jan 1916,Poperinche,"[0.0, 0.0]","",activity,training,{},2788726,Poperinge,"[2.72659, 50.85386]"
6,AWD0002apj,diary,111,4,1916-01-01 00:00:00 UTC,1 Jan 1916,Poperinche,"[0.0, 0.0]","",diaryDate,1 Jan 1916,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2788726,Poperinge,"[2.72659, 50.85386]"
7,AWD0002apj,diary,111,7,1916-01-01 00:00:00 UTC,1 Jan 1916,Poperinche,"[0.0, 0.0]","",weather,rain,{},2788726,Poperinge,"[2.72659, 50.85386]"
8,AWD0002apj,diary,111,7,1916-01-02 00:00:00 UTC,2 Jan 1916,Poperinche,"[0.0, 0.0]","",diaryDate,2 Jan 1916,"{""day""=>[""2""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2788726,Poperinge,"[2.72659, 50.85386]"
9,AWD0002apj,diary,111,6,1916-01-02 00:00:00 UTC,2 Jan 1916,Poperinche,"[0.0, 0.0]","",activity,training,{},2788726,Poperinge,"[2.72659, 50.85386]"
10,AWD0002apj,diary,111,7,1916-01-03 00:00:00 UTC,3 Jan 1916,Poperinche,"[0.0, 0.0]","",diaryDate,3 Jan 1916,"{""day""=>[""3""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2788726,Poperinge,"[2.72659, 50.85386]"
11,AWD0002apj,diary,111,3,1916-01-03 00:00:00 UTC,3 Jan 1916,Poperinche,"[0.0, 0.0]","",activity,quiet,{},2788726,Poperinge,"[2.72659, 50.85386]"
12,AWD0002apj,diary,111,6,1916-01-03 00:00:00 UTC,3 Jan 1916,Poperinche,"[0.0, 0.0]","",activity,training,{},2788726,Poperinge,"[2.72659, 50.85386]"
13,AWD0002apj,diary,111,3,1916-01-03 00:00:00 UTC,3 Jan 1916,Poperinche,"[0.0, 0.0]","",unit,8th Brigade,"{""name""=>[""8th Brigade""], ""context""=>[""relieved""]}",2788726,Poperinge,"[2.72659, 50.85386]"
16,AWD0002apj,diary,111,5,1916-01-04 00:00:00 UTC,4 Jan 1916,Poperinche,"[0.0, 0.0]","",diaryDate,4 Jan 1916,"{""day""=>[""4""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2788726,Poperinge,"[2.72659, 50.85386]"
18,AWD0002apj,diary,111,7,1916-01-04 00:00:00 UTC,4 Jan 1916,St Eloi,"[0.0, 0.0]","",place,St Eloi,"{""place""=>[""St Eloi""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",8291011,Bureau de Poste de Bezu St Eloi,"[1.7125, 49.2902]"
20,AWD0002apj,diary,111,4,1916-01-04 00:00:00 UTC,4 Jan 1916,St Eloi,"[0.0, 0.0]","",unit,2nd Bn Royal Scots,"{""name""=>[""2nd Bn Royal Scots""], ""context""=>[""relieved""]}",8291011,Bureau de Poste de Bezu St Eloi,"[1.7125, 49.2902]"
21,AWD0002apj,diary,111,2,1916-01-04 00:00:00 UTC,4 Jan 1916,St Eloi,"[0.0, 0.0]","",unit,2nd Battalion Royal Scots,"{""name""=>[""2nd Battalion Royal Scots""], ""context""=>[""relieved""]}",8291011,Bureau de Poste de Bezu St Eloi,"[1.7125, 49.2902]"
22,AWD0002apj,diary,111,7,1916-01-04 00:00:00 UTC,4 Jan 1916,St Eloi,"[0.0, 0.0]","",person,Second Lieutenant  Dunwell,"{""first""=>[""""], ""surname""=>[""Dunwell""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""casualty_kia""], ""unit""=>[""""]}",8291011,Bureau de Poste de Bezu St Eloi,"[1.7125, 49.2902]"
23,AWD0002apj,diary,111,7,1916-01-04 00:00:00 UTC,4 Jan 1916,St Eloi,"[0.0, 0.0]","",person,Second Lieutenant  Mount,"{""first""=>[""""], ""surname""=>[""Mount""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""casualty_kia""], ""unit""=>[""""]}",8291011,Bureau de Poste de Bezu St Eloi,"[1.7125, 49.2902]"
24,AWD0002apj,diary,111,3,1916-01-04 00:00:00 UTC,4 Jan 1916,St Eloi,"[0.0, 0.0]","",casualties,killed: 2,{},8291011,Bureau de Poste de Bezu St Eloi,"[1.7125, 49.2902]"
28,AWD0002apj,diary,111,6,1916-01-05 00:00:00 UTC,5 Jan 1916,St Eloi,"[0.0, 0.0]","",diaryDate,5 Jan 1916,"{""day""=>[""5""], ""month""=>[""Jan""], ""year""=>[""1916""]}",8291011,Bureau de Poste de Bezu St Eloi,"[1.7125, 49.2902]"
29,AWD0002apj,diary,111,7,1916-01-05 00:00:00 UTC,5 Jan 1916,St Eloi,"[0.0, 0.0]","",weather,rain,{},8291011,Bureau de Poste de Bezu St Eloi,"[1.7125, 49.2902]"
30,AWD0002apj,diary,111,5,1916-01-05 00:00:00 UTC,5 Jan 1916,St Eloi,"[0.0, 0.0]","",activity,fire,{},8291011,Bureau de Poste de Bezu St Eloi,"[1.7125, 49.2902]"
32,AWD0002apj,diary,111,3,1916-01-05 00:00:00 UTC,5 Jan 1916,St Eloi,"[0.0, 0.0]","",activity,attack,{},8291011,Bureau de Poste de Bezu St Eloi,"[1.7125, 49.2902]"
33,AWD0002apj,diary,111,7,1916-01-05 00:00:00 UTC,5 Jan 1916,St Eloi,"[0.0, 0.0]","",casualties,wounded: 1,{},8291011,Bureau de Poste de Bezu St Eloi,"[1.7125, 49.2902]"
34,AWD0002apj,diary,111,7,1916-01-06 00:00:00 UTC,6 Jan 1916,St Eloi,"[0.0, 0.0]","",diaryDate,6 Jan 1916,"{""day""=>[""6""], ""month""=>[""Jan""], ""year""=>[""1916""]}",8291011,Bureau de Poste de Bezu St Eloi,"[1.7125, 49.2902]"
35,AWD0002apj,diary,111,4,1916-01-06 00:00:00 UTC,6 Jan 1916,St Eloi,"[0.0, 0.0]","",activity,fire,{},8291011,Bureau de Poste de Bezu St Eloi,"[1.7125, 49.2902]"
37,AWD0002apj,diary,111,2,1916-01-06 00:00:00 UTC,6 Jan 1916,St Eloi,"[0.0, 0.0]","",activity,attack,{},8291011,Bureau de Poste de Bezu St Eloi,"[1.7125, 49.2902]"
39,AWD0002apj,diary,111,2,1916-01-06 00:00:00 UTC,6 Jan 1916,St Eloi,"[0.0, 0.0]","",activity,attack,{},8291011,Bureau de Poste de Bezu St Eloi,"[1.7125, 49.2902]"
40,AWD0002apj,diary,111,7,1916-01-07 00:00:00 UTC,7 Jan 1916,St Eloi,"[0.0, 0.0]","",diaryDate,7 Jan 1916,"{""day""=>[""7""], ""month""=>[""Jan""], ""year""=>[""1916""]}",8291011,Bureau de Poste de Bezu St Eloi,"[1.7125, 49.2902]"
41,AWD0002apj,diary,111,5,1916-01-07 00:00:00 UTC,7 Jan 1916,St Eloi,"[0.0, 0.0]","",activity,quiet,{},8291011,Bureau de Poste de Bezu St Eloi,"[1.7125, 49.2902]"
43,AWD0002apj,diary,111,7,1916-01-08 00:00:00 UTC,8 Jan 1916,St Eloi,"[0.0, 0.0]","",diaryDate,8 Jan 1916,"{""day""=>[""8""], ""month""=>[""Jan""], ""year""=>[""1916""]}",8291011,Bureau de Poste de Bezu St Eloi,"[1.7125, 49.2902]"
44,AWD0002apj,diary,111,7,1916-01-08 00:00:00 UTC,8 Jan 1916,St Eloi,"[0.0, 0.0]","",activity,fire,{},8291011,Bureau de Poste de Bezu St Eloi,"[1.7125, 49.2902]"
45,AWD0002apj,diary,111,4,1916-01-08 00:00:00 UTC,8 Jan 1916,St Eloi,"[0.0, 0.0]","",activity,attack,{},8291011,Bureau de Poste de Bezu St Eloi,"[1.7125, 49.2902]"
46,AWD0002apj,diary,111,7,1916-01-08 00:00:00 UTC,8 Jan 1916,St Eloi,"[0.0, 0.0]","",person,Captain  Wyatt,"{""first""=>[""""], ""surname""=>[""Wyatt""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""casualty_kia""], ""unit""=>[""""]}",8291011,Bureau de Poste de Bezu St Eloi,"[1.7125, 49.2902]"
47,AWD0002apj,diary,111,2,1916-01-08 00:00:00 UTC,8 Jan 1916,St Eloi,"[0.0, 0.0]","",casualties,killed: 1,{},8291011,Bureau de Poste de Bezu St Eloi,"[1.7125, 49.2902]"
1,AWD0002ash,diary,112,3,1916-01-09 00:00:00 UTC,9 Jan 1916,St Eloi,"[0.0, 0.0]","",diaryDate,9 Jan 1916,"{""day""=>[""9""], ""month""=>[""Jan""], ""year""=>[""1916""]}",8291011,Bureau de Poste de Bezu St Eloi,"[1.7125, 49.2902]"
2,AWD0002ash,diary,112,5,1916-01-09 00:00:00 UTC,9 Jan 1916,St Eloi,"[0.0, 0.0]","",activity,fire,{},8291011,Bureau de Poste de Bezu St Eloi,"[1.7125, 49.2902]"
4,AWD0002ash,diary,112,3,1916-01-09 00:00:00 UTC,9 Jan 1916,"Saint Eloi, St. Eloi, st. eloi","[0.0, 0.0]","",place,"Saint Eloi, St. Eloi, st. eloi","{""place""=>[""Saint Eloi"", ""St. Eloi"", ""st. eloi""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",8291011,Bureau de Poste de Bezu St Eloi,"[1.7125, 49.2902]"
6,AWD0002ash,diary,112,3,1916-01-09 00:00:00 UTC,9 Jan 1916,"Saint Eloi, St. Eloi, st. eloi","[0.0, 0.0]","",diaryDate,9 Jan 1916,"{""day""=>[""9""], ""month""=>[""Jan""], ""year""=>[""1916""]}",8291011,Bureau de Poste de Bezu St Eloi,"[1.7125, 49.2902]"
8,AWD0002ash,diary,112,4,1916-01-09 00:00:00 UTC,9 Jan 1916,"Saint Eloi, St. Eloi, st. eloi","[0.0, 0.0]","",activity,attack,{},8291011,Bureau de Poste de Bezu St Eloi,"[1.7125, 49.2902]"
10,AWD0002ash,diary,112,2,1916-01-09 00:00:00 UTC,9 Jan 1916,"Saint Eloi, St. Eloi, st. eloi","[0.0, 0.0]","",activity,fire,{},8291011,Bureau de Poste de Bezu St Eloi,"[1.7125, 49.2902]"
11,AWD0002ash,diary,112,2,1916-01-09 00:00:00 UTC,9 Jan 1916,"Saint Eloi, St. Eloi, st. eloi","[0.0, 0.0]","",person,"Lieutenant,Second Lieutenant  Arnould","{""first""=>[""""], ""surname""=>[""Arnould""], ""rank""=>[""Lieutenant"", ""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""award"", ""other""], ""unit""=>[""""]}",8291011,Bureau de Poste de Bezu St Eloi,"[1.7125, 49.2902]"
12,AWD0002ash,diary,112,6,1916-01-09 00:00:00 UTC,9 Jan 1916,"Saint Eloi, St. Eloi, st. eloi","[0.0, 0.0]","",casualties,"killed: 1, wounded: 1",{},8291011,Bureau de Poste de Bezu St Eloi,"[1.7125, 49.2902]"
