Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
4,AWD0001knp,cover,2,2,,,,[],,date,5 Dec 1916,{},,,
6,AWD0001knp,cover,2,2,,,,[],,date,12 Dec 1916,{},,,
1,AWD0001knq,diary,3,11,1916-08-01 00:00:00 UTC,1 Aug 1916,"","[0.0, 0.0]","",diaryDate,1 Aug 1916,"{""day""=>[""1""], ""month""=>[""Aug""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0001knq,diary,3,3,1916-08-01 00:00:00 UTC,1 Aug 1916,"","[0.0, 0.0]","",domestic,parades,{},2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0001knq,diary,3,2,1916-08-01 00:00:00 UTC,1 Aug 1916,"","[0.0, 0.0]","",activity,other,{},2985684,Pozières,"[2.72929, 50.04047]"
7,AWD0001knq,diary,3,6,1916-08-02 00:00:00 UTC,2 Aug 1916,"","[0.0, 0.0]","",diaryDate,2 Aug 1916,"{""day""=>[""2""], ""month""=>[""Aug""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
8,AWD0001knq,diary,3,3,1916-08-02 00:00:00 UTC,2 Aug 1916,"","[0.0, 0.0]","",domestic,inspections,{},2985684,Pozières,"[2.72929, 50.04047]"
10,AWD0001knq,diary,3,2,1916-08-02 00:00:00 UTC,2 Aug 1916,"","[0.0, 0.0]","",activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
12,AWD0001knq,diary,3,7,1916-08-03 00:00:00 UTC,3 Aug 1916,"","[0.0, 0.0]","",diaryDate,3 Aug 1916,"{""day""=>[""3""], ""month""=>[""Aug""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
13,AWD0001knq,diary,3,5,1916-08-03 00:00:00 UTC,3 Aug 1916,"","[0.0, 0.0]","",activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
14,AWD0001knq,diary,3,2,1916-08-03 00:00:00 UTC,3 Aug 1916,"","[0.0, 0.0]","",domestic,inspections,{},2985684,Pozières,"[2.72929, 50.04047]"
