Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003ma8,cover,3,2,,,,[],,diaryDate,1 Aug 1914,"{""day""=>[""1""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
2,AWD0003mac,diary,5,3,1914-08-05 00:00:00 UTC,5 Aug 1914,"","[0.0, 0.0]","",diaryDate,5 Aug 1914,"{""day""=>[""5""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0003mac,diary,5,3,1914-08-05 00:00:00 UTC,5 Aug 1914,Aldershot,"[-0.76389, 51.24827]","",place,Aldershot,"{""place""=>[""Aldershot""], ""location""=>[""true""], ""name""=>[""Aldershot""], ""lat""=>[""51.24827""], ""long""=>[""-0.76389""], ""id""=>[""2657540""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
4,AWD0003mac,diary,5,2,1914-08-05 00:00:00 UTC,5 Aug 1914,Aldershot,"[-0.76389, 51.24827]","",diaryDate,5 Aug 1914,"{""day""=>[""5""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
6,AWD0003mac,diary,5,2,1914-08-05 00:00:00 UTC,5 Aug 1914,Aldershot,"[-0.76389, 51.24827]","",activity,movement,{},2657540,Aldershot,"[-0.76389, 51.24827]"
7,AWD0003mac,diary,5,3,1914-08-06 00:00:00 UTC,6 Aug 1914,Aldershot,"[-0.76389, 51.24827]","",diaryDate,6 Aug 1914,"{""day""=>[""6""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
11,AWD0003mac,diary,5,3,1914-08-18 00:00:00 UTC,18 Aug 1914,Aldershot,"[-0.76389, 51.24827]","",diaryDate,18 Aug 1914,"{""day""=>[""18""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
12,AWD0003mac,diary,5,3,1914-08-18 00:00:00 UTC,18 Aug 1914,Aldershot,"[-0.76389, 51.24827]","",activity,movement,{},2657540,Aldershot,"[-0.76389, 51.24827]"
13,AWD0003mac,diary,5,3,1914-08-18 00:00:00 UTC,18 Aug 1914,Aldershot,"[0.0, 0.0]","",place,Aldershot,"{""place""=>[""Aldershot""], ""location""=>[""true""], ""name""=>[""Aldershot Camp"", ""Aldershot"", """"], ""lat""=>[""51.25987"", ""51.24827"", """"], ""long""=>[""-0.7581"", ""-0.76389"", """"], ""id""=>[""10109465"", ""2657540"", """"]}",2657540,Aldershot,"[-0.76389, 51.24827]"
14,AWD0003mac,diary,5,2,1914-08-18 12:30:00 UTC,18 Aug 1914,Aldershot,"[0.0, 0.0]",1230PM,time,1230PM,{},2657540,Aldershot,"[-0.76389, 51.24827]"
15,AWD0003mac,diary,5,2,1914-08-18 13:30:00 UTC,18 Aug 1914,Aldershot,"[0.0, 0.0]",0130PM,time,0130PM,{},2657540,Aldershot,"[-0.76389, 51.24827]"
16,AWD0003mac,diary,5,4,1914-08-18 13:30:00 UTC,18 Aug 1914,Southampton,"[-1.40428, 50.90395]",0130PM,place,Southampton,"{""place""=>[""Southampton""], ""location""=>[""true""], ""name""=>[""Southampton""], ""lat""=>[""50.90395""], ""long""=>[""-1.40428""], ""id""=>[""2637487""]}",2637487,Southampton,"[-1.40428, 50.90395]"
17,AWD0003mac,diary,5,4,1914-08-19 00:00:00 UTC,19 Aug 1914,Southampton,"[-1.40428, 50.90395]","",diaryDate,19 Aug 1914,"{""day""=>[""19""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2637487,Southampton,"[-1.40428, 50.90395]"
18,AWD0003mac,diary,5,3,1914-08-19 00:00:00 UTC,19 Aug 1914,Southampton,"[-1.40428, 50.90395]","",activity,movement,{},2637487,Southampton,"[-1.40428, 50.90395]"
19,AWD0003mac,diary,5,3,1914-08-19 00:00:00 UTC,19 Aug 1914,Boulogne,"[0.0, 0.0]","",place,Boulogne,"{""place""=>[""Boulogne""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3031862,Bologne,"[5.14209, 48.20004]"
21,AWD0003mac,diary,5,4,1914-08-20 00:00:00 UTC,20 Aug 1914,Boulogne,"[0.0, 0.0]","",diaryDate,20 Aug 1914,"{""day""=>[""20""], ""month""=>[""Aug""], ""year""=>[""1914""]}",3031862,Bologne,"[5.14209, 48.20004]"
22,AWD0003mac,diary,5,3,1914-08-20 00:00:00 UTC,20 Aug 1914,Boulogne,"[0.0, 0.0]","",activity,movement,{},3031862,Bologne,"[5.14209, 48.20004]"
24,AWD0003mac,diary,5,3,1914-08-21 00:00:00 UTC,21 Aug 1914,Boulogne,"[0.0, 0.0]","",diaryDate,21 Aug 1914,"{""day""=>[""21""], ""month""=>[""Aug""], ""year""=>[""1914""]}",3031862,Bologne,"[5.14209, 48.20004]"
25,AWD0003mac,diary,5,3,1914-08-21 00:00:00 UTC,21 Aug 1914,Gare du Nord,"[0.0, 0.0]","",place,Gare du Nord,"{""place""=>[""Gare du Nord""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
26,AWD0003mac,diary,5,3,1914-08-21 00:00:00 UTC,21 Aug 1914,Boulogne,"[0.0, 0.0]","",place,Boulogne,"{""place""=>[""Boulogne""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3031862,Bologne,"[5.14209, 48.20004]"
27,AWD0003mac,diary,5,4,1914-08-22 00:00:00 UTC,22 Aug 1914,Boulogne,"[0.0, 0.0]","",diaryDate,22 Aug 1914,"{""day""=>[""22""], ""month""=>[""Aug""], ""year""=>[""1914""]}",3031862,Bologne,"[5.14209, 48.20004]"
28,AWD0003mac,diary,5,6,1914-08-22 00:00:00 UTC,22 Aug 1914,Aulnoye,"[0.0, 0.0]","",place,Aulnoye,"{""place""=>[""Aulnoye""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3036132,Aulnoye-Aymeries,"[3.83844, 50.20141]"
29,AWD0003mac,diary,5,2,1914-08-22 00:00:00 UTC,22 Aug 1914,Aulnoye,"[0.0, 0.0]","",activity,movement,{},3036132,Aulnoye-Aymeries,"[3.83844, 50.20141]"
30,AWD0003mac,diary,5,2,1914-08-22 08:15:00 UTC,22 Aug 1914,Aulnoye,"[0.0, 0.0]",0815AM,time,0815AM,{},3036132,Aulnoye-Aymeries,"[3.83844, 50.20141]"
31,AWD0003mac,diary,5,3,1914-08-22 09:15:00 UTC,22 Aug 1914,Aulnoye,"[0.0, 0.0]",0915AM,time,0915AM,{},3036132,Aulnoye-Aymeries,"[3.83844, 50.20141]"
