Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD0004889,diary,685,3,,"",Fressenneville,"[1.57816, 50.06838]","",place,Fressenneville,"{""place""=>[""Fressenneville""], ""location""=>[""true""], ""name""=>[""Fressenneville""], ""lat""=>[""50.06838""], ""long""=>[""1.57816""], ""id""=>[""3017127""]}",3017127,Fressenneville,"[1.57816, 50.06838]"
3,AWD0004889,diary,685,3,1917-01-01 00:00:00 UTC,1 Jan 1917,Fressenneville,"[1.57816, 50.06838]","",diaryDate,1 Jan 1917,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3017127,Fressenneville,"[1.57816, 50.06838]"
5,AWD0004889,diary,685,2,1917-01-01 00:00:00 UTC,1 Jan 1917,Fressenneville,"[1.57816, 50.06838]","",place,Woincourt,"{""place""=>[""Woincourt""], ""location""=>[""false"", ""true""], ""name""=>[""Woincourt""], ""lat""=>[""50.0663""], ""long""=>[""1.53676""], ""id""=>[""2967299""]}",3017127,Fressenneville,"[1.57816, 50.06838]"
6,AWD0004889,diary,685,2,1917-01-01 00:00:00 UTC,1 Jan 1917,Fressenneville,"[1.57816, 50.06838]","",place,Fressenneville,"{""place""=>[""Fressenneville""], ""location""=>[""true""], ""name""=>["""", ""Fressenneville""], ""lat""=>["""", ""50.06838""], ""long""=>["""", ""1.57816""], ""id""=>["""", ""3017127""]}",3017127,Fressenneville,"[1.57816, 50.06838]"
8,AWD0004889,diary,685,3,1917-01-02 00:00:00 UTC,2 Jan 1917,Fressenneville,"[1.57816, 50.06838]","",diaryDate,2 Jan 1917,"{""day""=>[""2""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3017127,Fressenneville,"[1.57816, 50.06838]"
11,AWD0004889,diary,685,3,1917-01-03 00:00:00 UTC,3 Jan 1917,Fressenneville,"[1.57816, 50.06838]","",diaryDate,3 Jan 1917,"{""day""=>[""3""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3017127,Fressenneville,"[1.57816, 50.06838]"
12,AWD0004889,diary,685,2,1917-01-03 00:00:00 UTC,3 Jan 1917,Fressenneville,"[1.57816, 50.06838]","",activity,other,{},3017127,Fressenneville,"[1.57816, 50.06838]"
13,AWD0004889,diary,685,3,1917-01-04 00:00:00 UTC,4 Jan 1917,Fressenneville,"[1.57816, 50.06838]","",diaryDate,4 Jan 1917,"{""day""=>[""4""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3017127,Fressenneville,"[1.57816, 50.06838]"
15,AWD0004889,diary,685,3,1917-01-05 00:00:00 UTC,5 Jan 1917,Fressenneville,"[1.57816, 50.06838]","",diaryDate,5 Jan 1917,"{""day""=>[""5""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3017127,Fressenneville,"[1.57816, 50.06838]"
17,AWD0004889,diary,685,3,1917-01-06 00:00:00 UTC,6 Jan 1917,Fressenneville,"[1.57816, 50.06838]","",diaryDate,6 Jan 1917,"{""day""=>[""6""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3017127,Fressenneville,"[1.57816, 50.06838]"
18,AWD0004889,diary,685,4,1917-01-07 00:00:00 UTC,7 Jan 1917,Fressenneville,"[1.57816, 50.06838]","",diaryDate,7 Jan 1917,"{""day""=>[""7""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3017127,Fressenneville,"[1.57816, 50.06838]"
