Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0002xic,diary,4,5,1915-08-26 00:00:00 UTC,26 Aug 1915,"","[0.0, 0.0]","",diaryDate,26 Aug 1915,"{""day""=>[""26""], ""month""=>[""Aug""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0002xic,diary,4,2,1915-08-26 00:00:00 UTC,26 Aug 1915,"Kantara, kantara","[-0.76389, 51.24827]","",place,"Kantara, kantara","{""place""=>[""Kantara"", ""kantara""], ""location""=>[""true""], ""name""=>[""Aldershot""], ""lat""=>[""51.24827""], ""long""=>[""-0.76389""], ""id""=>[""2657540""]}",,,
6,AWD0002xic,diary,4,4,1915-08-26 00:00:00 UTC,26 Aug 1915,Kantara,"[0.0, 0.0]","",place,Kantara,"{""place""=>[""Kantara""], ""location""=>[""true""], ""name""=>[""Gembloux"", """", ""Bancourt"", ""Chuignes""], ""lat""=>[""50.56149"", """", ""50.10154"", ""49.90039""], ""long""=>[""4.69889"", """", ""2.89004"", ""2.75152""], ""id""=>[""2797713"", """", ""3035164"", ""3024998""]}",,,
9,AWD0002xic,diary,4,3,1915-08-26 00:00:00 UTC,26 Aug 1915,Kantara,"[0.0, 0.0]","",diaryDate,26 Aug 1915,"{""day""=>[""26""], ""month""=>[""Aug""], ""year""=>[""1915""]}",,,
10,AWD0002xic,diary,4,2,1915-08-26 00:00:00 UTC,26 Aug 1915,Kantara,"[0.0, 0.0]","",domestic,accomodation,{},,,
12,AWD0002xic,diary,4,4,1915-08-29 00:00:00 UTC,29 Aug 1915,Kantara,"[0.0, 0.0]","",diaryDate,29 Aug 1915,"{""day""=>[""29""], ""month""=>[""Aug""], ""year""=>[""1915""]}",,,
16,AWD0002xic,diary,4,2,1915-08-29 00:00:00 UTC,29 Aug 1915,Kantara,"[0.0, 0.0]","",diaryDate,29 Aug 1915,"{""day""=>[""29""], ""month""=>[""Aug""], ""year""=>[""1915""]}",,,
17,AWD0002xic,diary,4,4,1915-08-29 00:00:00 UTC,29 Aug 1915,Port Said,"[0.0, 0.0]","",place,Port Said,"{""place""=>[""Port Said""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2995469,Marseille,"[5.38107, 43.29695]"
18,AWD0002xic,diary,4,4,1915-08-29 05:30:00 UTC,29 Aug 1915,Port Said,"[0.0, 0.0]",0530AM,time,0530AM,{},2995469,Marseille,"[5.38107, 43.29695]"
19,AWD0002xic,diary,4,5,1915-08-29 05:30:00 UTC,29 Aug 1915,Port Said,"[0.0, 0.0]",0530AM,activity,movement,{},2995469,Marseille,"[5.38107, 43.29695]"
