Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0001mpr,diary,669,7,1917-03-18 00:00:00 UTC,18 Mar 1917,"","[0.0, 0.0]","",diaryDate,18 Mar 1917,"{""day""=>[""18""], ""month""=>[""Mar""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0001mpr,diary,669,7,1917-03-18 00:00:00 UTC,18 Mar 1917,Le Havre,"[0.10767, 49.4938]","",place,Le Havre,"{""place""=>[""Le Havre""], ""location""=>[""true""], ""name""=>[""Le Havre""], ""lat""=>[""49.4938""], ""long""=>[""0.10767""], ""id""=>[""3003796""]}",3003796,Le Havre,"[0.10767, 49.4938]"
3,AWD0001mpr,diary,669,2,1917-03-18 00:00:00 UTC,18 Mar 1917,Le Havre,"[0.10767, 49.4938]","",activity,movement,{},3003796,Le Havre,"[0.10767, 49.4938]"
4,AWD0001mpr,diary,669,7,1917-03-18 07:00:00 UTC,18 Mar 1917,Le Havre,"[0.10767, 49.4938]",0700AM,time,0700AM,{},3003796,Le Havre,"[0.10767, 49.4938]"
5,AWD0001mpr,diary,669,2,1917-03-18 07:00:00 UTC,18 Mar 1917,Le Havre,"[0.10767, 49.4938]",0700AM,strength,"officer: 8, other: 115",{},3003796,Le Havre,"[0.10767, 49.4938]"
6,AWD0001mpr,diary,669,3,1917-03-18 07:00:00 UTC,18 Mar 1917,Le Havre,"[0.10767, 49.4938]",0700AM,activity,movement,{},3003796,Le Havre,"[0.10767, 49.4938]"
9,AWD0001mpr,diary,669,7,1917-03-19 00:00:00 UTC,19 Mar 1917,Le Havre,"[0.10767, 49.4938]","",diaryDate,19 Mar 1917,"{""day""=>[""19""], ""month""=>[""Mar""], ""year""=>[""1917""]}",3003796,Le Havre,"[0.10767, 49.4938]"
10,AWD0001mpr,diary,669,2,1917-03-19 00:00:00 UTC,19 Mar 1917,Le Havre,"[0.10767, 49.4938]","",strength,"officer: 2, other: 31",{},3003796,Le Havre,"[0.10767, 49.4938]"
12,AWD0001mpr,diary,669,2,1917-03-19 00:00:00 UTC,19 Mar 1917,Le Havre,"[0.10767, 49.4938]","",activity,movement,{},3003796,Le Havre,"[0.10767, 49.4938]"
13,AWD0001mpr,diary,669,3,1917-03-19 00:00:00 UTC,19 Mar 1917,Le Havre,"[0.10767, 49.4938]","",place,Le Havre,"{""place""=>[""Le Havre""], ""location""=>[""true""], ""name""=>[""Le Havre""], ""lat""=>[""49.4938""], ""long""=>[""0.10767""], ""id""=>[""3003796""]}",3003796,Le Havre,"[0.10767, 49.4938]"
14,AWD0001mpr,diary,669,7,1917-03-19 08:00:00 UTC,19 Mar 1917,Le Havre,"[0.10767, 49.4938]",0800AM,time,0800AM,{},3003796,Le Havre,"[0.10767, 49.4938]"
15,AWD0001mpr,diary,669,2,1917-03-19 08:00:00 UTC,19 Mar 1917,Le Havre,"[0.10767, 49.4938]",0800AM,activity,movement,{},3003796,Le Havre,"[0.10767, 49.4938]"
18,AWD0001mpr,diary,669,6,1917-03-21 00:00:00 UTC,21 Mar 1917,Le Havre,"[0.10767, 49.4938]","",diaryDate,21 Mar 1917,"{""day""=>[""21""], ""month""=>[""Mar""], ""year""=>[""1917""]}",3003796,Le Havre,"[0.10767, 49.4938]"
19,AWD0001mpr,diary,669,3,1917-03-21 00:00:00 UTC,21 Mar 1917,Le Havre,"[0.10767, 49.4938]","",place,Le Havre,"{""place""=>[""Le Havre""], ""location""=>[""true""], ""name""=>[""Le Havre""], ""lat""=>[""49.4938""], ""long""=>[""0.10767""], ""id""=>[""3003796""]}",3003796,Le Havre,"[0.10767, 49.4938]"
20,AWD0001mpr,diary,669,4,1917-03-21 00:00:00 UTC,21 Mar 1917,Le Havre,"[0.10767, 49.4938]","",casualties,other: 2,{},3003796,Le Havre,"[0.10767, 49.4938]"
23,AWD0001mpr,diary,669,6,1917-03-22 00:00:00 UTC,22 Mar 1917,Le Havre,"[0.10767, 49.4938]","",diaryDate,22 Mar 1917,"{""day""=>[""22""], ""month""=>[""Mar""], ""year""=>[""1917""]}",3003796,Le Havre,"[0.10767, 49.4938]"
24,AWD0001mpr,diary,669,3,1917-03-22 00:00:00 UTC,22 Mar 1917,Le Havre,"[0.10767, 49.4938]","",casualties,other: 1,{},3003796,Le Havre,"[0.10767, 49.4938]"
26,AWD0001mpr,diary,669,2,1917-03-22 00:00:00 UTC,22 Mar 1917,Le Havre,"[0.10767, 49.4938]","",place,Le Havre,"{""place""=>[""Le Havre""], ""location""=>[""true""], ""name""=>[""Le Havre""], ""lat""=>[""49.4938""], ""long""=>[""0.10767""], ""id""=>[""3003796""]}",3003796,Le Havre,"[0.10767, 49.4938]"
