Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003e6a,cover,459,2,,,,[],,diaryDate,"7 Mar,Feb 1919, 1918","{""day""=>[""7""], ""month""=>[""Mar"", ""Feb""], ""year""=>[""1919"", ""1918""]}",,,
4,AWD0003e7j,diary,461,3,,"",Grand Seraucourt,"[3.21667, 49.78333]","",place,Grand Seraucourt,"{""place""=>[""Grand Seraucourt""], ""location""=>[""true""], ""name""=>[""Seraucourt-le-Grand""], ""lat""=>[""49.78333""], ""long""=>[""3.21667""], ""id""=>[""2974979""]}",2974979,Seraucourt-le-Grand,"[3.21667, 49.78333]"
5,AWD0003e7j,diary,461,2,,"",Grand Seraucourt,"[3.21667, 49.78333]","",unit,"1ST ROYAL IRISH RIFLES, 1st Bn Royal Irish Rifles","{""name""=>[""1ST ROYAL IRISH RIFLES"", ""1st Bn Royal Irish Rifles""], ""context""=>[""relieved""]}",2974979,Seraucourt-le-Grand,"[3.21667, 49.78333]"
6,AWD0003e7j,diary,461,2,,"1 Nov,Mar 1917, 1918",Grand Seraucourt,"[3.21667, 49.78333]","",diaryDate,"1 Nov,Mar 1917, 1918","{""day""=>[""1""], ""month""=>[""Nov"", ""Mar""], ""year""=>[""1917"", ""1918""]}",2974979,Seraucourt-le-Grand,"[3.21667, 49.78333]"
10,AWD0003e7j,diary,461,6,,"1 Nov,Mar 1917, 1918",Grand Seraucourt,"[3.21667, 49.78333]","",place,Grand Seraucourt,"{""place""=>[""Grand Seraucourt""], ""location""=>[""true""], ""name""=>[""Seraucourt-le-Grand""], ""lat""=>[""49.78333""], ""long""=>[""3.21667""], ""id""=>[""2974979""]}",2974979,Seraucourt-le-Grand,"[3.21667, 49.78333]"
11,AWD0003e7j,diary,461,3,1918-03-02 00:00:00 UTC,2 Mar 1918,Grand Seraucourt,"[3.21667, 49.78333]","",diaryDate,2 Mar 1918,"{""day""=>[""2""], ""month""=>[""Mar""], ""year""=>[""1918""]}",2974979,Seraucourt-le-Grand,"[3.21667, 49.78333]"
12,AWD0003e7j,diary,461,3,1918-03-03 00:00:00 UTC,3 Mar 1918,Grand Seraucourt,"[3.21667, 49.78333]","",diaryDate,3 Mar 1918,"{""day""=>[""3""], ""month""=>[""Mar""], ""year""=>[""1918""]}",2974979,Seraucourt-le-Grand,"[3.21667, 49.78333]"
13,AWD0003e7j,diary,461,3,1918-03-03 00:00:00 UTC,3 Mar 1918,Grand Seraucourt,"[3.21667, 49.78333]","",activity,support,{},2974979,Seraucourt-le-Grand,"[3.21667, 49.78333]"
14,AWD0003e7j,diary,461,4,1918-03-03 00:00:00 UTC,3 Mar 1918,Grand Seraucourt,"[3.21667, 49.78333]","",activity,other,{},2974979,Seraucourt-le-Grand,"[3.21667, 49.78333]"
15,AWD0003e7j,diary,461,3,1918-03-03 00:00:00 UTC,3 Mar 1918,Grand Seraucourt,"[3.21667, 49.78333]","",activity,working,{},2974979,Seraucourt-le-Grand,"[3.21667, 49.78333]"
16,AWD0003e7j,diary,461,2,,"4 Mar,Nov 1918, 1917",Grand Seraucourt,"[3.21667, 49.78333]","",diaryDate,"4 Mar,Nov 1918, 1917","{""day""=>[""4""], ""month""=>[""Mar"", ""Nov""], ""year""=>[""1918"", ""1917""]}",2974979,Seraucourt-le-Grand,"[3.21667, 49.78333]"
18,AWD0003e7j,diary,461,3,1918-03-05 00:00:00 UTC,5 Mar 1918,Grand Seraucourt,"[3.21667, 49.78333]","",diaryDate,5 Mar 1918,"{""day""=>[""5""], ""month""=>[""Mar""], ""year""=>[""1918""]}",2974979,Seraucourt-le-Grand,"[3.21667, 49.78333]"
19,AWD0003e7j,diary,461,6,1918-03-05 00:00:00 UTC,5 Mar 1918,Grand Seraucourt,"[3.21667, 49.78333]","",place,Grand Seraucourt,"{""place""=>[""Grand Seraucourt""], ""location""=>[""true""], ""name""=>[""Seraucourt-le-Grand""], ""lat""=>[""49.78333""], ""long""=>[""3.21667""], ""id""=>[""2974979""]}",2974979,Seraucourt-le-Grand,"[3.21667, 49.78333]"
22,AWD0003e7j,diary,461,4,1918-03-06 00:00:00 UTC,6 Mar 1918,Grand Seraucourt,"[3.21667, 49.78333]","",diaryDate,6 Mar 1918,"{""day""=>[""6""], ""month""=>[""Mar""], ""year""=>[""1918""]}",2974979,Seraucourt-le-Grand,"[3.21667, 49.78333]"
23,AWD0003e7j,diary,461,2,1918-03-06 00:00:00 UTC,6 Mar 1918,Grand Seraucourt,"[3.21667, 49.78333]","",activity,line,{},2974979,Seraucourt-le-Grand,"[3.21667, 49.78333]"
24,AWD0003e7j,diary,461,3,1918-03-06 00:00:00 UTC,6 Mar 1918,Grand Seraucourt,"[3.21667, 49.78333]","",unit,"1st Royal Irish Rifles, 1st Bn Royal Irish Rifles, 1ST ROYAL IRISH RIFLES","{""name""=>[""1st Royal Irish Rifles"", ""1st Bn Royal Irish Rifles"", ""1ST ROYAL IRISH RIFLES""], ""context""=>[""relieved""]}",2974979,Seraucourt-le-Grand,"[3.21667, 49.78333]"
26,AWD0003e7j,diary,461,2,1918-03-06 00:00:00 UTC,6 Mar 1918,Grand Seraucourt,"[3.21667, 49.78333]","",place,Gruiges,"{""place""=>[""Gruiges""], ""location""=>[""false"", ""true""], ""name""=>["""", ""Seraucourt-le-Grand""], ""lat""=>["""", ""49.78333""], ""long""=>["""", ""3.21667""], ""id""=>["""", ""2974979""]}",2974979,Seraucourt-le-Grand,"[3.21667, 49.78333]"
29,AWD0003e7j,diary,461,3,1918-03-06 00:00:00 UTC,6 Mar 1918,Grand Seraucourt,"[3.21667, 49.78333]","",gridRef,B 8 c 80 20,{},2974979,Seraucourt-le-Grand,"[3.21667, 49.78333]"
30,AWD0003e7j,diary,461,3,1918-03-06 00:00:00 UTC,6 Mar 1918,Grand Seraucourt,"[3.21667, 49.78333]","",gridRef,B 10 c 40 50,{},2974979,Seraucourt-le-Grand,"[3.21667, 49.78333]"
