Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003gs7,diary,6,5,1916-01-23 00:00:00 UTC,23 Jan 1916,"","[0.0, 0.0]","",diaryDate,23 Jan 1916,"{""day""=>[""23""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0003gs7,diary,6,7,1916-01-23 00:00:00 UTC,23 Jan 1916,Fienvillers,"[2.2293, 50.11832]","",place,Fienvillers,"{""place""=>[""Fienvillers""], ""location""=>[""true""], ""name""=>[""Fienvillers""], ""lat""=>[""50.11832""], ""long""=>[""2.2293""], ""id""=>[""3018523""]}",3018523,Fienvillers,"[2.2293, 50.11832]"
5,AWD0003gs7,diary,6,4,1916-01-23 00:00:00 UTC,23 Jan 1916,Fienvillers,"[2.2293, 50.11832]","",person,Captain W McConachie,"{""first""=>[""W""], ""surname""=>[""McConachie""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""other"", ""commander""], ""unit""=>[""109th Brigade Machine Gun Company"", ""109th Brigade of 10th Royal Inniskilling Fusiliers"", ""10th Royal Inniskilling Fusiliers"", ""109th Brigade of 10th Royal Inniskillling Fusiiiers""]}",3018523,Fienvillers,"[2.2293, 50.11832]"
6,AWD0003gs7,diary,6,4,1916-01-23 00:00:00 UTC,23 Jan 1916,Fienvillers,"[2.2293, 50.11832]","",person,Lieutenant H M Hewitt,"{""first""=>[""H M""], ""surname""=>[""Hewitt""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""9th Royal Inniskilling Fusiliers""]}",3018523,Fienvillers,"[2.2293, 50.11832]"
7,AWD0003gs7,diary,6,4,1916-01-23 00:00:00 UTC,23 Jan 1916,Fienvillers,"[2.2293, 50.11832]","",person,Second Lieutenant J M Hampshire,"{""first""=>[""J M""], ""surname""=>[""Hampshire""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""9th Royal Inniskilling Fusiliers""]}",3018523,Fienvillers,"[2.2293, 50.11832]"
8,AWD0003gs7,diary,6,4,1916-01-23 00:00:00 UTC,23 Jan 1916,Fienvillers,"[2.2293, 50.11832]","",person,Lieutenant A W Wakley,"{""first""=>[""A W""], ""surname""=>[""Wakley""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""10th Royal Inniskilling Fusiliers""]}",3018523,Fienvillers,"[2.2293, 50.11832]"
9,AWD0003gs7,diary,6,4,1916-01-23 00:00:00 UTC,23 Jan 1916,Fienvillers,"[2.2293, 50.11832]","",person,Second Lieutenant W A Gaussen,"{""first""=>[""W A""], ""surname""=>[""Gaussen""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""10th Royal Inniskilling Fusiliers""]}",3018523,Fienvillers,"[2.2293, 50.11832]"
10,AWD0003gs7,diary,6,4,1916-01-23 00:00:00 UTC,23 Jan 1916,Fienvillers,"[2.2293, 50.11832]","",person,Second Lieutenant R Grant,"{""first""=>[""R""], ""surname""=>[""Grant""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""11th Royal Inniskilling Fusiliers""]}",3018523,Fienvillers,"[2.2293, 50.11832]"
11,AWD0003gs7,diary,6,4,1916-01-23 00:00:00 UTC,23 Jan 1916,Fienvillers,"[2.2293, 50.11832]","",person,Second Lieutenant A C Hart,"{""first""=>[""A C""], ""surname""=>[""Hart""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""11th Royal Inniskilling Fusiliers""]}",3018523,Fienvillers,"[2.2293, 50.11832]"
12,AWD0003gs7,diary,6,4,1916-01-23 00:00:00 UTC,23 Jan 1916,Fienvillers,"[2.2293, 50.11832]","",person,Lieutenant E H Clokey,"{""first""=>[""E H""], ""surname""=>[""Clokey""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""14th Royal Irish Rifles""]}",3018523,Fienvillers,"[2.2293, 50.11832]"
13,AWD0003gs7,diary,6,4,1916-01-23 00:00:00 UTC,23 Jan 1916,Fienvillers,"[2.2293, 50.11832]","",person,Second Lieutenant G C Wedgwood,"{""first""=>[""G C""], ""surname""=>[""Wedgwood""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""14th Royal Irish Rifles""]}",3018523,Fienvillers,"[2.2293, 50.11832]"
1,AWD0003gqw,diary,7,3,1916-01-23 00:00:00 UTC,23 Jan 1916,Fienvillers,"[2.2293, 50.11832]","",diaryDate,23 Jan 1916,"{""day""=>[""23""], ""month""=>[""Jan""], ""year""=>[""1916""]}",3018523,Fienvillers,"[2.2293, 50.11832]"
