Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD00040i1,diary,86,4,1916-03-15 00:00:00 UTC,15 Mar 1916,"","[0.0, 0.0]","",diaryDate,15 Mar 1916,"{""day""=>[""15""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD00040i1,diary,86,3,1916-03-15 00:00:00 UTC,15 Mar 1916,Longpre,"[5.14709, 50.54365]","",place,Longpre,"{""place""=>[""Longpre""], ""location""=>[""true""], ""name""=>[""Longpré""], ""lat""=>[""50.54365""], ""long""=>[""5.14709""], ""id""=>[""2792137""]}",2997694,Longpré-les-Corps-Saints,"[1.99287, 50.01239]"
4,AWD00040i1,diary,86,2,1916-03-15 00:00:00 UTC,15 Mar 1916,Longpre-les-Corps-Saints,"[1.99287, 50.01239]","",place,Longpre-les-Corps-Saints,"{""place""=>[""Longpre-les-Corps-Saints""], ""location""=>[""true""], ""name""=>[""Longpré-les-Corps-Saints""], ""lat""=>[""50.01239""], ""long""=>[""1.99287""], ""id""=>[""2997694""]}",2997694,Longpré-les-Corps-Saints,"[1.99287, 50.01239]"
5,AWD00040i1,diary,86,2,1916-03-16 00:00:00 UTC,16 Mar 1916,Longpre-les-Corps-Saints,"[1.99287, 50.01239]","",diaryDate,16 Mar 1916,"{""day""=>[""16""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2997694,Longpré-les-Corps-Saints,"[1.99287, 50.01239]"
6,AWD00040i1,diary,86,3,1916-03-17 00:00:00 UTC,17 Mar 1916,Longpre-les-Corps-Saints,"[1.99287, 50.01239]","",diaryDate,17 Mar 1916,"{""day""=>[""17""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2997694,Longpré-les-Corps-Saints,"[1.99287, 50.01239]"
7,AWD00040i1,diary,86,2,1916-03-17 00:00:00 UTC,17 Mar 1916,"wiry-an mont, Wiry au Mont","[0.0, 0.0]","",place,"wiry-an mont, Wiry au Mont","{""place""=>[""wiry-an mont"", ""Wiry au Mont""], ""location""=>[""true""], ""name""=>[""Longpré"", ""Wiry-au-Mont""], ""lat""=>[""50.54365"", ""49.96291""], ""long""=>[""5.14709"", ""1.8381""], ""id""=>[""2792137"", ""2967333""]}",,,
10,AWD00040i1,diary,86,2,1916-03-18 00:00:00 UTC,18 Mar 1916,"wiry-an mont, Wiry au Mont","[0.0, 0.0]","",diaryDate,18 Mar 1916,"{""day""=>[""18""], ""month""=>[""Mar""], ""year""=>[""1916""]}",,,
11,AWD00040i1,diary,86,4,1916-03-18 00:00:00 UTC,18 Mar 1916,La Chausee,"[0.0, 0.0]","",place,La Chausee,"{""place""=>[""La Chausee""], ""location""=>[""true""], ""name""=>["""", ""La Chaussée""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2793701,La Chaussée,"[4.59443, 50.55124]"
12,AWD00040i1,diary,86,3,1916-03-19 00:00:00 UTC,19 Mar 1916,La Chausee,"[0.0, 0.0]","",diaryDate,19 Mar 1916,"{""day""=>[""19""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2793701,La Chaussée,"[4.59443, 50.55124]"
13,AWD00040i1,diary,86,3,1916-03-20 00:00:00 UTC,20 Mar 1916,La Chausee,"[0.0, 0.0]","",diaryDate,20 Mar 1916,"{""day""=>[""20""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2793701,La Chaussée,"[4.59443, 50.55124]"
14,AWD00040i1,diary,86,3,1916-03-20 00:00:00 UTC,20 Mar 1916,Abbeville,"[1.83333, 50.1]","",place,Abbeville,"{""place""=>[""Abbeville""], ""location""=>[""true""], ""name""=>[""Abbeville""], ""lat""=>[""50.1""], ""long""=>[""1.83333""], ""id""=>[""3038789""]}",3038789,Abbeville,"[1.83333, 50.1]"
16,AWD00040i1,diary,86,3,1916-03-21 00:00:00 UTC,21 Mar 1916,Abbeville,"[1.83333, 50.1]","",diaryDate,21 Mar 1916,"{""day""=>[""21""], ""month""=>[""Mar""], ""year""=>[""1916""]}",3038789,Abbeville,"[1.83333, 50.1]"
