Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
3,AWD0001lvn,diary,4,7,1916-08-06 00:00:00 UTC,6 Aug 1916,"","[0.0, 0.0]","",diaryDate,6 Aug 1916,"{""day""=>[""6""], ""month""=>[""Aug""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0001lvn,diary,4,2,1916-08-06 00:00:00 UTC,6 Aug 1916,"Engleberliner, Englebelmer","[0.0, 0.0]","",place,"Engleberliner, Englebelmer","{""place""=>[""Engleberliner"", ""Englebelmer""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3020185,Englebelmer,"[2.60942, 50.05949]"
5,AWD0001lvn,diary,4,7,1916-08-06 00:00:00 UTC,6 Aug 1916,"Engleberliner, Englebelmer","[0.0, 0.0]","",casualties,wounded: 1,{},3020185,Englebelmer,"[2.60942, 50.05949]"
7,AWD0001lvn,diary,4,8,1916-08-06 00:00:00 UTC,6 Aug 1916,"Engleberliner, Englebelmer","[0.0, 0.0]","",activity,fire,{},3020185,Englebelmer,"[2.60942, 50.05949]"
9,AWD0001lvn,diary,4,2,1916-08-06 00:00:00 UTC,6 Aug 1916,"engelbelunes, Engelbelmer","[0.0, 0.0]","",place,"engelbelunes, Engelbelmer","{""place""=>[""engelbelunes"", ""Engelbelmer""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3020185,Englebelmer,"[2.60942, 50.05949]"
10,AWD0001lvn,diary,4,5,1916-08-08 00:00:00 UTC,8 Aug 1916,"engelbelunes, Engelbelmer","[0.0, 0.0]","",diaryDate,8 Aug 1916,"{""day""=>[""8""], ""month""=>[""Aug""], ""year""=>[""1916""]}",3020185,Englebelmer,"[2.60942, 50.05949]"
11,AWD0001lvn,diary,4,2,1916-08-08 00:00:00 UTC,8 Aug 1916,"engelbelunes, Engelbelmer","[0.0, 0.0]","",activity,line,{},3020185,Englebelmer,"[2.60942, 50.05949]"
12,AWD0001lvn,diary,4,6,1916-08-08 00:00:00 UTC,8 Aug 1916,"engelbelunes, Engelbelmer","[0.0, 0.0]","",casualties,wounded: 3,{},3020185,Englebelmer,"[2.60942, 50.05949]"
13,AWD0001lvn,diary,4,4,1916-08-08 00:00:00 UTC,8 Aug 1916,"engelbelunes, Engelbelmer","[0.0, 0.0]","",activity,fire,{},3020185,Englebelmer,"[2.60942, 50.05949]"
15,AWD0001lvn,diary,4,2,1916-08-08 00:00:00 UTC,8 Aug 1916,"engelbelunes, Engelbelmer","[0.0, 0.0]","",activity,attack,{},3020185,Englebelmer,"[2.60942, 50.05949]"
18,AWD0001lvn,diary,4,4,1916-08-08 00:00:00 UTC,8 Aug 1916,"engelbelunes, Engelbelmer","[0.0, 0.0]","",activity,attack,{},3020185,Englebelmer,"[2.60942, 50.05949]"
19,AWD0001lvn,diary,4,7,1916-08-09 00:00:00 UTC,9 Aug 1916,"engelbelunes, Engelbelmer","[0.0, 0.0]","",diaryDate,9 Aug 1916,"{""day""=>[""9""], ""month""=>[""Aug""], ""year""=>[""1916""]}",3020185,Englebelmer,"[2.60942, 50.05949]"
20,AWD0001lvn,diary,4,5,1916-08-09 00:00:00 UTC,9 Aug 1916,"engelbelunes, Engelbelmer","[0.0, 0.0]","",activity,fire,{},3020185,Englebelmer,"[2.60942, 50.05949]"
21,AWD0001lvn,diary,4,5,1916-08-09 00:00:00 UTC,9 Aug 1916,"engelbelunes, Engelbelmer","[0.0, 0.0]","",casualties,wounded: 1,{},3020185,Englebelmer,"[2.60942, 50.05949]"
22,AWD0001lvn,diary,4,2,1916-08-09 00:00:00 UTC,9 Aug 1916,"engelbelunes, Engelbelmer","[0.0, 0.0]","",activity,line,{},3020185,Englebelmer,"[2.60942, 50.05949]"
28,AWD0001lvn,diary,4,5,1916-08-10 00:00:00 UTC,10 Aug 1916,"engelbelunes, Engelbelmer","[0.0, 0.0]","",diaryDate,10 Aug 1916,"{""day""=>[""10""], ""month""=>[""Aug""], ""year""=>[""1916""]}",3020185,Englebelmer,"[2.60942, 50.05949]"
29,AWD0001lvn,diary,4,6,1916-08-10 00:00:00 UTC,10 Aug 1916,"engelbelunes, Engelbelmer","[0.0, 0.0]","",activity,attack,{},3020185,Englebelmer,"[2.60942, 50.05949]"
30,AWD0001lvn,diary,4,2,1916-08-10 00:00:00 UTC,10 Aug 1916,"engelbelunes, Engelbelmer","[0.0, 0.0]","",activity,line,{},3020185,Englebelmer,"[2.60942, 50.05949]"
32,AWD0001lvn,diary,4,6,1916-08-10 00:00:00 UTC,10 Aug 1916,"engelbelunes, Engelbelmer","[0.0, 0.0]","",casualties,wounded: 3,{},3020185,Englebelmer,"[2.60942, 50.05949]"
35,AWD0001lvn,diary,4,4,1916-08-10 00:00:00 UTC,10 Aug 1916,Beaumont Hamel,"[2.65746, 50.08429]","",place,Beaumont Hamel,"{""place""=>[""Beaumont Hamel""], ""location""=>[""true""], ""name""=>[""Beaumont-Hamel""], ""lat""=>[""50.08429""], ""long""=>[""2.65746""], ""id""=>[""3034157""]}",3034157,Beaumont-Hamel,"[2.65746, 50.08429]"
36,AWD0001lvn,diary,4,2,1916-08-10 00:00:00 UTC,10 Aug 1916,Beaumont Hamel,"[2.65746, 50.08429]","",activity,attack,{},3034157,Beaumont-Hamel,"[2.65746, 50.08429]"
37,AWD0001lvn,diary,4,6,1916-08-11 00:00:00 UTC,11 Aug 1916,Beaumont Hamel,"[2.65746, 50.08429]","",diaryDate,11 Aug 1916,"{""day""=>[""11""], ""month""=>[""Aug""], ""year""=>[""1916""]}",3034157,Beaumont-Hamel,"[2.65746, 50.08429]"
41,AWD0001lvn,diary,4,3,1916-08-11 00:00:00 UTC,11 Aug 1916,Beaumont Hamel,"[2.65746, 50.08429]","",activity,movement,{},3034157,Beaumont-Hamel,"[2.65746, 50.08429]"
42,AWD0001lvn,diary,4,4,1916-08-11 00:00:00 UTC,11 Aug 1916,Louvencourt,"[2.49982, 50.09333]","",place,Louvencourt,"{""place""=>[""Louvencourt""], ""location""=>[""true""], ""name""=>[""Louvencourt""], ""lat""=>[""50.09333""], ""long""=>[""2.49982""], ""id""=>[""2997349""]}",2997349,Louvencourt,"[2.49982, 50.09333]"
43,AWD0001lvn,diary,4,2,1916-08-11 00:00:00 UTC,11 Aug 1916,Louvencourt,"[2.49982, 50.09333]","",activity,line,{},2997349,Louvencourt,"[2.49982, 50.09333]"
44,AWD0001lvn,diary,4,3,1916-08-11 00:00:00 UTC,11 Aug 1916,Louvencourt,"[2.49982, 50.09333]","",unit,"1st Guards M.G. Coy, 1st Guards MGC, 1st Guards M.G.Coy","{""name""=>[""1st Guards M.G. Coy"", ""1st Guards MGC"", ""1st Guards M.G.Coy""], ""context""=>[""relieved_by""]}",2997349,Louvencourt,"[2.49982, 50.09333]"
47,AWD0001lvn,diary,4,2,1916-08-11 12:00:00 UTC,11 Aug 1916,Louvencourt,"[2.49982, 50.09333]",1200PM,time,1200PM,{},2997349,Louvencourt,"[2.49982, 50.09333]"
48,AWD0001lvn,diary,4,2,1916-08-11 00:00:00 UTC,11 Aug 1916,Louvencourt,"[2.49982, 50.09333]",1200AM,time,1200AM,{},2997349,Louvencourt,"[2.49982, 50.09333]"
49,AWD0001lvn,diary,4,6,1916-08-12 00:00:00 UTC,12 Aug 1916,Louvencourt,"[2.49982, 50.09333]","",diaryDate,12 Aug 1916,"{""day""=>[""12""], ""month""=>[""Aug""], ""year""=>[""1916""]}",2997349,Louvencourt,"[2.49982, 50.09333]"
53,AWD0001lvn,diary,4,6,1916-08-12 00:00:00 UTC,12 Aug 1916,Louvencourt,"[0.0, 0.0]","",place,Louvencourt,"{""place""=>[""Louvencourt""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2997349,Louvencourt,"[2.49982, 50.09333]"
55,AWD0001lvn,diary,4,2,1916-08-12 00:00:00 UTC,12 Aug 1916,Louvencourt,"[0.0, 0.0]","",activity,other,{},2997349,Louvencourt,"[2.49982, 50.09333]"
