Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
3,AWD0003rei,diary,870,4,1919-01-01 00:00:00 UTC,1 Jan 1919,"","[0.0, 0.0]","",diaryDate,1 Jan 1919,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1919""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0003rei,diary,870,2,1919-01-01 00:00:00 UTC,1 Jan 1919,"","[0.0, 0.0]","",place,Pepinster,"{""place""=>[""Pepinster""], ""location""=>[""false""], ""name""=>[""Pepinster""], ""lat""=>[""50.57375""], ""long""=>[""5.8049""], ""id""=>[""2789190""]}",2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0003rei,diary,870,5,1919-01-01 00:00:00 UTC,1 Jan 1919,Ensival,"[5.84927, 50.58053]","",place,Ensival,"{""place""=>[""Ensival""], ""location""=>[""true""], ""name""=>[""Ensival""], ""lat""=>[""50.58053""], ""long""=>[""5.84927""], ""id""=>[""2798730""]}",2798730,Ensival,"[5.84927, 50.58053]"
6,AWD0003rei,diary,870,4,1919-01-01 09:00:00 UTC,1 Jan 1919,Ensival,"[5.84927, 50.58053]",0900AM,time,0900AM,{},2798730,Ensival,"[5.84927, 50.58053]"
8,AWD0003rei,diary,870,3,1919-01-01 09:00:00 UTC,1 Jan 1919,Ensival,"[5.84927, 50.58053]",0900AM,activity,resupplying,{},2798730,Ensival,"[5.84927, 50.58053]"
11,AWD0003rei,diary,870,3,1919-01-02 00:00:00 UTC,2 Jan 1919,Ensival,"[5.84927, 50.58053]","",diaryDate,2 Jan 1919,"{""day""=>[""2""], ""month""=>[""Jan""], ""year""=>[""1919""]}",2798730,Ensival,"[5.84927, 50.58053]"
12,AWD0003rei,diary,870,2,1919-01-02 00:00:00 UTC,2 Jan 1919,Ensival,"[5.84927, 50.58053]","",place,Ensival,"{""place""=>[""Ensival""], ""location""=>[""true""], ""name""=>[""Ensival""], ""lat""=>[""50.58053""], ""long""=>[""5.84927""], ""id""=>[""2798730""]}",2798730,Ensival,"[5.84927, 50.58053]"
13,AWD0003rei,diary,870,4,1919-01-02 00:00:00 UTC,2 Jan 1919,Ensival,"[5.84927, 50.58053]","",place,Pepinster,"{""place""=>[""Pepinster""], ""location""=>[""false""], ""name""=>[""Pepinster""], ""lat""=>[""50.57375""], ""long""=>[""5.8049""], ""id""=>[""2789190""]}",2798730,Ensival,"[5.84927, 50.58053]"
14,AWD0003rei,diary,870,4,1919-01-02 00:00:00 UTC,2 Jan 1919,Ensival,"[5.84927, 50.58053]","",activity,resupplying,{},2798730,Ensival,"[5.84927, 50.58053]"
16,AWD0003rei,diary,870,4,1919-01-02 09:00:00 UTC,2 Jan 1919,Ensival,"[5.84927, 50.58053]",0900AM,time,0900AM,{},2798730,Ensival,"[5.84927, 50.58053]"
