Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD000177a,diary,4,6,1914-08-05 00:00:00 UTC,5 Aug 1914,"","[0.0, 0.0]","",diaryDate,5 Aug 1914,"{""day""=>[""5""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD000177a,diary,4,2,1914-08-05 00:00:00 UTC,5 Aug 1914,"","[0.0, 0.0]","",activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
4,AWD000177a,diary,4,4,1914-08-05 00:00:00 UTC,5 Aug 1914,Colchester,"[0.90421, 51.88921]","",place,Colchester,"{""place""=>[""Colchester""], ""location""=>[""true""], ""name""=>[""Colchester""], ""lat""=>[""51.88921""], ""long""=>[""0.90421""], ""id""=>[""2652618""]}",2652618,Colchester,"[0.90421, 51.88921]"
6,AWD000177a,diary,4,4,1914-08-06 00:00:00 UTC,6 Aug 1914,Colchester,"[0.90421, 51.88921]","",diaryDate,6 Aug 1914,"{""day""=>[""6""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2652618,Colchester,"[0.90421, 51.88921]"
7,AWD000177a,diary,4,3,1914-08-06 00:00:00 UTC,6 Aug 1914,Colchester,"[0.90421, 51.88921]","",activity,movement,{},2652618,Colchester,"[0.90421, 51.88921]"
9,AWD000177a,diary,4,5,1914-08-06 00:00:00 UTC,6 Aug 1914,Colchester,"[0.0, 0.0]","",place,Colchester,"{""place""=>[""Colchester""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2652618,Colchester,"[0.90421, 51.88921]"
11,AWD000177a,diary,4,2,1914-08-06 00:00:00 UTC,6 Aug 1914,Colchester,"[0.0, 0.0]","",domestic,other,{},2652618,Colchester,"[0.90421, 51.88921]"
12,AWD000177a,diary,4,3,1914-08-07 00:00:00 UTC,7 Aug 1914,Colchester,"[0.0, 0.0]","",diaryDate,7 Aug 1914,"{""day""=>[""7""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2652618,Colchester,"[0.90421, 51.88921]"
14,AWD000177a,diary,4,2,1914-08-07 00:00:00 UTC,7 Aug 1914,Colchester,"[0.0, 0.0]","",domestic,inspections,{},2652618,Colchester,"[0.90421, 51.88921]"
16,AWD000177a,diary,4,5,1914-08-07 00:00:00 UTC,7 Aug 1914,Colchester,"[0.0, 0.0]","",activity,movement,{},2652618,Colchester,"[0.90421, 51.88921]"
