Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD00039eq,diary,3,5,1917-01-01 00:00:00 UTC,1 Jan 1917,"","[0.0, 0.0]","",diaryDate,1 Jan 1917,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD00039eq,diary,3,3,1917-01-01 00:00:00 UTC,1 Jan 1917,"","[0.0, 0.0]","",activity,resting,{},2985684,Pozières,"[2.72929, 50.04047]"
3,AWD00039eq,diary,3,7,1917-01-01 00:00:00 UTC,1 Jan 1917,Bealcourt,"[2.1848, 50.20422]","",place,Bealcourt,"{""place""=>[""Bealcourt""], ""location""=>[""true""], ""name""=>[""Béalcourt""], ""lat""=>[""50.20422""], ""long""=>[""2.1848""], ""id""=>[""3034404""]}",3033346,Berlencourt-le-Cauroy,"[2.42738, 50.28163]"
5,AWD00039eq,diary,3,5,1917-01-02 00:00:00 UTC,2 Jan 1917,Bealcourt,"[2.1848, 50.20422]","",diaryDate,2 Jan 1917,"{""day""=>[""2""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3033346,Berlencourt-le-Cauroy,"[2.42738, 50.28163]"
6,AWD00039eq,diary,3,5,1917-01-02 00:00:00 UTC,2 Jan 1917,Gezaincourt,"[2.32098, 50.14074]","",place,Gezaincourt,"{""place""=>[""Gezaincourt""], ""location""=>[""true""], ""name""=>[""Gézaincourt""], ""lat""=>[""50.14074""], ""long""=>[""2.32098""], ""id""=>[""3016138""]}",3016138,Gézaincourt,"[2.32098, 50.14074]"
8,AWD00039eq,diary,3,6,1917-01-02 00:00:00 UTC,2 Jan 1917,Gezaincourt,"[2.32098, 50.14074]","",activity,movement,{},3016138,Gézaincourt,"[2.32098, 50.14074]"
9,AWD00039eq,diary,3,5,1917-01-03 00:00:00 UTC,3 Jan 1917,Gezaincourt,"[2.32098, 50.14074]","",diaryDate,3 Jan 1917,"{""day""=>[""3""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3016138,Gézaincourt,"[2.32098, 50.14074]"
11,AWD00039eq,diary,3,3,1917-01-03 00:00:00 UTC,3 Jan 1917,Sarton,"[2.43446, 50.12019]","",place,Sarton,"{""place""=>[""Sarton""], ""location""=>[""true""], ""name""=>[""Sarton""], ""lat""=>[""50.12019""], ""long""=>[""2.43446""], ""id""=>[""2975922""]}",2783961,Watou,"[2.62074, 50.85864]"
13,AWD00039eq,diary,3,2,1917-01-03 00:00:00 UTC,3 Jan 1917,Sarton,"[2.43446, 50.12019]","",place,Sarton,"{""place""=>[""Sarton""], ""location""=>[""true""], ""name""=>[""Sarton""], ""lat""=>[""50.12019""], ""long""=>[""2.43446""], ""id""=>[""2975922""]}",2783961,Watou,"[2.62074, 50.85864]"
14,AWD00039eq,diary,3,3,1917-01-03 00:00:00 UTC,3 Jan 1917,Sarton,"[2.43446, 50.12019]","",activity,reconnoitered,{},2783961,Watou,"[2.62074, 50.85864]"
16,AWD00039eq,diary,3,5,1917-01-04 00:00:00 UTC,4 Jan 1917,Sarton,"[2.43446, 50.12019]","",diaryDate,4 Jan 1917,"{""day""=>[""4""], ""month""=>[""Jan""], ""year""=>[""1917""]}",2783961,Watou,"[2.62074, 50.85864]"
17,AWD00039eq,diary,3,4,1917-01-04 00:00:00 UTC,4 Jan 1917,Sarton,"[2.43446, 50.12019]","",activity,movement,{},2783961,Watou,"[2.62074, 50.85864]"
18,AWD00039eq,diary,3,5,1917-01-04 00:00:00 UTC,4 Jan 1917,Bouzincourt,"[2.61029, 50.02557]","",place,Bouzincourt,"{""place""=>[""Bouzincourt""], ""location""=>[""true""], ""name""=>[""Bouzincourt""], ""lat""=>[""50.02557""], ""long""=>[""2.61029""], ""id""=>[""3030673""]}",3030673,Bouzincourt,"[2.61029, 50.02557]"
23,AWD00039eq,diary,3,4,1917-01-05 00:00:00 UTC,5 Jan 1917,Bouzincourt,"[2.61029, 50.02557]","",diaryDate,5 Jan 1917,"{""day""=>[""5""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3030673,Bouzincourt,"[2.61029, 50.02557]"
24,AWD00039eq,diary,3,2,1917-01-05 00:00:00 UTC,5 Jan 1917,Bouzincourt,"[2.61029, 50.02557]","",unit,"256TH RFA, 256th Bde","{""name""=>[""256TH RFA"", ""256th Bde""], ""context""=>[""relieved""]}",3030673,Bouzincourt,"[2.61029, 50.02557]"
