Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD0001te2,diary,3,5,1917-07-01 00:00:00 UTC,1 Jul 1917,"","[0.0, 0.0]","",diaryDate,1 Jul 1917,"{""day""=>[""1""], ""month""=>[""Jul""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
7,AWD0001te2,diary,3,5,1917-07-02 00:00:00 UTC,2 Jul 1917,"","[0.0, 0.0]","",diaryDate,2 Jul 1917,"{""day""=>[""2""], ""month""=>[""Jul""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
9,AWD0001te2,diary,3,4,1917-07-02 10:00:00 UTC,2 Jul 1917,"","[0.0, 0.0]",1000AM,time,1000AM,{},2985684,Pozières,"[2.72929, 50.04047]"
10,AWD0001te2,diary,3,4,1917-07-02 14:00:00 UTC,2 Jul 1917,"","[0.0, 0.0]",0200PM,time,0200PM,{},2985684,Pozières,"[2.72929, 50.04047]"
11,AWD0001te2,diary,3,4,1917-07-02 16:00:00 UTC,2 Jul 1917,"","[0.0, 0.0]",0400PM,time,0400PM,{},2985684,Pozières,"[2.72929, 50.04047]"
12,AWD0001te2,diary,3,5,1917-07-03 00:00:00 UTC,3 Jul 1917,"","[0.0, 0.0]","",diaryDate,3 Jul 1917,"{""day""=>[""3""], ""month""=>[""Jul""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
13,AWD0001te2,diary,3,2,1917-07-03 00:00:00 UTC,3 Jul 1917,"","[0.0, 0.0]","",weather,fine,{},2985684,Pozières,"[2.72929, 50.04047]"
14,AWD0001te2,diary,3,4,1917-07-03 08:00:00 UTC,3 Jul 1917,"","[0.0, 0.0]",0800AM,time,0800AM,{},2985684,Pozières,"[2.72929, 50.04047]"
17,AWD0001te2,diary,3,3,1917-07-03 08:00:00 UTC,3 Jul 1917,"","[0.0, 0.0]",0800AM,activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
22,AWD0001te2,diary,3,4,1917-07-03 08:30:00 UTC,3 Jul 1917,"","[0.0, 0.0]",0830AM,time,0830AM,{},2985684,Pozières,"[2.72929, 50.04047]"
24,AWD0001te2,diary,3,4,1917-07-03 14:30:00 UTC,3 Jul 1917,"","[0.0, 0.0]",0230PM,time,0230PM,{},2985684,Pozières,"[2.72929, 50.04047]"
27,AWD0001te2,diary,3,3,1917-07-03 15:00:00 UTC,3 Jul 1917,"","[0.0, 0.0]",0300PM,time,0300PM,{},2985684,Pozières,"[2.72929, 50.04047]"
29,AWD0001te2,diary,3,5,1917-07-04 00:00:00 UTC,4 Jul 1917,"","[0.0, 0.0]","",diaryDate,4 Jul 1917,"{""day""=>[""4""], ""month""=>[""Jul""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
31,AWD0001te2,diary,3,2,1917-07-04 00:00:00 UTC,4 Jul 1917,"","[0.0, 0.0]","",weather,rain,{},2985684,Pozières,"[2.72929, 50.04047]"
33,AWD0001te2,diary,3,2,1917-07-04 00:00:00 UTC,4 Jul 1917,"","[0.0, 0.0]",1200AM,time,1200AM,{},2985684,Pozières,"[2.72929, 50.04047]"
34,AWD0001te2,diary,3,2,1917-07-04 12:00:00 UTC,4 Jul 1917,"","[0.0, 0.0]",1200PM,time,1200PM,{},2985684,Pozières,"[2.72929, 50.04047]"
35,AWD0001te2,diary,3,2,1917-07-04 12:00:00 UTC,4 Jul 1917,"","[0.0, 0.0]",1200PM,weather,fine,{},2985684,Pozières,"[2.72929, 50.04047]"
36,AWD0001te2,diary,3,4,1917-07-05 00:00:00 UTC,5 Jul 1917,"","[0.0, 0.0]","",diaryDate,5 Jul 1917,"{""day""=>[""5""], ""month""=>[""Jul""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
38,AWD0001te2,diary,3,4,1917-07-05 07:00:00 UTC,5 Jul 1917,"","[0.0, 0.0]",0700AM,time,0700AM,{},2985684,Pozières,"[2.72929, 50.04047]"
42,AWD0001te2,diary,3,5,1917-07-05 07:00:00 UTC,5 Jul 1917,Heilly,"[2.53663, 49.9531]",0700AM,place,Heilly,"{""place""=>[""Heilly""], ""location""=>[""true""], ""name""=>[""Heilly""], ""lat""=>[""49.9531""], ""long""=>[""2.53663""], ""id""=>[""3013583""]}",2797876,Gailly,"[3.9949, 50.58345]"
43,AWD0001te2,diary,3,4,1917-07-05 11:00:00 UTC,5 Jul 1917,Heilly,"[2.53663, 49.9531]",1100AM,time,1100AM,{},2797876,Gailly,"[3.9949, 50.58345]"
45,AWD0001te2,diary,3,4,1917-07-05 11:30:00 UTC,5 Jul 1917,Heilly,"[2.53663, 49.9531]",1130AM,time,1130AM,{},2797876,Gailly,"[3.9949, 50.58345]"
46,AWD0001te2,diary,3,4,1917-07-05 17:45:00 UTC,5 Jul 1917,Heilly,"[2.53663, 49.9531]",0545PM,time,0545PM,{},2797876,Gailly,"[3.9949, 50.58345]"
