Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD000335z,diary,3,4,1914-08-05 00:00:00 UTC,5 Aug 1914,"","[0.0, 0.0]","",diaryDate,5 Aug 1914,"{""day""=>[""5""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD000335z,diary,3,2,1914-08-05 00:00:00 UTC,5 Aug 1914,"","[0.0, 0.0]","",activity,other,{},2985684,Pozières,"[2.72929, 50.04047]"
3,AWD000335z,diary,3,4,1914-08-05 00:00:00 UTC,5 Aug 1914,Aldershot,"[-0.76389, 51.24827]","",place,Aldershot,"{""place""=>[""Aldershot""], ""location""=>[""true""], ""name""=>[""Aldershot""], ""lat""=>[""51.24827""], ""long""=>[""-0.76389""], ""id""=>[""2657540""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
4,AWD000335z,diary,3,3,1914-08-06 00:00:00 UTC,6 Aug 1914,Aldershot,"[-0.76389, 51.24827]","",diaryDate,6 Aug 1914,"{""day""=>[""6""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
5,AWD000335z,diary,3,4,1914-08-07 00:00:00 UTC,7 Aug 1914,Aldershot,"[-0.76389, 51.24827]","",diaryDate,7 Aug 1914,"{""day""=>[""7""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
9,AWD000335z,diary,3,3,1914-08-08 00:00:00 UTC,8 Aug 1914,Aldershot,"[-0.76389, 51.24827]","",diaryDate,8 Aug 1914,"{""day""=>[""8""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
10,AWD000335z,diary,3,2,1914-08-09 00:00:00 UTC,9 Aug 1914,Aldershot,"[-0.76389, 51.24827]","",diaryDate,9 Aug 1914,"{""day""=>[""9""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
11,AWD000335z,diary,3,2,1914-08-09 00:00:00 UTC,9 Aug 1914,Aldershot,"[-0.76389, 51.24827]","",activity,other,{},2657540,Aldershot,"[-0.76389, 51.24827]"
12,AWD000335z,diary,3,4,1914-08-10 00:00:00 UTC,10 Aug 1914,Aldershot,"[-0.76389, 51.24827]","",diaryDate,10 Aug 1914,"{""day""=>[""10""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
14,AWD000335z,diary,3,3,1914-08-12 00:00:00 UTC,12 Aug 1914,Aldershot,"[-0.76389, 51.24827]","",diaryDate,12 Aug 1914,"{""day""=>[""12""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
15,AWD000335z,diary,3,3,1914-08-13 00:00:00 UTC,13 Aug 1914,Aldershot,"[-0.76389, 51.24827]","",diaryDate,13 Aug 1914,"{""day""=>[""13""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
16,AWD000335z,diary,3,5,1914-08-13 00:00:00 UTC,13 Aug 1914,Aldershot,"[-0.76389, 51.24827]","",activity,movement,{},2657540,Aldershot,"[-0.76389, 51.24827]"
17,AWD000335z,diary,3,4,1914-08-15 00:00:00 UTC,15 Aug 1914,Aldershot,"[-0.76389, 51.24827]","",diaryDate,15 Aug 1914,"{""day""=>[""15""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
20,AWD000335z,diary,3,2,1914-08-15 00:45:00 UTC,15 Aug 1914,Aldershot,"[-0.76389, 51.24827]",1245AM,time,1245AM,{},2657540,Aldershot,"[-0.76389, 51.24827]"
24,AWD000335z,diary,3,4,1914-08-15 00:45:00 UTC,15 Aug 1914,Southampton,"[-1.41981, 50.90325]",1245AM,place,Southampton,"{""place""=>[""Southampton""], ""location""=>[""true""], ""name""=>[""Southampton Port""], ""lat""=>[""50.90325""], ""long""=>[""-1.41981""], ""id""=>[""9253608""]}",2637487,Southampton,"[-1.40428, 50.90395]"
25,AWD000335z,diary,3,2,1914-08-15 07:16:00 UTC,15 Aug 1914,Southampton,"[-1.41981, 50.90325]",0716AM,time,0716AM,{},2637487,Southampton,"[-1.40428, 50.90395]"
26,AWD000335z,diary,3,3,1914-08-15 13:30:00 UTC,15 Aug 1914,Southampton,"[-1.41981, 50.90325]",0130PM,time,0130PM,{},2637487,Southampton,"[-1.40428, 50.90395]"
28,AWD000335z,diary,3,2,1914-08-15 23:00:00 UTC,15 Aug 1914,Southampton,"[-1.41981, 50.90325]",1100PM,time,1100PM,{},2637487,Southampton,"[-1.40428, 50.90395]"
29,AWD000335z,diary,3,2,1914-08-15 23:00:00 UTC,15 Aug 1914,Southampton,"[-1.41981, 50.90325]",1100PM,activity,movement,{},2637487,Southampton,"[-1.40428, 50.90395]"
1,AWD000337y,diary,4,3,1914-08-16 00:00:00 UTC,16 Aug 1914,Southampton,"[-1.41981, 50.90325]","",diaryDate,16 Aug 1914,"{""day""=>[""16""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2637487,Southampton,"[-1.40428, 50.90395]"
2,AWD000337y,diary,4,2,1914-08-16 11:00:00 UTC,16 Aug 1914,Southampton,"[-1.41981, 50.90325]",1100AM,time,1100AM,{},2637487,Southampton,"[-1.40428, 50.90395]"
3,AWD000337y,diary,4,3,1914-08-16 11:00:00 UTC,16 Aug 1914,Havre,"[0.10767, 49.4938]",1100AM,place,Havre,"{""place""=>[""Havre""], ""location""=>[""true""], ""name""=>[""Le Havre""], ""lat""=>[""49.4938""], ""long""=>[""0.10767""], ""id""=>[""3003796""]}",3003796,Le Havre,"[0.10767, 49.4938]"
4,AWD000337y,diary,4,2,1914-08-16 15:00:00 UTC,16 Aug 1914,Havre,"[0.10767, 49.4938]",0300PM,time,0300PM,{},3003796,Le Havre,"[0.10767, 49.4938]"
5,AWD000337y,diary,4,2,1914-08-16 23:00:00 UTC,16 Aug 1914,Havre,"[0.10767, 49.4938]",1100PM,time,1100PM,{},3003796,Le Havre,"[0.10767, 49.4938]"
6,AWD000337y,diary,4,3,1914-08-16 23:00:00 UTC,16 Aug 1914,"rouen, Rouen, ROUEN","[1.09932, 49.44313]",1100PM,place,"rouen, Rouen, ROUEN","{""place""=>[""rouen"", ""Rouen"", ""ROUEN""], ""location""=>[""true""], ""name""=>[""Rouen""], ""lat""=>[""49.44313""], ""long""=>[""1.09932""], ""id""=>[""2982652""]}",2982652,Rouen,"[1.09932, 49.44313]"
7,AWD000337y,diary,4,3,1914-08-17 00:00:00 UTC,17 Aug 1914,"rouen, Rouen, ROUEN","[1.09932, 49.44313]","",diaryDate,17 Aug 1914,"{""day""=>[""17""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2982652,Rouen,"[1.09932, 49.44313]"
8,AWD000337y,diary,4,2,1914-08-17 06:00:00 UTC,17 Aug 1914,"rouen, Rouen, ROUEN","[1.09932, 49.44313]",0600AM,time,0600AM,{},2982652,Rouen,"[1.09932, 49.44313]"
12,AWD000337y,diary,4,2,1914-08-17 11:00:00 UTC,17 Aug 1914,"rouen, Rouen, ROUEN","[1.09932, 49.44313]",1100AM,time,1100AM,{},2982652,Rouen,"[1.09932, 49.44313]"
13,AWD000337y,diary,4,3,1914-08-17 11:00:00 UTC,17 Aug 1914,"LA BRUyERE, La Bruyere, la Bruyere","[0.0, 0.0]",1100AM,place,"LA BRUyERE, La Bruyere, la Bruyere","{""place""=>[""LA BRUyERE"", ""La Bruyere"", ""la Bruyere""], ""location""=>[""true""], ""name""=>[""La Bruyère""], ""lat""=>["""", ""50.39478"", ""50.66033""], ""long""=>["""", ""4.61444"", ""5.95042""], ""id""=>["""", ""2793733"", ""2793728""]}",,,
14,AWD000337y,diary,4,3,1914-08-18 00:00:00 UTC,18 Aug 1914,"LA BRUyERE, La Bruyere, la Bruyere","[0.0, 0.0]","",diaryDate,18 Aug 1914,"{""day""=>[""18""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
15,AWD000337y,diary,4,3,1914-08-18 00:00:00 UTC,18 Aug 1914,"LA BRUyERE, La Bruyere, la Bruyere","[0.0, 0.0]","",person,"Sergeant,Colour Sergeant, R MICHEL","{""first""=>[""R""], ""surname""=>[""MICHEL""], ""rank""=>[""Sergeant"", ""Colour Sergeant"", """"], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",,,
16,AWD000337y,diary,4,3,1914-08-18 00:00:00 UTC,18 Aug 1914,"LA BRUyERE, La Bruyere, la Bruyere","[0.0, 0.0]","",person, JEAN RICHE,"{""first""=>[""JEAN""], ""surname""=>[""RICHE""], ""rank""=>[""""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",,,
17,AWD000337y,diary,4,3,1914-08-19 00:00:00 UTC,19 Aug 1914,"LA BRUyERE, La Bruyere, la Bruyere","[0.0, 0.0]","",diaryDate,19 Aug 1914,"{""day""=>[""19""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
18,AWD000337y,diary,4,2,1914-08-19 04:15:00 UTC,19 Aug 1914,"LA BRUyERE, La Bruyere, la Bruyere","[0.0, 0.0]",0415AM,time,0415AM,{},,,
19,AWD000337y,diary,4,3,1914-08-19 04:15:00 UTC,19 Aug 1914,Rouen,"[1.09932, 49.44313]",0415AM,place,Rouen,"{""place""=>[""Rouen""], ""location""=>[""true""], ""name""=>[""Rouen""], ""lat""=>[""49.44313""], ""long""=>[""1.09932""], ""id""=>[""2982652""]}",2989877,Noyon,"[3.0, 49.58333]"
20,AWD000337y,diary,4,3,1914-08-19 04:15:00 UTC,19 Aug 1914,Amiens,"[2.3, 49.9]",0415AM,place,Amiens,"{""place""=>[""Amiens""], ""location""=>[""true""], ""name""=>[""Amiens""], ""lat""=>[""49.9""], ""long""=>[""2.3""], ""id""=>[""3037854""]}",3037854,Amiens,"[2.3, 49.9]"
21,AWD000337y,diary,4,2,1914-08-19 09:15:00 UTC,19 Aug 1914,Amiens,"[2.3, 49.9]",0915AM,time,0915AM,{},3037854,Amiens,"[2.3, 49.9]"
28,AWD000337y,diary,4,2,1914-08-19 09:15:00 UTC,19 Aug 1914,"le Nouvion, LA NOUVIEN","[1.09932, 49.44313]",0915AM,place,"le Nouvion, LA NOUVIEN","{""place""=>[""le Nouvion"", ""LA NOUVIEN""], ""location""=>[""true""], ""name""=>[""Rouen""], ""lat""=>[""49.44313""], ""long""=>[""1.09932""], ""id""=>[""2982652""]}",,,
29,AWD000337y,diary,4,2,1914-08-19 23:30:00 UTC,19 Aug 1914,"le Nouvion, LA NOUVIEN","[1.09932, 49.44313]",1130PM,time,1130PM,{},,,
30,AWD000337y,diary,4,3,1914-08-20 00:00:00 UTC,20 Aug 1914,"le Nouvion, LA NOUVIEN","[1.09932, 49.44313]","",diaryDate,20 Aug 1914,"{""day""=>[""20""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
31,AWD000337y,diary,4,3,1914-08-21 00:00:00 UTC,21 Aug 1914,"le Nouvion, LA NOUVIEN","[1.09932, 49.44313]","",diaryDate,21 Aug 1914,"{""day""=>[""21""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
34,AWD000337y,diary,4,2,1914-08-21 00:00:00 UTC,21 Aug 1914,"le Nouvion, LA NOUVIEN","[1.09932, 49.44313]","",place,"SAINT HILAIRE, St-Hilaire","{""place""=>[""SAINT HILAIRE"", ""St-Hilaire""], ""location""=>[""true"", ""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
1,AWD0003378,diary,5,4,1914-08-22 00:00:00 UTC,22 Aug 1914,"le Nouvion, LA NOUVIEN","[1.09932, 49.44313]","",diaryDate,22 Aug 1914,"{""day""=>[""22""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
3,AWD0003378,diary,5,2,1914-08-22 07:15:00 UTC,22 Aug 1914,"le Nouvion, LA NOUVIEN","[1.09932, 49.44313]",0715AM,time,0715AM,{},,,
5,AWD0003378,diary,5,4,1914-08-22 07:15:00 UTC,22 Aug 1914,"St Hilaire, SAINT HILAIRE, st hilaire, St Hilaire ","[0.0, 0.0]",0715AM,place,"St Hilaire, SAINT HILAIRE, st hilaire, St Hilaire ","{""place""=>[""St Hilaire"", ""SAINT HILAIRE"", ""st hilaire"", ""St Hilaire ""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
6,AWD0003378,diary,5,5,1914-08-22 07:15:00 UTC,22 Aug 1914,le Pave,"[0.0, 0.0]",0715AM,place,le Pave,"{""place""=>[""le Pave""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3003000,Le Pavé,"[3.13149, 50.48391]"
8,AWD0003378,diary,5,3,1914-08-22 07:15:00 UTC,22 Aug 1914,"Beaufort, BEAUFORT, Beaufort ","[0.0, 0.0]",0715AM,place,"Beaufort, BEAUFORT, Beaufort ","{""place""=>[""Beaufort"", ""BEAUFORT"", ""Beaufort ""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3034316,Beaufort,"[6.57391, 45.71776]"
12,AWD0003378,diary,5,3,1914-08-22 07:15:00 UTC,22 Aug 1914,"Le Pave, Le Pave , LE PAVE","[0.0, 0.0]",0715AM,place,"Le Pave, Le Pave , LE PAVE","{""place""=>[""Le Pave"", ""Le Pave "", ""LE PAVE""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3003000,Le Pavé,"[3.13149, 50.48391]"
14,AWD0003378,diary,5,2,1914-08-22 07:15:00 UTC,22 Aug 1914,"Maubeuge, MAUBEGGE","[3.97267, 50.27875]",0715AM,place,"Maubeuge, MAUBEGGE","{""place""=>[""Maubeuge"", ""MAUBEGGE""], ""location""=>[""true""], ""name""=>[""Maubeuge"", """"], ""lat""=>[""50.27875"", """"], ""long""=>[""3.97267"", """"], ""id""=>[""2995150"", """"]}",,,
20,AWD0003378,diary,5,3,1914-08-22 07:15:00 UTC,22 Aug 1914,"rouveroy, Rouveroy, ROUVEROY","[5.40391, 50.61945]",0715AM,place,"rouveroy, Rouveroy, ROUVEROY","{""place""=>[""rouveroy"", ""Rouveroy"", ""ROUVEROY""], ""location""=>[""true""], ""name""=>[""Rouveroy""], ""lat""=>[""50.61945""], ""long""=>[""5.40391""], ""id""=>[""2787625""]}",2787626,Rouveroy,"[4.06374, 50.35598]"
21,AWD0003378,diary,5,2,1914-08-22 21:15:00 UTC,22 Aug 1914,"rouveroy, Rouveroy, ROUVEROY","[5.40391, 50.61945]",0915PM,time,0915PM,{},2787626,Rouveroy,"[4.06374, 50.35598]"
22,AWD0003378,diary,5,3,1914-08-22 23:00:00 UTC,22 Aug 1914,"rouveroy, Rouveroy, ROUVEROY","[5.40391, 50.61945]",1100PM,time,1100PM,{},2787626,Rouveroy,"[4.06374, 50.35598]"
24,AWD0003378,diary,5,2,1914-08-23 00:00:00 UTC,23 Aug 1914,"rouveroy, Rouveroy, ROUVEROY","[5.40391, 50.61945]","",diaryDate,23 Aug 1914,"{""day""=>[""23""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2787626,Rouveroy,"[4.06374, 50.35598]"
30,AWD0003378,diary,5,2,1914-08-23 00:00:00 UTC,23 Aug 1914,"rouveroy, Rouveroy, ROUVEROY","[5.40391, 50.61945]","",place,"peissant, Peissant","{""place""=>[""peissant"", ""Peissant""], ""location""=>[""false"", ""true""], ""name""=>[""Peissant"", """"], ""lat""=>[""50.35137"", """"], ""long""=>[""4.11963"", """"], ""id""=>[""2789216"", """"]}",2787626,Rouveroy,"[4.06374, 50.35598]"
2,AWD000336l,diary,6,2,1914-08-23 00:00:00 UTC,23 Aug 1914,"Givry, givry","[5.64345, 50.05458]","",place,"Givry, givry","{""place""=>[""Givry"", ""givry""], ""location""=>[""true""], ""name""=>["""", ""Givry""], ""lat""=>["""", ""50.05458""], ""long""=>["""", ""5.64345""], ""id""=>["""", ""2797507""]}",3015894,Givry,"[4.74262, 46.78202]"
9,AWD000336l,diary,6,3,1914-08-24 00:00:00 UTC,24 Aug 1914,"Givry, givry","[5.64345, 50.05458]","",diaryDate,24 Aug 1914,"{""day""=>[""24""], ""month""=>[""Aug""], ""year""=>[""1914""]}",3015894,Givry,"[4.74262, 46.78202]"
11,AWD000336l,diary,6,2,1914-08-24 00:00:00 UTC,24 Aug 1914,"Rouveroy, ROUVEROY","[5.40391, 50.61945]","",place,"Rouveroy, ROUVEROY","{""place""=>[""Rouveroy"", ""ROUVEROY""], ""location""=>[""true""], ""name""=>[""Rouveroy"", """"], ""lat""=>[""50.61945"", """"], ""long""=>[""5.40391"", """"], ""id""=>[""2787625"", """"]}",2787626,Rouveroy,"[4.06374, 50.35598]"
15,AWD000336l,diary,6,2,1914-08-24 00:00:00 UTC,24 Aug 1914,"Rouveroy, ROUVEROY","[5.40391, 50.61945]","",domestic,accomodation,{},2787626,Rouveroy,"[4.06374, 50.35598]"
18,AWD000336l,diary,6,2,1914-08-24 00:00:00 UTC,24 Aug 1914,"Bettignies, BETTIGNIES","[3.9731, 50.33401]","",place,"Bettignies, BETTIGNIES","{""place""=>[""Bettignies"", ""BETTIGNIES""], ""location""=>[""true""], ""name""=>[""Bettignies""], ""lat""=>[""50.33401""], ""long""=>[""3.9731""], ""id""=>[""3032968""]}",3032968,Bettignies,"[3.9731, 50.33401]"
20,AWD000336l,diary,6,3,1914-08-24 00:00:00 UTC,24 Aug 1914,"fetgnies, FEIGNIES, Feignies","[3.91534, 50.29806]","",place,"fetgnies, FEIGNIES, Feignies","{""place""=>[""fetgnies"", ""FEIGNIES"", ""Feignies""], ""location""=>[""true""], ""name""=>[""Feignies""], ""lat""=>[""50.29806""], ""long""=>[""3.91534""], ""id""=>[""3018778""]}",,,
23,AWD000336l,diary,6,3,1914-08-25 00:00:00 UTC,25 Aug 1914,"fetgnies, FEIGNIES, Feignies","[3.91534, 50.29806]","",diaryDate,25 Aug 1914,"{""day""=>[""25""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
2,AWD000335o,diary,7,2,1914-08-25 00:00:00 UTC,25 Aug 1914,"dompierre, Dompierre","[2.53609, 49.59413]","",place,"dompierre, Dompierre","{""place""=>[""dompierre"", ""Dompierre""], ""location""=>[""true""], ""name""=>[""Dompierre"", """"], ""lat""=>[""49.59413"", """"], ""long""=>[""2.53609"", """"], ""id""=>[""3021144"", """"]}",3021144,Dompierre,"[2.53609, 49.59413]"
5,AWD000335o,diary,7,3,1914-08-25 00:00:00 UTC,25 Aug 1914,"marbaix, MARBAIX, Marbaix","[0.0, 0.0]","",place,"marbaix, MARBAIX, Marbaix","{""place""=>[""marbaix"", ""MARBAIX"", ""Marbaix""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2996080,Marbaix,"[3.84234, 50.12884]"
6,AWD000335o,diary,7,4,1914-08-25 19:30:00 UTC,25 Aug 1914,"marbaix, MARBAIX, Marbaix","[0.0, 0.0]",0730PM,time,0730PM,{},2996080,Marbaix,"[3.84234, 50.12884]"
7,AWD000335o,diary,7,4,1914-08-26 00:00:00 UTC,26 Aug 1914,"marbaix, MARBAIX, Marbaix","[0.0, 0.0]","",diaryDate,26 Aug 1914,"{""day""=>[""26""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2996080,Marbaix,"[3.84234, 50.12884]"
8,AWD000335o,diary,7,2,1914-08-26 06:20:00 UTC,26 Aug 1914,"marbaix, MARBAIX, Marbaix","[0.0, 0.0]",0620AM,time,0620AM,{},2996080,Marbaix,"[3.84234, 50.12884]"
9,AWD000335o,diary,7,2,1914-08-26 06:20:00 UTC,26 Aug 1914,"marbaix, MARBAIX, Marbaix","[0.0, 0.0]",0620AM,activity,movement,{},2996080,Marbaix,"[3.84234, 50.12884]"
11,AWD000335o,diary,7,2,1914-08-26 06:20:00 UTC,26 Aug 1914,"marbaix, MARBAIX, Marbaix","[0.0, 0.0]",0620AM,place,"favril, Favril","{""place""=>[""favril"", ""Favril""], ""location""=>[""false"", ""true""], ""name""=>[""Le Favril"", """"], ""lat""=>[""50.10397"", """"], ""long""=>[""3.72144"", """"], ""id""=>[""3004277"", """"]}",2996080,Marbaix,"[3.84234, 50.12884]"
13,AWD000335o,diary,7,2,1914-08-26 06:20:00 UTC,26 Aug 1914,"favril, FAVRIL","[3.72144, 50.10397]",0620AM,place,"favril, FAVRIL","{""place""=>[""favril"", ""FAVRIL""], ""location""=>[""true""], ""name""=>[""Le Favril"", """"], ""lat""=>[""50.10397"", """"], ""long""=>[""3.72144"", """"], ""id""=>[""3004277"", """"]}",3004277,Le Favril,"[3.72144, 50.10396]"
14,AWD000335o,diary,7,2,1914-08-26 09:00:00 UTC,26 Aug 1914,"favril, FAVRIL","[3.72144, 50.10397]",0900AM,time,0900AM,{},3004277,Le Favril,"[3.72144, 50.10396]"
15,AWD000335o,diary,7,2,1914-08-26 11:00:00 UTC,26 Aug 1914,"favril, FAVRIL","[3.72144, 50.10397]",1100AM,time,1100AM,{},3004277,Le Favril,"[3.72144, 50.10396]"
1,AWD000337n,diary,8,4,1914-08-27 00:00:00 UTC,27 Aug 1914,"favril, FAVRIL","[3.72144, 50.10397]","",diaryDate,27 Aug 1914,"{""day""=>[""27""], ""month""=>[""Aug""], ""year""=>[""1914""]}",3004277,Le Favril,"[3.72144, 50.10396]"
2,AWD000337n,diary,8,3,1914-08-27 00:00:00 UTC,27 Aug 1914,"gisy, OISY, Gisy","[0.0, 0.0]","",place,"gisy, OISY, Gisy","{""place""=>[""gisy"", ""OISY"", ""Gisy""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
8,AWD000337n,diary,8,4,1914-08-27 00:00:00 UTC,27 Aug 1914,guise,"[3.62801, 49.90055]","",place,guise,"{""place""=>[""guise""], ""location""=>[""true""], ""name""=>[""Guise""], ""lat""=>[""49.90055""], ""long""=>[""3.62801""], ""id""=>[""3014195""]}",3014195,Guise,"[3.62801, 49.90055]"
9,AWD000337n,diary,8,3,1914-08-27 00:00:00 UTC,27 Aug 1914,bernot,"[3.49917, 49.86624]","",place,bernot,"{""place""=>[""bernot""], ""location""=>[""true""], ""name""=>[""Bernot""], ""lat""=>[""49.86624""], ""long""=>[""3.49917""], ""id""=>[""3033263""]}",3033263,Bernot,"[3.49917, 49.86624]"
12,AWD000337n,diary,8,2,1914-08-27 00:00:00 UTC,27 Aug 1914,bernot,"[3.49917, 49.86624]","",place,"mont d'origny, Mont D'origny","{""place""=>[""mont d'origny"", ""Mont D'origny""], ""location""=>[""false"", ""true""], ""name""=>[""Guise"", ""Bernot""], ""lat""=>[""49.90055"", ""49.86624""], ""long""=>[""3.62801"", ""3.49917""], ""id""=>[""3014195"", ""3033263""]}",3033263,Bernot,"[3.49917, 49.86624]"
13,AWD000337n,diary,8,4,1914-08-28 00:00:00 UTC,28 Aug 1914,bernot,"[3.49917, 49.86624]","",diaryDate,28 Aug 1914,"{""day""=>[""28""], ""month""=>[""Aug""], ""year""=>[""1914""]}",3033263,Bernot,"[3.49917, 49.86624]"
14,AWD000337n,diary,8,2,1914-08-28 00:00:00 UTC,28 Aug 1914,bernot,"[3.49917, 49.86624]","",activity,movement,{},3033263,Bernot,"[3.49917, 49.86624]"
15,AWD000337n,diary,8,2,1914-08-28 06:15:00 UTC,28 Aug 1914,bernot,"[3.49917, 49.86624]",0615AM,time,0615AM,{},3033263,Bernot,"[3.49917, 49.86624]"
16,AWD000337n,diary,8,2,1914-08-28 06:15:00 UTC,28 Aug 1914,bernot,"[3.49917, 49.86624]",0615AM,place,"Hamegicourt, hamegicourt","{""place""=>[""Hamegicourt"", ""hamegicourt""], ""location""=>[""true"", ""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3033263,Bernot,"[3.49917, 49.86624]"
7,AWD0003360,diary,9,2,1914-08-28 06:15:00 UTC,28 Aug 1914,"St. Gobain, SAINT GOBAIN","[0.0, 0.0]",0615AM,place,"St. Gobain, SAINT GOBAIN","{""place""=>[""St. Gobain"", ""SAINT GOBAIN""], ""location""=>[""true""], ""name""=>[""Aldershot"", ""Saint-Gobain""], ""lat""=>[""51.24827"", ""49.59572""], ""long""=>[""-0.76389"", ""3.3775""], ""id""=>[""2657540"", ""2979648""]}",2979648,Saint-Gobain,"[3.3775, 49.59572]"
