Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD00037as,diary,142,4,1916-01-01 00:00:00 UTC,1 Jan 1916,"","[0.0, 0.0]","",diaryDate,1 Jan 1916,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD00037as,diary,142,3,1916-01-01 00:00:00 UTC,1 Jan 1916,"","[0.0, 0.0]","",activity,quiet,{},2985684,Pozières,"[2.72929, 50.04047]"
4,AWD00037as,diary,142,4,1916-01-02 00:00:00 UTC,2 Jan 1916,"","[0.0, 0.0]","",diaryDate,2 Jan 1916,"{""day""=>[""2""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
5,AWD00037as,diary,142,3,1916-01-02 00:00:00 UTC,2 Jan 1916,"","[0.0, 0.0]","",activity,fire,{},2985684,Pozières,"[2.72929, 50.04047]"
8,AWD00037as,diary,142,2,1916-01-02 00:00:00 UTC,2 Jan 1916,"","[0.0, 0.0]","",place,"bastion guillaumet, Bastion Guillaumet","{""place""=>[""bastion guillaumet"", ""Bastion Guillaumet""], ""location""=>[""true"", ""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
9,AWD00037as,diary,142,3,1916-01-02 00:00:00 UTC,2 Jan 1916,"Hédauville, hedauville, Hedauville","[2.56767, 50.04584]","",place,"Hédauville, hedauville, Hedauville","{""place""=>[""Hédauville"", ""hedauville"", ""Hedauville""], ""location""=>[""true""], ""name""=>[""Hédauville""], ""lat""=>[""50.04584""], ""long""=>[""2.56767""], ""id""=>[""3013597""]}",3013597,Hédauville,"[2.56767, 50.04584]"
10,AWD00037as,diary,142,2,1916-01-02 00:00:00 UTC,2 Jan 1916,"Hédauville, hedauville, Hedauville","[2.56767, 50.04584]","",activity,movement,{},3013597,Hédauville,"[2.56767, 50.04584]"
11,AWD00037as,diary,142,3,1916-01-02 00:00:00 UTC,2 Jan 1916,"Hédauville, hedauville, Hedauville","[2.56767, 50.04584]","",unit,"1st E. Lancs, 1ST E LANCS, East Lancs","{""name""=>[""1st E. Lancs"", ""1ST E LANCS"", ""East Lancs""], ""context""=>[""relieved_by""]}",3013597,Hédauville,"[2.56767, 50.04584]"
14,AWD00037as,diary,142,4,1916-01-03 00:00:00 UTC,3 Jan 1916,"Hédauville, hedauville, Hedauville","[2.56767, 50.04584]","",diaryDate,3 Jan 1916,"{""day""=>[""3""], ""month""=>[""Jan""], ""year""=>[""1916""]}",3013597,Hédauville,"[2.56767, 50.04584]"
16,AWD00037as,diary,142,3,1916-01-03 00:00:00 UTC,3 Jan 1916,"Hédauville, hedauville, Hedauville","[2.56767, 50.04584]","",activity,quiet,{},3013597,Hédauville,"[2.56767, 50.04584]"
17,AWD00037as,diary,142,3,1916-01-03 00:00:00 UTC,3 Jan 1916,"Hédauville, hedauville, Hedauville","[2.56767, 50.04584]","",place,Hamel,"{""place""=>[""Hamel""], ""location""=>[""false""], ""name""=>[""Hamel""], ""lat""=>[""50.27945""], ""long""=>[""3.07423""], ""id""=>[""3014019""]}",3013597,Hédauville,"[2.56767, 50.04584]"
18,AWD00037as,diary,142,4,1916-01-04 00:00:00 UTC,4 Jan 1916,"Hédauville, hedauville, Hedauville","[2.56767, 50.04584]","",diaryDate,4 Jan 1916,"{""day""=>[""4""], ""month""=>[""Jan""], ""year""=>[""1916""]}",3013597,Hédauville,"[2.56767, 50.04584]"
20,AWD00037as,diary,142,3,1916-01-04 00:00:00 UTC,4 Jan 1916,"Hédauville, hedauville, Hedauville","[2.56767, 50.04584]","",place,Mesnil,"{""place""=>[""Mesnil""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3013597,Hédauville,"[2.56767, 50.04584]"
21,AWD00037as,diary,142,4,1916-01-05 00:00:00 UTC,5 Jan 1916,"Hédauville, hedauville, Hedauville","[2.56767, 50.04584]","",diaryDate,5 Jan 1916,"{""day""=>[""5""], ""month""=>[""Jan""], ""year""=>[""1916""]}",3013597,Hédauville,"[2.56767, 50.04584]"
23,AWD00037as,diary,142,3,1916-01-05 00:00:00 UTC,5 Jan 1916,"Hédauville, hedauville, Hedauville","[2.56767, 50.04584]","",activity,quiet,{},3013597,Hédauville,"[2.56767, 50.04584]"
25,AWD00037as,diary,142,4,1916-01-06 00:00:00 UTC,6 Jan 1916,"Hédauville, hedauville, Hedauville","[2.56767, 50.04584]","",diaryDate,6 Jan 1916,"{""day""=>[""6""], ""month""=>[""Jan""], ""year""=>[""1916""]}",3013597,Hédauville,"[2.56767, 50.04584]"
26,AWD00037as,diary,142,3,1916-01-06 00:00:00 UTC,6 Jan 1916,"Hédauville, hedauville, Hedauville","[2.56767, 50.04584]","",activity,quiet,{},3013597,Hédauville,"[2.56767, 50.04584]"
29,AWD00037as,diary,142,4,1916-01-08 00:00:00 UTC,8 Jan 1916,"Hédauville, hedauville, Hedauville","[2.56767, 50.04584]","",diaryDate,8 Jan 1916,"{""day""=>[""8""], ""month""=>[""Jan""], ""year""=>[""1916""]}",3013597,Hédauville,"[2.56767, 50.04584]"
2,AWD00037am,diary,143,4,1916-01-08 00:00:00 UTC,8 Jan 1916,"Hédauville, hedauville, Hedauville","[2.56767, 50.04584]","",weather,fine,{},3013597,Hédauville,"[2.56767, 50.04584]"
