Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003u6p,diary,3,4,1914-08-04 00:00:00 UTC,4 Aug 1914,"","[0.0, 0.0]","",diaryDate,4 Aug 1914,"{""day""=>[""4""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0003u6p,diary,3,3,1914-08-04 17:30:00 UTC,4 Aug 1914,"","[0.0, 0.0]",0530PM,time,0530PM,{},2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0003u6p,diary,3,4,1914-08-04 17:30:00 UTC,4 Aug 1914,Curragh,"[0.0, 0.0]",0530PM,place,Curragh,"{""place""=>[""Curragh""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
4,AWD0003u6p,diary,3,2,1914-08-04 17:30:00 UTC,4 Aug 1914,Curragh,"[0.0, 0.0]",0530PM,activity,movement,{},,,
9,AWD0003u6p,diary,3,4,1914-08-05 00:00:00 UTC,5 Aug 1914,Curragh,"[0.0, 0.0]","",diaryDate,5 Aug 1914,"{""day""=>[""5""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
10,AWD0003u6p,diary,3,3,1914-08-05 00:00:00 UTC,5 Aug 1914,Curragh,"[0.0, 0.0]","",place,Curragh,"{""place""=>[""Curragh""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
11,AWD0003u6p,diary,3,2,1914-08-05 00:00:00 UTC,5 Aug 1914,Curragh,"[0.0, 0.0]","",activity,movement,{},,,
12,AWD0003u6p,diary,3,2,1914-08-05 00:00:00 UTC,5 Aug 1914,Curragh,"[0.0, 0.0]","",strength,other: 50,{},,,
14,AWD0003u6p,diary,3,2,1914-08-05 00:00:00 UTC,5 Aug 1914,Curragh,"[0.0, 0.0]","",domestic,uniform,{},,,
16,AWD0003u6p,diary,3,4,1914-08-06 00:00:00 UTC,6 Aug 1914,Curragh,"[0.0, 0.0]","",diaryDate,6 Aug 1914,"{""day""=>[""6""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
17,AWD0003u6p,diary,3,3,1914-08-06 00:00:00 UTC,6 Aug 1914,Curragh,"[0.0, 0.0]","",place,Curragh,"{""place""=>[""Curragh""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
21,AWD0003u6p,diary,3,2,1914-08-06 00:00:00 UTC,6 Aug 1914,Curragh,"[0.0, 0.0]","",domestic,medical,{},,,
24,AWD0003u6p,diary,3,4,1914-08-07 00:00:00 UTC,7 Aug 1914,Curragh,"[0.0, 0.0]","",diaryDate,7 Aug 1914,"{""day""=>[""7""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
25,AWD0003u6p,diary,3,3,1914-08-07 00:00:00 UTC,7 Aug 1914,Curragh,"[0.0, 0.0]","",place,Curragh,"{""place""=>[""Curragh""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
1,AWD0003u17,diary,4,2,1914-08-08 00:00:00 UTC,8 Aug 1914,Curragh,"[0.0, 0.0]","",diaryDate,8 Aug 1914,"{""day""=>[""8""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
2,AWD0003u17,diary,4,2,,"8 Aug,August 1914, ",Curragh,"[0.0, 0.0]","",diaryDate,"8 Aug,August 1914, ","{""day""=>[""8""], ""month""=>[""Aug"", ""August""], ""year""=>[""1914"", nil]}",,,
3,AWD0003u17,diary,4,4,,"8 Aug,August 1914, ",Curragh,"[0.0, 0.0]","",place,Curragh,"{""place""=>[""Curragh""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
11,AWD0003u17,diary,4,2,,"8 Aug,August 1914, ",Curragh,"[0.0, 0.0]","",place,Curragh,"{""place""=>[""Curragh""], ""location""=>[""false"", ""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
12,AWD0003u17,diary,4,2,,"8 Aug,August 1914, ",Curragh,"[0.0, 0.0]","",activity,other,{},,,
18,AWD0003u17,diary,4,2,1914-08-09 00:00:00 UTC,9 Aug 1914,Curragh,"[0.0, 0.0]","",diaryDate,9 Aug 1914,"{""day""=>[""9""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
19,AWD0003u17,diary,4,2,,"9 Aug,August 1914, ",Curragh,"[0.0, 0.0]","",diaryDate,"9 Aug,August 1914, ","{""day""=>[""9""], ""month""=>[""Aug"", ""August""], ""year""=>[""1914"", nil]}",,,
20,AWD0003u17,diary,4,4,,"9 Aug,August 1914, ",Curragh,"[0.0, 0.0]","",place,Curragh,"{""place""=>[""Curragh""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
21,AWD0003u17,diary,4,2,,"9 Aug,August 1914, ",Curragh,"[0.0, 0.0]","",activity,resupplying,{},,,
23,AWD0003u17,diary,4,3,,"9 Aug,August 1914, ",Curragh,"[0.0, 0.0]","",domestic,religion,{},,,
24,AWD0003u17,diary,4,2,,"9 Aug,August 1914, ",Curragh,"[0.0, 0.0]","",activity,training,{},,,
25,AWD0003u17,diary,4,4,1914-08-10 00:00:00 UTC,10 Aug 1914,Curragh,"[0.0, 0.0]","",diaryDate,10 Aug 1914,"{""day""=>[""10""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
